Author,Book Title,Chapter,Sentence
GT_Geissinger,Ache for You,1,"You’re one month older than me.” “I’m being metaphorical!” Hands out, he strides toward me with his elegant gait and takes me in his arms, careful not to wrinkle my dress or smudge my makeup when he kisses my cheeks."
Jessica_Lemmon,The Billionaire Bachelor,2,Granddad Weller was huge.
Jessica_Lemmon,The Billionaire Next Door,20,"Tamed player, indeed."
Tia_Louise,Make Me Yours,13,"“Naturally, he was horrified.” “I take it Howard’s your dad?” I nod, and her lips press into a knowing smile."
Catharina_Maura,The Unwanted Marriage,10,"How very rude of me.” She just stares at me, as though she’s trying to get a read on the situation."
JS_Scott,The Billionaire’s Obsession _Sam,16,More.
LT_Swan,The Casanova,52,“What will I ask her?” “Um.” I try to think.
Ana_Huang,King of Wrath,5,For the most part.
Lisa_Kleypas,Blue Eyed Devil,2,"""Hope so."""
Stella_Rhys,Dirty Deeds,32,Even if it meant forcing Aly out of my head for a minute.
Lisa_Kleypas,Sugar Daddy,4,"I hesitated, swallowed hard, and managed a jerky nod."
Sara_Cate,Praise,18,“Can you have Charlotte transfer over those files after our meeting?
Alexa_Riley,Everything for Her,30,"I’ve got defined muscles, but I also have chest hair and some of it slightly covers her name."
Stella_Rhys,Dirty Deeds,32,That was all I needed to feel okay.
LT_Swan,The Stopover,15,“Just stop talking.
Annika_Martin,The Billionaire's Wake-up-call Girl,26,"Lewdly, he pushes his finger deeper into my mouth."
Catharina_Maura,The Wrong Bride,71,She doesn’t need them.
Ann_Cole,Mr. Mysterious In Black,14,My bones crumbled within.
LJ_Shen,The Hunter,17,Hunter smiled down at me calmly.
Rose_Shain,Reverie,8,"I was more focused on how his hands slid over every part of my body he could reach, how his mouth owned every part of mine."
Lisa_Kleypas,Smooth Talking Stranger,11,.
Tia_Louise,Make Me Yours,19,“I’m not a baby.” Eleanor abandons her post at the table to attend to her granddaughter.
Sarina_Bowen,Brooklynaire,3,"She stands by the door, hoping someone will notice her arrival."
LT_Swan,The Casanova,2,"“Don’t just stand there,” she snaps."
Louise_Bay,King of Wall Street,5,"There was never any peace in my house growing up, and I’d longed for quiet."
Ann_Cole,Love Has a Name,21,Just as I’d been avoiding his calls for the past couple of days.
Louise_Bay,Park Avenue Prince,5,"“A business party, then?” she asked."
Rose_Shain,Between Commitment and Betrayal,27,"“Please, please, please.” I said over and over, not sure if I was begging him to continue or to stop and fuck me."
LT_Swan,The Casanova,27,"They run through the house with their wings up in the air, squawking loudly."
Laurelin_Paige,Dirty Filthy Billionaire,11,And now I’m thinking about another list.
Ann_Cole,I Choose You,12,"More.” My fingernails were grown to a not so decent length, and I filed them almost daily, so there was no doubt I’d draw blood if I went deeper."
KA_Linde,The Wright Mistake,30,Dillon had done this.
JS_Scott,The Billionaire's Obsession_Simon,28,She shivered as he blew a warm breath on her naked pussy.
Sara_Cate,Praise,32,"You’re a good father.” “Yes, so good I’m fucking his ex-girlfriend.” She doesn’t respond right away, but she stares at me skeptically."
Sandi_Lynn,Jamieson Finn,37,"I put your name up
on the surgical board, so make sure the ER is covered.” “I’ll
let Jackie know,” I spoke."
Jessica_Clare,Stranded with a Billionaire,8,"“Ask away.” “I recommend tossing out this food,” she murmured."
LJ_Shen,The Monster,14,"“You already said,” I yawned."
JS_Scott,The Billionaire's Obsession_Simon,18,"Simon waited, watching his brother relax back into the chair."
Ana_Huang,Twisted Lies,22,"Tears gathered behind my eyes, but I set my jaw and blinked them back."
Jessica_Clare,Stranded with a Billionaire,13,I’m on the pill.” “Right.
LJ_Shen,The Villain,19,To remind you that you are nothing but a plaything to me.
LT_Swan,The Casanova,13,"“Quick, drive,” I say to the driver."
Catharina_Maura,The Unwanted Marriage,18,"I didn’t really mind it during our flight, because it genuinely seemed to help you, but I… I don’t want…” Me ."
L_Steele,The Billionaire's Secret,37,"I crack my eyelids open, enough to watch him lean against the doorjamb."
Ana_Huang,Twisted Love,12,"My nipples hardened and scraped against my bra, and my skin flushed with arousal."
Jessica_Lemmon,The Bastard Billionaire,19,"He’d asked for time, and she’d granted it."
Katy_Evans,Boss,22,More detailed than the others.
Katy_Evans,Tycoon,2,She’s willing for us to have an open marriage.
Rose_Shain,Reverie,6,"I never gave them a promise, just like I hadn’t given Vick one."
Jessica_Lemmon,The Billionaire Bachelor,20,I’ve loved you even longer than I dared admit.
Leslie_North,The Billionaire's Sexy Rival,5,"He probably maintained a strict diet and exercise schedule; the results may have mostly been hidden, but she could still see it in the controlled, graceful way he moved."
Meghan_Quinn,So Not Meant To Be,11,"Kelsey, charming, yet naïve Kelsey, in her high heels, pencil skirt, and skintight top, has come in hot with design ideas that have been approved in previous buildings of ours but from the look on Regis’s face, have no business being tossed around in the Angelica."
Jessica_Lemmon,The Billionaire Bachelor,6,Every inch of him—including the several aching ones in his pants—wanted to take her by the back of the head and kiss her until they were both panting.
Diane_Alberts,Beauty and the Boss,7,“It’s fine.
Jessica_Lemmon,The Billionaire Bachelor,13,That was so…him.
Alexa_Riley,His Alone,29,That I wish I’d done this a long time ago.
Meghan_Quinn,A Not So Meet Cute,6,"Smiling, I reach down and take Lottie’s hand."
Katy_Evans,Tycoon,38,Too easy.
GT_Geissinger,Burn for You,40,We’re gonna have a new daughter-in-law.
Rose_Shain,Between Love and Loathing,7,I wouldn’t apologize.
KA_Linde,The Wright Brother,25,Jensen had definitely texted me.
Ana_Huang,Twisted Lies,18,"Fuck , I hated this."
Ana_Huang,Twisted Love,12,"Plus, Iâ€™m sure youâ€™re mocking me, bleeding heart and all.â€ Alex raised an eyebrow."
Sara_Cate,Praise,22,Tan skin stretched over muscular shoulders grab my attention and won’t let go.
Ana_Huang,Twisted Love,31,"â€œWhat about that day in your office?â€ I asked, determined to see this through even though I wanted to throw up."
Rose_Shain,Between Love and Loathing,17,That’s what she does.
Catharina_Maura,The Unwanted Marriage,22,I was always scared of what would happen if he had to tolerate me in his space continuously.
GT_Geissinger,Melt for You,9,"My cheeks flaming with heat, I say quietly, “Don’t you dare pity me or patronize me."
Louise_Bay,Park Avenue Prince,13,I knew that wanting led to disappointment.
Sandi_Lynn,Jamieson Finn,24,“There you go.
KA_Linde,The Wright Boss,11,"“He’s doing fine, but it’s just…weird.” “Weird because you’re into him or because of the whole situation?” “Stop!” I groaned, flopping backward and staring up at the ceiling."
Tia_Louise,Trouble,29,Oliver won’t be like me.
Ana_Huang,King of Wrath,29,"For the first time, I understood what being part of a real engaged couple felt like, and it was strange and beautiful and terrifying all wrapped into one."
Leslie_North,The Billionaires Pregnant Fling,11,"“All this will go in the classic six .” “What do you mean?” Margot stared at him, uncomprehending, and Eddie closed the laptop slowly ."
Sarina_Bowen,Brooklynaire,24,And much of the developing world .” Rebecca snorts.
Louise_Bay,Duke of Manhattan,25,"She wouldn’t have signed the divorce papers without asking me, would she?"
KA_Linde,The Wright Brother,25,We had a few drinks.
Ana_Huang,Twisted Lies,49,Silence pulsed for an extra beat before Kage and I pulled our guns and fired at the same time.
Annika_Martin,Breaking the Billionaire's Rules,5,"Have I finally put poor, wholesome, wide-eyed Rollins over the edge?"
Diane_Alberts,Beauty and the Boss,4,"Or do you need to continue your little pep talk to yourself first?” “I’m good, thank you,” she managed to say with her head held high."
LT_Swan,The Takeover,4,. .
Ann_Cole,Mr. Mysterious In Black,15,"“My God, I’m starving.” My lips curled in a smile, then we burst into giggles which stopped abruptly when Geo Lee glanced over at us in suspicion from the far end of the room where he was engaged in deep conversation on his phone, chatting at bullet speed about models and runways."
Ana_Huang,Twisted Love,38,"Low and hollow, almost lifeless."
Kendra_Little,Bedding the Billionaire,3,"Kissable
lips."
Lisa_Kleypas,Smooth Talking Stranger,10,.
Leslie_North,The Billionaire's Sexy Rival,6,"William remained in the elevator, watching her take the long walk down the lobby and out the revolving glass door."
Louise_Bay,King of Wall Street,15,"You’re a beautiful, bright, accomplished woman."
Penny_Wylder,The Billionaire’s Virgin,1,“—body is going to cut you slack.
