


Bad Boss








Stella Rhys







Contents



Copyright




Chapter 1


Chapter 2


Chapter 3


Chapter 4


Chapter 5


Chapter 6


Chapter 7


Chapter 8


Chapter 9


Chapter 10


Chapter 11


Chapter 12


Chapter 13


Chapter 14


Chapter 15


Chapter 16


Chapter 17


Chapter 18


Chapter 19


Chapter 20


Chapter 21


Chapter 22


Chapter 23


Chapter 24


Chapter 25


Chapter 26


Chapter 27


Chapter 28


Chapter 29


Chapter 30


Chapter 31


Chapter 32


Chapter 33


Chapter 34


Chapter 35


Chapter 36


Chapter 37


Chapter 38


Chapter 39


Chapter 40


Chapter 41




Epilogue


Thank you!


Sweet Spot


Contact Stella











BAD BOSS

Copyright © 2017 by Stella Rhys

All rights reserved. No part of this publication may be reproduced, distributed, or transmitted in any form or by any means, including photocopying, recording, or other electronic or mechanical methods, without the prior written consent of the publisher.

This book is a work of fiction.  Names, characters, places and incidents are either products of the author’s imagination or used fictitiously.  Any resemblance to actual events or people, living or dead, is entirely coincidental.

Cover Design: Vivian Monir
Editing: Wendy Chan, The Passionate Proofreader












1

SARA



Holy shit.
I panted in the backseat of the cab, still running on the adrenaline of tonight’s potentially disastrous decision-making. It could be the biggest mistake of my life but fuck it, I’d done it.
I’d finally walked out.
I was supposed to be Stable Sara with Excel sheets for everything from her taxes to her groceries to her budget for next year’s Christmas gifts, but tonight I had officially reached my limit and quit the dream job I’d given my entire adult life to despite everyone imploring me to stay. But the company’s so famous, so iconic. You’ve put in so much time already. Why not stick around? Shouldn’t you consider yourself lucky to be there in the first place?”
I scrunched up my face as I freed myself from my blazer.
Yeah, no. Not so much.
If lucky meant nine years of chasing nonexistent promotions, being tricked into working thousands of overtime hours without the pay, getting thrown under the bus for anything the higher-ups did wrong, and spending the past three months on a piece that my editor had no intention of crediting me for – a fun fact I’d discovered just today – then sure, I was lucky. So lucky that I wound up permanently deleting all history of my research, contacts and writing, leaving the office in a blaze of glory that set my bosses back three months of hard work.
So… bridges?
All burned.
There was definitely no going back. And while it was exhilarating now, I knew that by morning, once reality set in, I’d be horrified. I’d worked with the company since I was eighteen. My office-centric life was all I knew. Being overworked was all I knew. In fact, I had no clue what to do with my time if I wasn’t strapped to a desk, and around 8AM tomorrow, I’d probably remember all that and have a very thorough meltdown.
So for now, I was going to ride the high.
"You said Lower East Side, miss?” the cabbie called back to confirm.
“Yes, Ludlow Street, right below Houston.”
Also known as the corner of Drink My Ass Off and Dance Till Four, I declared silently, yanking out my hair tie and shaking out my topknot.
I was in a rare mood.
I was feeling bold… liberated. Practically drunk off the thrill of having no responsibilities tomorrow. For the first time in my adult life, I had no one to report to, not a soul to be on call for, and I felt good about it, which was something I knew wouldn’t last, so… why not take advantage of tonight and do something crazy?
Well.
I bit my lip. I had answers for that.
