topic,group,effect,q,eta2_kw
Urban Romance,middle,0.6342574511126801,0.1876362098257769,0.09730124844835467
Tattoos and Brutal Appearance,middle,0.5435819221897787,0.2455535503298944,0.0659843853583546
Physical Intimacy Focusing on Touch,middle,0.47941404732760884,0.2594312260418805,0.05988187299461343
Sleep and Rest,middle,0.44766805910056934,0.2082192485990255,0.08293234372822902
Addiction and Drugs,middle,0.41451392310298785,0.2082192485990255,0.08057649982120325
Hockey and Sports,middle,0.32526704247497296,0.2082192485990255,0.07601147297285321
Bedroom and Cozy Blankets,middle,0.3251729526465639,0.277568672994215,0.05261389443197773
Walls and Renovation,middle,0.29154231287705595,0.277568672994215,0.05158058236349146
Shrugging off Feelings and Indifference,middle,0.2829746053967678,0.2082192485990255,0.07292125799342462
Kitchen and Cooking,middle,0.26850917950526626,0.277568672994215,0.053897234941076864
Fancy Underwear,middle,0.1876539640698087,0.2594312260418805,0.05987185474641642
Emphasis on Hips and Body Language,middle,0.12587036893457257,0.2082192485990255,0.07803999944688134
Expensive Jewellery,middle,0.05957233813761677,0.277568672994215,0.05360641929322277
Grumpiness and Gloomy Mood,middle,0.02671749056275178,0.277568672994215,0.05422501991861354
Comfort in Silence,middle,-0.002400759038543133,0.1876362098257769,0.09511271461106655
Actions with Objects.,middle,-0.0026390670084592105,0.2594312260418805,0.06105381738143954
Air Travel,middle,-0.009504958468599209,0.2082192485990255,0.07254383237675273
Fathers and Sons,middle,-0.1092313968499758,0.1876362098257769,0.09738532550937722
Connecting Through Dance,middle,-0.1117579136439276,0.1961135313527622,0.0890942730752506
Legs and Thighs and Desire,middle,-0.11698084668084203,0.2082192485990255,0.07461788247875373
Gatherings and Shared Meals,middle,-0.18821880241702277,0.277568672994215,0.05099165767284383
Startling and Sudden Realizations,middle,-0.28740340265301667,0.2861372115888589,0.04754987070758281
Anger or Frustration,middle,-0.294374303912452,0.2594312260418805,0.060669861060443836
Shivering and Electric Touches,middle,-0.30749329067422737,0.2455535503298944,0.06681583957844538
Rings and Engagements,middle,-0.33384618874052413,0.2815972145339834,0.04990373064742904
Heartfelt Emotions and Vulnerability,middle,-0.34002589140925066,0.1876362098257769,0.10459367196037712
Departures and Goodbyes,middle,-0.35305053890336413,0.277568672994215,0.055946606855558245
Guilt and Regret,middle,-0.41605508643701644,0.1876362098257769,0.09345338030342774
Partings and Letting Go,middle,-0.5494555199500741,0.277568672994215,0.05165077309714804
Reading and Rereading,middle,-0.6302638906392616,0.0821718446874664,0.15097979309389076
Heartfelt Emotions and Vulnerability,top,0.7411326699768319,0.1876362098257769,0.10459367196037712
Guilt and Regret,top,0.6512599393693075,0.1876362098257769,0.09345338030342774
Comfort in Silence,top,0.6351870715002205,0.1876362098257769,0.09511271461106655
Fathers and Sons,top,0.5716370390861243,0.1876362098257769,0.09738532550937722
Reading and Rereading,top,0.5317279315768909,0.0821718446874664,0.15097979309389076
Rings and Engagements,top,0.4940707233245538,0.2815972145339834,0.04990373064742904
Air Travel,top,0.433215493750598,0.2082192485990255,0.07254383237675273
Expensive Jewellery,top,0.3927282042498278,0.277568672994215,0.05360641929322277
Connecting Through Dance,top,0.31866807391056556,0.1961135313527622,0.0890942730752506
Anger or Frustration,top,0.31112651197682895,0.2594312260418805,0.060669861060443836
Grumpiness and Gloomy Mood,top,0.17784597289610957,0.277568672994215,0.05422501991861354
Kitchen and Cooking,top,0.13547988282509305,0.277568672994215,0.053897234941076864
Bedroom and Cozy Blankets,top,0.05284949769943106,0.277568672994215,0.05261389443197773
Walls and Renovation,top,0.02322857341303736,0.277568672994215,0.05158058236349146
Partings and Letting Go,top,0.014902526534668763,0.277568672994215,0.05165077309714804
Addiction and Drugs,top,-0.054166865692205524,0.2082192485990255,0.08057649982120325
Sleep and Rest,top,-0.17982391389013927,0.2082192485990255,0.08293234372822902
Departures and Goodbyes,top,-0.2358175136742335,0.277568672994215,0.055946606855558245
Hockey and Sports,top,-0.30908835885744845,0.2082192485990255,0.07601147297285321
Urban Romance,top,-0.32026405502344807,0.1876362098257769,0.09730124844835467
Shivering and Electric Touches,top,-0.3622625654294682,0.2455535503298944,0.06681583957844538
Tattoos and Brutal Appearance,top,-0.4190754754742758,0.2455535503298944,0.0659843853583546
Startling and Sudden Realizations,top,-0.45991516093816465,0.2861372115888589,0.04754987070758281
Legs and Thighs and Desire,top,-0.4614991324778649,0.2082192485990255,0.07461788247875373
Shrugging off Feelings and Indifference,top,-0.46910395325950377,0.2082192485990255,0.07292125799342462
Gatherings and Shared Meals,top,-0.4862799390027506,0.277568672994215,0.05099165767284383
Physical Intimacy Focusing on Touch,top,-0.48767152665097463,0.2594312260418805,0.05988187299461343
Actions with Objects.,top,-0.5149473190835789,0.2594312260418805,0.06105381738143954
Fancy Underwear,top,-0.5736191200708352,0.2594312260418805,0.05987185474641642
Emphasis on Hips and Body Language,top,-0.6178245935407024,0.2082192485990255,0.07803999944688134
Startling and Sudden Realizations,trash,0.7473185635911814,0.2861372115888589,0.04754987070758281
Gatherings and Shared Meals,trash,0.6744987414197734,0.277568672994215,0.05099165767284383
Shivering and Electric Touches,trash,0.6697558561036956,0.2455535503298944,0.06681583957844538
Departures and Goodbyes,trash,0.5888680525775977,0.277568672994215,0.055946606855558245
Legs and Thighs and Desire,trash,0.5784799791587066,0.2082192485990255,0.07461788247875373
Partings and Letting Go,trash,0.5345529934154053,0.277568672994215,0.05165077309714804
Actions with Objects.,trash,0.5175863860920382,0.2594312260418805,0.06105381738143954
Emphasis on Hips and Body Language,trash,0.4919542246061298,0.2082192485990255,0.07803999944688134
Fancy Underwear,trash,0.38596515600102654,0.2594312260418805,0.05987185474641642
Shrugging off Feelings and Indifference,trash,0.18612934786273613,0.2082192485990255,0.07292125799342462
Reading and Rereading,trash,0.09853595906237071,0.0821718446874664,0.15097979309389076
Physical Intimacy Focusing on Touch,trash,0.008257479323365787,0.2594312260418805,0.05988187299461343
Hockey and Sports,trash,-0.016178683617524545,0.2082192485990255,0.07601147297285321
Anger or Frustration,trash,-0.016752208064376772,0.2594312260418805,0.060669861060443836
Tattoos and Brutal Appearance,trash,-0.12450644671550296,0.2455535503298944,0.0659843853583546
Rings and Engagements,trash,-0.1602245345840296,0.2815972145339834,0.04990373064742904
Grumpiness and Gloomy Mood,trash,-0.20456346345886134,0.277568672994215,0.05422501991861354
Connecting Through Dance,trash,-0.20691016026663794,0.1961135313527622,0.0890942730752506
Guilt and Regret,trash,-0.2352048529322911,0.1876362098257769,0.09345338030342774
Sleep and Rest,trash,-0.26784414521043004,0.2082192485990255,0.08293234372822902
Urban Romance,trash,-0.31399339608923194,0.1876362098257769,0.09730124844835467
Walls and Renovation,trash,-0.3147708862900933,0.277568672994215,0.05158058236349146
Addiction and Drugs,trash,-0.3603470574107824,0.2082192485990255,0.08057649982120325
Bedroom and Cozy Blankets,trash,-0.3780224503459947,0.277568672994215,0.05261389443197773
Heartfelt Emotions and Vulnerability,trash,-0.40110677856758103,0.1876362098257769,0.10459367196037712
Kitchen and Cooking,trash,-0.40398906233035947,0.277568672994215,0.053897234941076864
Air Travel,trash,-0.42371053528199865,0.2082192485990255,0.07254383237675273
Expensive Jewellery,trash,-0.45230054238744466,0.277568672994215,0.05360641929322277
Fathers and Sons,trash,-0.4624056422361485,0.1876362098257769,0.09738532550937722
Comfort in Silence,trash,-0.6327863124616775,0.1876362098257769,0.09511271461106655
