topic,group,effect,q,eta2_kw
Urban Romance,middle,0.6342574511126801,0.1876362098257769,0.09730124844835467
Tattoos and Brutal Appearance,middle,0.5435819221897787,0.2455535503298944,0.0659843853583546
Physical Intimacy Focusing on Touch,middle,0.47941404732760884,0.2594312260418805,0.05988187299461343
Sleep and Rest,middle,0.44766805910056934,0.2082192485990255,0.08293234372822902
Addiction and Drugs,middle,0.41451392310298785,0.2082192485990255,0.08057649982120325
Hockey and Sports,middle,0.32526704247497296,0.2082192485990255,0.07601147297285321
Bedroom and Cozy Blankets,middle,0.3251729526465639,0.277568672994215,0.05261389443197773
Walls and Renovation,middle,0.29154231287705595,0.277568672994215,0.05158058236349146
Shrugging off Feelings and Indifference,middle,0.2829746053967678,0.2082192485990255,0.07292125799342462
Kitchen and Cooking,middle,0.26850917950526626,0.277568672994215,0.053897234941076864
Fancy Underwear,middle,0.1876539640698087,0.2594312260418805,0.05987185474641642
Emphasis on Hips and Body Language,middle,0.12587036893457257,0.2082192485990255,0.07803999944688134
Expensive Jewellery,middle,0.05957233813761677,0.277568672994215,0.05360641929322277
Grumpiness and Gloomy Mood,middle,0.02671749056275178,0.277568672994215,0.05422501991861354
Comfort in Silence,middle,-0.002400759038543133,0.1876362098257769,0.09511271461106655
Actions with Objects.,middle,-0.0026390670084592105,0.2594312260418805,0.06105381738143954
Air Travel,middle,-0.009504958468599209,0.2082192485990255,0.07254383237675273
Fathers and Sons,middle,-0.1092313968499758,0.1876362098257769,0.09738532550937722
Connecting Through Dance,middle,-0.1117579136439276,0.1961135313527622,0.0890942730752506
Legs and Thighs and Desire,middle,-0.11698084668084203,0.2082192485990255,0.07461788247875373
