topic,group,effect,q,eta2_kw
Heartfelt Emotions and Vulnerability,top,0.7411326699768319,0.1876362098257769,0.10459367196037712
Guilt and Regret,top,0.6512599393693075,0.1876362098257769,0.09345338030342774
Comfort in Silence,top,0.6351870715002205,0.1876362098257769,0.09511271461106655
Fathers and Sons,top,0.5716370390861243,0.1876362098257769,0.09738532550937722
Reading and Rereading,top,0.5317279315768909,0.0821718446874664,0.15097979309389076
Rings and Engagements,top,0.4940707233245538,0.2815972145339834,0.04990373064742904
Air Travel,top,0.433215493750598,0.2082192485990255,0.07254383237675273
Expensive Jewellery,top,0.3927282042498278,0.277568672994215,0.05360641929322277
Connecting Through Dance,top,0.31866807391056556,0.1961135313527622,0.0890942730752506
Anger or Frustration,top,0.31112651197682895,0.2594312260418805,0.060669861060443836
Grumpiness and Gloomy Mood,top,0.17784597289610957,0.277568672994215,0.05422501991861354
Kitchen and Cooking,top,0.13547988282509305,0.277568672994215,0.053897234941076864
Bedroom and Cozy Blankets,top,0.05284949769943106,0.277568672994215,0.05261389443197773
Walls and Renovation,top,0.02322857341303736,0.277568672994215,0.05158058236349146
Partings and Letting Go,top,0.014902526534668763,0.277568672994215,0.05165077309714804
Addiction and Drugs,top,-0.054166865692205524,0.2082192485990255,0.08057649982120325
Sleep and Rest,top,-0.17982391389013927,0.2082192485990255,0.08293234372822902
Departures and Goodbyes,top,-0.2358175136742335,0.277568672994215,0.055946606855558245
Hockey and Sports,top,-0.30908835885744845,0.2082192485990255,0.07601147297285321
Urban Romance,top,-0.32026405502344807,0.1876362098257769,0.09730124844835467
