
Topic,Name,Themes,LikelyGroup
92,92_feet_legs_footfalls_footstep,Walking and Traveling,top
0,0_smiled_smile_smiles_grinning,Joy and Lightheartedness,top
40,40_home_homely_homed_homesick,Returning or Homecoming,top
42,42_kitchen_kitchens_kitchenette_countertop,Cooking and Cleaning,top
43,43_walked_walking_walks_walk,Walking and Strolling,top
31,31_dinner_dinners_dining_meal,Shared Meals and Social Bonding,top
44,44_wish_wishes_wished_wishing,Wishing and Hoping,top
29,29_garden_gardens_gardenia_gardening,Planting and Gardening,top
45,45_cup_teacup_cups_coffee,Drinking Coffee or Tea,top
48,48_kindness_gratefulness_kindest_generosity,Caring Interactions,top
21,21_chair_chairs_seat_armchair,Everyday Domestic Details,top
86,86_dogs_canines_pets_pups,Caring for Pets,top
16,16_asleep_sleepily_slept_sleeping,Sleeping and Awakening,top
103,103_friendship_friendships_befriend_companionship,Companionship and Trust,top
108,108_pillow_pillows_pillowcase_mattress,Resting and Sleeping,top
63,63_trust_trusts_trustworthiness_trusting,Trust and Betrayal,top
4,4_married_marriage_wedded_marriages,Marriage and Commitment,top
5,5_kiss_kissed_kisses_kissing,Romantic Intimacy,top
6,6_room_rooms_indoors_downstairs,Domestic Interactions,top
7,7_course_courses_taught_lecture,Education and Knowledge,top
155,155_worry_worrying_worried_worries,,medium
145,145_ghosts_ghostseer_ghostly_haunted,,medium
161,161_wounds_wound_bandaged_bandage,,medium
160,160_wall_wallenstein_wallpaper_wallaby,,medium
146,146_grow_grows_grew_growing,,medium
148,148_pray_praying_prayer_prayed,,medium
159,159_knife_knives_stabbing_stabbed,,medium
147,147_employer_employers_employee_employees,,medium
149,149_grip_grasps_grasp_gripped,,medium
150,150_pocket_pocketing_pocketbook_pockets,,medium
158,158_since_last_neared_almost,,medium
151,151_breakfast_breakfasted_breakfasts_meal,,medium
152,152_meeting_meetings_meet_meetup,,medium
157,157_church_churchgoer_churchman_congregation,,medium
153,153_strength_strengths_stronger_powerful,,medium
156,156_chariot_charioteers_charioteer_chariots,,medium
154,154_servants_servant_servantly_servile,,medium
144,144_least_easiest_seems_littlest,,medium
-1,-1_thought_think_thoughts_speak,Communication,medium
143,143_find_finder_finds_finding,,medium
130,130_rest_restful_resting_rested,,medium
119,119_desk_desks_deskmate_workstation,,medium
120,120_rock_rocks_rockily_rockslide,,medium
121,121_couch_couches_sofa_sofas,,medium
122,122_breasts_breast_nipple_nipples,,medium
123,123_jump_jumping_jumps_jumped,,medium
124,124_teeth_toothsome_tooth_dentist,,medium
125,125_left_leftenant_righto_thought,,medium
126,126_promise_promises_vowed_vowing,,medium
127,127_care_careth_cares_cared,,medium
128,128_roped_rope_ropes_hanged,,medium
129,129_gossips_gossiping_gossip_gossiped,,medium
131,131_dawns_sunrise_dawn_sunset,,medium
142,142_visit_visits_visited_visitors,,medium
132,132_stage_onstage_stagehands_staged,,medium
133,133_blushes_blush_blushingly_cheeks,,medium
134,134_story_storyteller_storytelling_narrative,,medium
135,135_key_keys_lock_padlock,,medium
136,136_river_riverbank_rivers_pond,,medium
137,137_gift_gifts_presents_received,,medium
138,138_distance_distances_furthest_farther,,medium
163,163_ring_rings_ringlets_wearing,,medium
139,139_affection_affections_affectionate_intimacy,,medium
140,140_die_dying_died_dies,,medium
141,141_clock_clocking_clockwork_clocked,,medium
162,162_comfort_comforted_comforting_comforts,,medium
170,170_bit_bits_bittlesham_maybe,,medium
164,164_storefront_shop_shopfront_shops,,medium
202,202_hurt_hurting_pain_cruel,,medium
192,192_gold_glittering_jewelled_precious,,medium
193,193_earth_earths_earthen_planet,,medium
196,196_cough_coughs_coughing_coughed,,medium
194,194_color_colors_colored_colour,,medium
195,195_estate_estates_bequeathed_property,,medium
197,197_shame_shameful_shamefully_shamelessness,,medium
198,198_calm_calmness_calms_calmer,,medium
199,199_hands_handed_clasped_gingerly,,medium
200,200_copyright_royalties_owns_infringement,,medium
201,201_skate_skates_skated_skating,,medium
203,203_travel_travelling_traveling_travels,,medium
190,190_liberty_liberties_freedoms_freedom,,medium
204,204_invitation_invitations_invite_invites,,medium
205,205_taste_tastes_tasted_tastebuds,,medium
206,206_stay_stays_stayed_longer,,medium
207,207_france_frenchman_frenchmen_frenchwomen,,medium
208,208_nose_noses_nostrils_nasal,,medium
209,209_tomb_tombs_tombsteans_buried,,medium
210,210_nervous_nervousness_anxious_anxiousness,,medium
