topic,mean_trash,mean_middle,mean_top,H,p,q,significant,max_group,max_mean,eta2_kw
Reading and Rereading,0.0222906714544347,0.0023187407144245,0.0341618046273221,15.739161171544058,0.0003821946264533,0.0821718446874664,False,top,0.0341618046273221,0.15097979309389076
Comfort in Silence,0.2136470605233426,0.3028557930972409,0.3930837527293139,10.655257029607055,0.0048555712847322,0.1876362098257769,False,top,0.3930837527293139,0.09511271461106655
Fathers and Sons,0.7750764661992173,0.926344414737556,1.2179669576439462,10.862064621353326,0.004378573420728,0.1876362098257769,False,top,1.2179669576439462,0.09738532550937722
Guilt and Regret,0.4344870528135821,0.4050518095193536,0.5787683530225946,10.504257607611924,0.0052363593439751,0.1876362098257769,False,top,0.5787683530225946,0.09345338030342774
Heartfelt Emotions and Vulnerability,0.4473677175528545,0.4580004144623084,0.6462038252032348,11.518024148394318,0.003154226201145,0.1876362098257769,False,top,0.6462038252032348,0.10459367196037712
Urban Romance,0.267068668705932,0.4670459159129577,0.2657462453033704,10.854413608800275,0.0043953557608382,0.1876362098257769,False,middle,0.4670459159129577,0.09730124844835467
Connecting Through Dance,0.1790430098126264,0.2140846070436988,0.3725970397924097,10.107578849847805,0.006385091718462,0.1961135313527622,False,top,0.3725970397924097,0.0890942730752506
Addiction and Drugs,0.0833874035774176,0.1574605073402867,0.1126568050334924,9.332461483729496,0.0094076626912491,0.2082192485990255,False,middle,0.1574605073402867,0.08057649982120325
Air Travel,0.20175547356039,0.2955041230248488,0.3957066475904271,8.601488746284499,0.0135584626994714,0.2082192485990255,False,top,0.3957066475904271,0.07254383237675273
Emphasis on Hips and Body Language,0.1169363313084183,0.0952108460524094,0.0510757833013207,9.101639949666202,0.0105585430937069,0.2082192485990255,False,trash,0.1169363313084183,0.07803999944688134
Hockey and Sports,0.0795636488431771,0.1678211924719685,0.0038517963692072,8.917044040529643,0.0115794648608745,0.2082192485990255,False,middle,0.1678211924719685,0.07601147297285321
Legs and Thighs and Desire,0.5415370720042915,0.4191936362405747,0.3585869863736298,8.790227305566589,0.0123374780570261,0.2082192485990255,False,trash,0.5415370720042915,0.07461788247875373
Shrugging off Feelings and Indifference,0.2817444999345618,0.296677382742059,0.1807119626026266,8.635834477401641,0.0133276128919536,0.2082192485990255,False,middle,0.296677382742059,0.07292125799342462
Sleep and Rest,0.9903943945834424,1.3078535545974634,1.029447297567937,9.546843279268842,0.0084514129410366,0.2082192485990255,False,middle,1.3078535545974634,0.08293234372822902
Shivering and Electric Touches,0.4121425119414623,0.2569322503953618,0.2482335951061974,8.08024140163853,0.0175953485144667,0.2455535503298944,False,trash,0.4121425119414623,0.06681583957844538
Tattoos and Brutal Appearance,0.0527969534540367,0.1325248244643108,0.0176438769725768,8.004579067610269,0.0182737525826898,0.2455535503298944,False,middle,0.1325248244643108,0.0659843853583546
Actions with Objects.,0.4612426504412105,0.3968665293025525,0.3334701347213922,7.555897381710999,0.0228695558710153,0.2594312260418805,False,trash,0.4612426504412105,0.06105381738143954
Anger or Frustration,0.4699594853058214,0.4113238562998418,0.5392096468556873,7.520957356500389,0.0232725976219058,0.2594312260418805,False,top,0.5392096468556873,0.060669861060443836
Fancy Underwear,0.4066766950077033,0.3717403608414424,0.2376274517296755,7.448338781923894,0.0241331373062214,0.2594312260418805,False,trash,0.4066766950077033,0.05987185474641642
