topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
1,Intimate Breast And Nipple Kissing,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.29777777777777775,0.0031262891610535906,0.00412240498117305,0.9891304347826086
2,Clitoral Stimulation During Foreplay,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.18833333333333332,0.0056534299151833976,0.004119620052063688,0.967391304347826
3,Dinner Invitation,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.12,0.0036385099298765593,0.003524620944689882,0.9891304347826086
4,Unclear Relationship Feelings,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.04013605442176871,0.001886656423102992,0.0019911818292234085,0.8027950310559007
5,Long-term Relationship Struggles,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.015555555555555555,0.002195107677634954,0.0022448082641018247,0.9891304347826086
6,Wine-drinking At Table,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.19777777777777777,0.005224274947355532,0.004568130498689889,1.0
7,Relationship Ambiguity Conversation,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.044444444444444446,0.011617997710807307,0.011546793171362979,1.0
9,Marriage Ceremony Planning,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.2866666666666667,0.003759611174178495,0.002216880701441856,0.9891304347826086
10,Knocking On Door,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.24444444444444444,0.005003179770471362,0.0040651765275327885,1.0
11,Wine Tasting At Dinner,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.2311111111111111,0.006958756216417989,0.00915983710249044,1.0
12,Tender Forehead Kisses,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.08388888888888889,0.0010230397436911077,0.0012894132440705829,0.5217391304347826
13,Playful Laughter And Smiles,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.04111111111111111,0.0021576341799731,0.0020849033836401612,0.7717391304347826
14,Playful Smiling Interactions,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,0.18444444444444444,0.002970958555375859,0.002593679501892147,0.9891304347826086
16,Intergenerational Family Bonding,76,32,lisa kleypas,3,0.039473684210526314,0.07894736842105263,False,0.0,low,0.24,0.0020868728552165036,0.0014376587060850785,0.8260869565217391
19,Adrenaline-fueled game,75,30,alexa riley,3,0.04,0.08,False,0.0,low,0.27555555555555555,0.0027537800542741997,0.0022765319114891143,0.8152173913043478
20,Eye Contact And Staring,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.03722222222222222,0.0024616091546514345,0.0025826798532891265,0.9510869565217391
21,Parked Car Makeout,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.10666666666666667,0.002179357698202688,0.0021271425261032723,1.0
22,Resisting Temptation,74,31,alexa riley,3,0.04054054054054054,0.08108108108108109,False,0.0,low,0.2866666666666667,0.0015099018516810522,0.0012970422537866033,0.8043478260869565
23,Board Game Around Table,7,3,j. clare,3,0.42857142857142855,0.8571428571428571,False,0.0,medium,-0.011111111111111112,0.0004237417148384684,0.00041767350892922995,0.07608695652173914
24,Phone Notifications During Night,59,25,louise bay,3,0.05084745762711865,0.1016949152542373,False,0.0,low,0.24888888888888888,0.001535355604392195,0.0011379554365834187,0.6413043478260869
26,Nighttime Fun Planning,88,33,alexa riley,3,0.03409090909090909,0.06818181818181818,False,0.0,low,0.04888888888888889,0.0017642244717206489,0.0017834292810830587,0.9565217391304348
27,Exiting Through Doorways,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.32,0.002323373366033391,0.0033924878247967643,0.9891304347826086
28,Unclear Feelings Conversation,1,1,ana huang,1,1.0,1.0,True,1.0,high,0.08,0.000570394998902857,0.0005717873543536438,0.010869565217391304
29,Time Perception Distortion,92,33,alexa riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.0022222222222222222,0.0026024928679304294,0.0024954761648563707,1.0
30,Hockey Game Action,37,21,max monroe,3,0.08108108108108109,0.16216216216216217,False,0.0,low,0.10555555555555556,0.00045560208524425257,0.00040870155396526865,0.21739130434782608
31,Clothing Shopping Together,51,25,lisa kleypas,3,0.058823529411764705,0.11764705882352941,False,0.0,low,0.25555555555555554,0.0010678925380832515,0.0009659807682974512,0.5543478260869565
33,Business Discussion,91,33,alexa riley,3,0.03296703296703297,0.06593406593406594,False,0.0,low,-0.28444444444444444,0.0021845509735314104,0.0024959840822200026,0.9891304347826086
34,Archery Hunting,9,5,j. clare,3,0.3333333333333333,0.6666666666666666,False,0.0,medium,0.1711111111111111,0.0004141626028194223,0.0003945023994507106,0.09782608695652174
35,Silent Ride Together,20,13,jennifer probst,3,0.15,0.3,False,0.0,low,-0.09777777777777778,0.000638120682220894,0.0006402808100642143,0.21739130434782608
36,Kneeling For Intimacy,75,29,alexa riley,3,0.04,0.08,False,0.0,low,0.33111111111111113,0.002249664473563365,0.001557315000220404,0.8152173913043478
