topic_id,label,top_n,top_mean,top_median,top_q1,top_q3,top_std,middle_n,middle_mean,middle_median,middle_q1,middle_q3,middle_std,trash_n,trash_mean,trash_median,trash_q1,trash_q3,trash_std,cliffs_top_trash,cliffs_top_middle,cliffs_middle_trash,kruskal_stat,kruskal_p,mw_top_trash_stat,mw_top_trash_p,mw_top_middle_stat,mw_top_middle_p,mw_middle_trash_stat,mw_middle_trash_p,kruskal_p_adj,mw_top_trash_p_adj,mw_top_middle_p_adj,mw_middle_trash_p_adj,prevalence,mass,concentration_ratio,scene_summary,keywords,label_is_noise,primary_categories,secondary_categories,taxonomy_main_name,taxonomy_main_group,taxonomy_confidence,taxonomy_is_noise,taxonomy_secondary_name,taxonomy_secondary_group,radway_main_name,radway_phase_name,radway_phase,radway_confidence,radway_is_none,middle_relative,abs_cliffs_top_trash
0,Negotiating Deal,30,0.0005812293786143212,0.0005628139662963974,0.0005386049331016561,0.00062624617647977,8.83683535188255e-05,32,0.000571575231312107,0.0005617621216533819,0.0005153600966933537,0.0006088451469840607,9.31517558890789e-05,30,0.0005699665778840798,0.0005732416760939477,0.0004970588998770031,0.000629159617370858,9.728020379980035e-05,0.05333333333333334,0.10833333333333334,-0.027083333333333334,0.46086664329124005,0.7941893884782768,474.0,0.7282652959955469,532.0,0.4681919118125999,467.0,0.860235961499475,0.9234134245696574,0.892124987594545,0.9021900323130436,0.948748986476913,0.0,0.0005741987619232549,1.4935828932124495,The couple discusses terms and expectations for their relationship.,"ita, ia, need, say, want, going, dona, means, think, idea",False,"relationship_conflict, domestic_life","setting:living_room, activity:discussion","Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),medium,False,,,Heroine reacts antagonistically to the hero,Initial Conflict & Isolation,I,medium,False,0.9799741489205691,0.05333333333333334
1,Intimate Breast And Nipple Kissing,30,0.008037940552667112,0.0031262891610535906,0.002582265530540216,0.00418110940951845,0.015186278348435594,32,0.013307917593782016,0.003379560636559923,0.002785059684222457,0.016186685659477302,0.017930785277915088,30,0.020073048915010102,0.00412240498117305,0.0031429183763712343,0.04285956773800822,0.02202381142862518,-0.29777777777777775,-0.18541666666666667,-0.17083333333333334,4.508225222066358,0.10496664866594387,316.0,0.048413499464813624,391.0,0.2125432751706885,398.0,0.25096807009750655,0.5605279198717233,0.32695841250741015,0.8011246525664412,0.8824361808307414,0.9891304347826086,0.013795467902514574,4.604132488617969,He gently kisses her breasts and nipples while she responds with soft moans.,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",False,"physical_affection, sexual_content","setting:bedroom, activity:kissing",Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",high,False,,,Heroine responds sexually and emotionally,Commitment & Restoration,III,high,False,0.8198031416161202,0.29777777777777775
2,Clitoral Stimulation During Foreplay,60,0.00798271767584502,0.0056534299151833976,0.0036872386417949087,0.008602765238326576,0.008284075235707488,64,0.006524652609597599,0.00525840666600032,0.002410040923885736,0.007983932456181423,0.005246805420304055,60,0.006690450436165502,0.004119620052063688,0.0021274272392546663,0.008348499752898156,0.007237726480363921,0.18833333333333332,0.10104166666666667,0.08802083333333334,3.188830420094064,0.2030272220734052,2139.0,0.07562349968352039,2114.0,0.3332941412537811,2089.0,0.39950813969981014,0.6330757924652544,0.3325494921980448,0.8716791045562524,0.8824361808307414,0.967391304347826,0.007054173118124335,7.078110490300372,"She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.","clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",False,"sexual_content, romance_core","setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",high,False,,,Heroine responds sexually and emotionally,Commitment & Restoration,III,high,False,0.9301267817728062,0.18833333333333332
3,Dinner Invitation,30,0.0044777449953403055,0.0036385099298765593,0.00266135328953028,0.005533243246057662,0.0026980438933596057,32,0.004630402033971786,0.0034007035564449905,0.0026292968757960387,0.005677583654446001,0.0034375509265765457,30,0.0036687636198207045,0.003524620944689882,0.0027464267856963983,0.00415835453750771,0.001651441605061048,0.12,0.04375,0.06875,0.6231416549789515,0.7322957419995734,504.0,0.4289633888604326,501.0,0.7727642504350429,513.0,0.6471019643535434,0.9204284411301258,0.6885234670952781,0.955284819810491,0.8952738463127374,0.9891304347826086,0.004267044821107908,3.957465606458227,"He invites her to dinner, suggesting a restaurant or specific meal.","dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",False,"romance_core, social_setting","setting:restaurant, activity:invitation","Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),high,False,,,Hero treats heroine tenderly,Turning Point & Recognition,II,medium,False,0.9346417980220226,0.12
4,Unclear Relationship Feelings,210,0.0029579730878391895,0.001886656423102992,0.001254179712077114,0.0030186523800788305,0.00459313894043298,224,0.003223438533795742,0.0018558731277575824,0.0011866888847295648,0.003469452883331058,0.004852989713370442,210,0.004191142991232432,0.0019911818292234085,0.0011566511032480068,0.003913218200541366,0.007085137470222987,-0.04013605442176871,-0.00897108843537415,-0.03018707482993197,0.547337644360141,0.760583922080728,21165.0,0.47702486833328916,23309.0,0.8719360563084245,22810.0,0.5869017058655494,0.9204284411301258,0.7290894193701487,0.9578167693920814,0.8824361808307414,0.8027950310559007,0.0034524295158001347,12.2297420583206,The couple expresses confusion about their relationship status and past behavior.,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",False,"romance_core, relationship_conflict","setting:home, activity:conversation","Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),medium,False,,,Hero and heroine are physically or emotionally separated,Initial Conflict & Isolation,I,medium,False,0.9320459876217344,0.04013605442176871
5,Long-term Relationship Struggles,30,0.0022245011918812035,0.002195107677634954,0.001983221183291119,0.0024820670961582156,0.00039282170127987517,32,0.0020785115630036106,0.0020897160289228525,0.0018962584346007023,0.0023235551214486586,0.0003433500387479571,30,0.002282395016108294,0.0022448082641018247,0.00183154945242828,0.0025561934187062277,0.0005161188867307643,-0.015555555555555555,0.18958333333333333,-0.16875,1.9885460495558505,0.369992322049063,443.0,0.9234421319782358,571.0,0.202389127548675,399.0,0.25683008206319546,0.710983061221506,0.9745866192877995,0.8011246525664412,0.8824361808307414,0.9891304347826086,0.002192600611476092,1.6729571648037815,"She reflects on their years together, wondering if she's lost her way.","gone, gotten, given, week, trying, years, learned, seen, maybe, hea",False,"romance_core, relationship_conflict","setting:home, relationship:long_term",Negative Emotions & Distress,"Emotions, Cognition & Inner Life",high,False,,,Hero and heroine are physically or emotionally separated,Initial Conflict & Isolation,I,medium,False,0.9309106569366217,0.015555555555555555
6,Wine-drinking At Table,30,0.0059563475820933924,0.005224274947355532,0.004347780182143215,0.006862653410689226,0.0029042646904964557,32,0.006296293447981372,0.006191300688279923,0.004335524045645082,0.007693321896021036,0.0025082037720512962,30,0.005027963754119717,0.004568130498689889,0.003042612534691686,0.006776556460547253,0.0023895836451830526,0.19777777777777777,-0.12083333333333333,0.30833333333333335,4.530797101449252,0.10378866125051783,539.0,0.19073033347156776,422.0,0.4179749516143205,628.0,0.03773968323945342,0.5605279198717233,0.4543090581996371,0.8849716568130367,0.8663609529207564,1.0,0.005771855765454318,2.91368666942346,"The couple sits at a table, sipping wine from their glasses.","wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",False,"social_setting, physical_affection","setting:table, activity:drinking_wine",Friends & Social Circles,Social World Outside Couple,high,False,,,None of the above,Not a narrative function,NA,high,True,1.1851023600707793,0.19777777777777777
7,Relationship Ambiguity Conversation,30,0.012180185684168676,0.011617997710807307,0.00936886400255957,0.014226954781119737,0.003715288371820466,32,0.011116980701901764,0.01061888862714625,0.009092961897913475,0.012713980404643072,0.0031780561070031926,30,0.011673373547373238,0.011546793171362979,0.009718588121601559,0.013406380042131821,0.0034521637148002358,0.044444444444444446,0.14375,-0.1,1.0069395745675251,0.6044297742629465,470.0,0.773119942467523,549.0,0.3346026954191381,432.0,0.5034441591327508,0.8605419211758984,0.9019732662121103,0.8716791045562524,0.8824361808307414,1.0,0.011645110428338193,1.800935609588493,"The couple sits together, struggling to express their feelings and clarify their relationship status.","didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",False,"romance_core, relationship_conflict","setting:living_room, activity:conversation","Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),medium,False,,,Hero and heroine are physically or emotionally separated,Initial Conflict & Isolation,I,medium,False,0.9140033248472759,0.044444444444444446
9,Marriage Ceremony Planning,30,0.004863123317793016,0.003759611174178495,0.0022935037946545693,0.005951106004822189,0.0036963815286838535,32,0.004081665357751994,0.003216795785682889,0.001864596679949902,0.004283995677991217,0.003147959454818574,30,0.00406538757659823,0.002216880701441856,0.0017740276696053983,0.004047309820012442,0.004268680377761723,0.2866666666666667,0.16041666666666668,0.175,4.107103202431006,0.12827849951013437,579.0,0.05745954602854528,557.0,0.2812249485360865,564.0,0.23952574967209073,0.5640964786150781,0.32695841250741015,0.8682050114794277,0.8824361808307414,0.9891304347826086,0.0043311806334761,4.472238740390678,"The couple plans their wedding ceremony, discussing details and arrangements.","married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",False,"romance_core, domestic_life","setting:wedding_planning, activity:planning","Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),high,False,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",Heroine's identity is restored,Commitment & Restoration,III,high,False,0.85561925185624,0.2866666666666667
10,Knocking On Door,30,0.0054192468841480265,0.005003179770471362,0.004133389951382783,0.006372757915521104,0.002044660992276996,32,0.004791243737074507,0.00469228809263262,0.003334177551561438,0.00573406454649583,0.0018680085436054675,30,0.004813392181969781,0.0040651765275327885,0.0030134446021922146,0.005859816883891422,0.002623952205513994,0.24444444444444444,0.19375,0.06666666666666667,3.0323252688172033,0.2195527767906332,560.0,0.10546994652177778,573.0,0.19259314917535064,512.0,0.65725516871927,0.638348204198026,0.3848531027337211,0.7958969899656057,0.8981614457000383,1.0,0.005003249690977375,2.5744567748706872,Someone hesitates before knocking on a door in a hallway.,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",False,"domestic_life, social_setting","setting:hallway, activity:knocking",Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.9378611631227537,0.24444444444444444
