label,topic_id,cliffs_top_trash,top_median,trash_median,mw_top_trash_p,prevalence,mass,keywords,label_is_noise,abs_cliffs_top_trash
Engagement Surprise,124,0.49333333333333335,0.00026719296640227545,0.00021632269273381567,0.0010575543184782395,0.010869565217391304,0.0005894363519472815,"viviana, shallowed, ante, returned, engagement, stunt, instances, cheeks, ex, flushed",False,0.49333333333333335
Argument With Glare,252,0.48,0.0001870256164431641,0.0001646722245153921,0.0014423282031954528,0.03260869565217391,0.00031084457862451783,"westona, growls, straightens, cautions, scowls, movea, retorts, turns, smoldering, oops",False,0.48
Excited Diversion,136,0.4622222222222222,0.0010429246543411862,0.0008246786773936151,0.002156637821229769,0.44565217391304346,0.0010310562483730429,"fun, excited, excitement, entertaining, having, sounds, uncomplicated, goad, diversion, funa",False,0.4622222222222222
OTHER (Missing/Noise Mass),-1,0.4222222222222222,0.33316978759914534,0.3089203215289421,0.005084221723644086,1.0,0.3198232363253939,,,0.4222222222222222
Frightened Admissions,82,0.39111111111111113,0.0014963746461461981,0.0012449979141322567,0.009468269708615267,0.8586956521739131,0.0015044536926291342,"scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears",False,0.39111111111111113
Deflecting Blame,150,-0.38666666666666666,0.001496367082007459,0.0016581600374506802,0.010314672402337998,0.967391304347826,0.0016321013138510664,"industries, fault, dona, anythinga, avaa, aa, shoulda, dramatic, stop, consented",False,0.38666666666666666
Emotional Relationship Delusion,321,0.38222222222222224,0.0016685826124324692,0.001419963358771072,0.01122776446668884,0.8804347826086957,0.0018725267114154712,"cilliana, antidote, maine, evon, unlike, entertainment, spent, footed, entailed, tolerant",False,0.38222222222222224
Adrenaline-fueled Racing,313,0.38,0.0009858485960928714,0.0005249137127184382,0.011710683792873126,0.34782608695652173,0.0008403157831700212,"race, frowns, begins, starts, racing, brace, races, deluge, prebuyers, thoroughbred",False,0.38
Local Honey Accident,304,0.3711111111111111,0.0003340404621577271,0.0002125229116781718,0.013831619802975413,0.08695652173913043,0.00040027148296538877,"jar, barista, trance, suggests, georgiaa, taffy, saltwater, supplement, local, mileage",False,0.3711111111111111
Married Couple's Affectionate Stares,67,0.3688888888888889,0.0002451859825590098,0.00022848620977960316,0.014412183349875863,0.043478260869565216,0.0006969099758770182,"ravena, aresa, nods, tenses, looks, hurting, walks, wona, marry, stares",False,0.3688888888888889
Kitten Rescue And Bonding,70,0.3688888888888889,0.0006706491275487159,0.0005162330473281261,0.014412183349875863,0.18478260869565216,0.0009005431800400181,"kittens, delivery, cata, purr, claws, rescued, hairless, arrogantly, cheshire, lap",False,0.3688888888888889
Smiling And Laughing Together,330,0.3688888888888889,0.0008816580008463369,0.0006880849239172347,0.014412183349875863,0.2717391304347826,0.000956890102125843,"marleya, confidante, splutters, goofily, pleads, kicking, suma, ra, stylist, glance",False,0.3688888888888889
Whispered Secrets,76,0.36666666666666664,0.0009015872285638091,0.0007655709296723657,0.015014132798189755,0.34782608695652173,0.001165599612326554,"whisper, whispered, murmur, whispers, whata, breathy, shh, contorting, conceited, meek",False,0.36666666666666664
Protective Conversations By Firelight,250,-0.3622222222222222,0.0023704001033793935,0.0036287712051225546,0.0162848089481173,0.9782608695652174,0.003957859495746798,"loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",False,0.3622222222222222
Dominatrix Session,55,-0.35555555555555557,0.004008409379597068,0.005743392782548063,0.0183679594713855,0.9891304347826086,0.0062983456858546095,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",False,0.35555555555555557
