label,topic_id,top_median,top_mean,trash_median,cliffs_top_trash,prevalence,mass,keywords,label_is_noise
OTHER (Missing/Noise Mass),-1,0.33316978759914534,0.3290587029438368,0.3089203215289421,0.4222222222222222,1.0,0.3198232363253939,,
Relationship Ambiguity Conversation,7,0.011617997710807307,0.012180185684168676,0.011546793171362979,0.044444444444444446,1.0,0.011645110428338193,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",False
Work-related Presentation,223,0.008978255460990084,0.008779205147884023,0.008736411551703205,0.011111111111111112,1.0,0.008896884374054406,"wea, work, need, talked, presentation, whatevera, talk, discuss, adults, handle",False
Shoulder Burden,349,0.007499852110092441,0.007673048158702818,0.008154698312528205,-0.15555555555555556,1.0,0.0077005178775164445,"shoulders, raise, hunch, slump, square, straighten, weight, roll, dignity, bunch",False
Emotional Delusion Conversation,320,0.007133173024386775,0.007033433547441775,0.007099071118765159,-0.04,1.0,0.0070611637638898165,"feelsa, feela, better, feels, felta, feeling, soa, makes, felt, queasy",False
Wine Tasting At Dinner,11,0.006958756216417989,0.007550722817174085,0.00915983710249044,-0.2311111111111111,1.0,0.008743308151988332,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",False
Optimistic Reassurance,192,0.006552019657119608,0.006735269361797633,0.0068704105183940885,-0.06888888888888889,1.0,0.0067277210697872444,"everythinga, ita, perfectly, suited, going, sashimi, fixable, totally, shhhh, sod",False
Indoor Pool Swimming,351,0.00589254812967082,0.0061950586606415595,0.005697375903213748,0.14444444444444443,1.0,0.006171271165149791,"pool, swimming, swim, scum, gene, float, swimmer, cabana, jell, indoor",False
Morning Routine Struggles,288,0.005881709217907562,0.005840614296611614,0.005725315492404823,0.015555555555555555,1.0,0.006000628738357529,"mornings, early, morninga, omg, righta, routine, noon, overnight, oj, tomorrow",False
Pride In Accomplishments,85,0.005835478663314267,0.00586880322178113,0.006244451102817593,-0.2777777777777778,1.0,0.006178903332617791,"did, tried, thought, try, trya, course, dida, really, wona, hoped",False
Clitoral Stimulation During Foreplay,2,0.0056534299151833976,0.00798271767584502,0.004119620052063688,0.18833333333333332,0.967391304347826,0.007054173118124335,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",False
Wine-drinking At Table,6,0.005224274947355532,0.0059563475820933924,0.004568130498689889,0.19777777777777777,1.0,0.005771855765454318,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",False
Knocking On Door,10,0.005003179770471362,0.0054192468841480265,0.0040651765275327885,0.24444444444444444,1.0,0.005003249690977375,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",False
Epic Love Confessions,108,0.005002887872606837,0.005026640809596679,0.004791378952656626,0.14,1.0,0.004973581242351355,"loved, fall, falling, believe, consuming, isna, true, fickle, kind, loves",False
Apologetic Excuse Me,65,0.004648112198506103,0.004596362481689802,0.00460393995584843,-0.006666666666666667,1.0,0.004660473495223628,"excuse, aye, alright, look, ew, excellent, bye, called, lottiea, buta",False
Puzzled Decision Making,77,0.004441244846885352,0.004751790592720708,0.004193211029334181,0.14666666666666667,0.9891304347826086,0.004510344172014588,"asks, asked, replies, whata, doing, says, answered, demanded, howa, tone",False
Color Scheme Discussion,307,0.004350483092607067,0.004497681817005235,0.004752402587349675,-0.07111111111111111,1.0,0.004482957344111026,"colors, favorite, yellow, scheme, bright, ones, shade, primary, packets, burgundy",False
Relaxing Moment,360,0.00430091518484767,0.004424917363402203,0.003992625413969497,0.21555555555555556,0.9782608695652174,0.004140970575311279,"relax, rest, relaxing, relaxed, enjoy, relaxation, relaxes, abysmally, averse, awash",False
Schoolyard Argument,264,0.004169925415136437,0.004251234371344876,0.0035996925986873244,0.27111111111111114,1.0,0.004376835507351102,"lilliea, rubya, daughtera, holds, daughter, squeeze, starts, dumpling, eleanora, school",False
Hatred-fueled Argument,202,0.004092852196087874,0.004194048921468728,0.004513819987095438,-0.2911111111111111,1.0,0.004429549507428104,"hated, hate, hates, despised, disliked, hating, represented, despise, history, hatred",False
Sisters Reflecting On Childhood,350,0.0040900577350829245,0.00435868742911725,0.0033427482706425895,0.24444444444444444,1.0,0.0038157147695354,"didn, wasn, won, sell, childhood, months, guarded, defensive, sister, problemsa",False
Stubble And Tousled Hair,312,0.0040798362371461585,0.004354379477032227,0.003046925198693817,0.21777777777777776,0.9891304347826086,0.004081899293324245,"hair, stubble, shaved, forehead, tousled, shaven, shave, mussed, scruff, shadow",False
Firm Rejections,345,0.0040283436587531495,0.0041032748354740325,0.004054837846501422,-0.024444444444444446,1.0,0.004130000513821653,"dona, coy, daft, tramp, start, naa, pffft, dreamsa, downplay, maserati",False
Bedroom Intimacy,171,0.004024152836400272,0.004193910654492274,0.0035712484299867337,0.2,1.0,0.0040379407451686085,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls",False
Dominatrix Session,55,0.004008409379597068,0.005133327436220287,0.005743392782548063,-0.35555555555555557,0.9891304347826086,0.0062983456858546095,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",False
