composite_key,method,cronbach_alpha
B1_attraction_chemistry,SUM/MAX/WEIGHTED,0.49941233421477066
C_explicit_eroticism,SUM/MAX/WEIGHTED,-0.5316650103551073
D_power_wealth_luxury,SUM/MAX/WEIGHTED,0.2397574322626686
F1_sadness_grief,SUM/MAX/WEIGHTED,-1.680514523667766
G_courtship_rituals_gifts,SUM/MAX/WEIGHTED,-0.032450315054766365
H_domestic_nesting,SUM/MAX/WEIGHTED,-0.21924992405669835
I_humor_lightness,SUM/MAX/WEIGHTED,0.28399915989179725
J_social_support_kin,SUM/MAX/WEIGHTED,0.19269367510927995
K_professional_intrusion,SUM/MAX/WEIGHTED,0.010652466649865239
L_vices_addictions,SUM/MAX/WEIGHTED,-0.2082001083084838
M_health_recovery_growth,SUM/MAX/WEIGHTED,-0.4850828131611079
Q_miscommunication,SUM/MAX/WEIGHTED,-0.11581849484080184
Q_repair,SUM/MAX/WEIGHTED,0.3826820110429123
R2_alpha_guarding,SUM/MAX/WEIGHTED,0.3452075059792876
R_jealousy_possessiveness,SUM/MAX/WEIGHTED,0.22380677469854535
S_scene_anchors,SUM/MAX/WEIGHTED,0.35573011478557826
