composite_key,composite_name,n_topics_defined,n_topics_present,cronbach_alpha,mean_interitem_corr
G_courtship_rituals_gifts,G) Courtship Rituals / Gifts,3,3,-0.032450315054766365,-0.05151651111750304
F1_sadness_grief,F1) Sadness & Grief,4,4,-1.680514523667766,-0.020248055834114875
R_jealousy_possessiveness,R) Jealousy & Possessiveness,6,6,0.22380677469854535,0.08052743570524966
M_health_recovery_growth,M) Health / Recovery / Growth,8,8,-0.4850828131611082,-0.040564058372036436
R2_alpha_guarding,R2) Alpha Guarding,9,9,0.3452075059792876,0.09967962225650581
Q_miscommunication,Q) Miscommunication & Conflict,9,9,-0.11581849484080259,0.012731098989254088
Q_repair,Q) Repair & Reconciliation,10,10,0.3826820110429119,0.05899620486527757
I_humor_lightness,I) Humor / Lightness,11,11,0.28399915989179725,0.02159863963185025
L_vices_addictions,L) Vices / Addictions,16,16,-0.2082001083084838,-0.011847880343370983
K_professional_intrusion,K) Professional Intrusion,19,19,0.010652466649865473,0.04497359468045028
C_explicit_eroticism,C) Explicit Eroticism,19,19,-0.531665010355107,0.027063450921385727
S_scene_anchors,S) Scene Anchors (Setting-Rich),26,26,0.35573011478557826,0.015275061873592708
J_social_support_kin,J) Social Support / Kin,32,32,0.19269367510928007,0.010407045918469068
B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,34,34,0.49941233421477077,0.06855717592000242
D_power_wealth_luxury,D) Power / Wealth / Luxury,34,34,0.2397574322626685,0.020462029969046988
H_domestic_nesting,H) Domestic Nesting (Home-as-Refuge),94,94,-0.21924992405669924,0.021182553711822368
