metric,seg_a,seg_b,corr,n_books
B1_attraction_chemistry,begin,end,0.44898909339960363,92
B1_attraction_chemistry,begin,middle,0.5842169172025916,92
B1_attraction_chemistry,middle,end,0.5293271422482844,92
C_explicit_eroticism,begin,end,0.12927352438342393,92
C_explicit_eroticism,begin,middle,0.22793526837060923,92
C_explicit_eroticism,middle,end,0.3787159081366461,92
D_power_wealth_luxury,begin,end,0.47783023212244474,92
D_power_wealth_luxury,begin,middle,0.5170025852088789,92
D_power_wealth_luxury,middle,end,0.4568334448389972,92
F1_sadness_grief,begin,end,0.3817123173827209,92
F1_sadness_grief,begin,middle,0.121869525892039,92
F1_sadness_grief,middle,end,-0.09426294182071875,92
G_courtship_rituals_gifts,begin,end,0.07092710023741919,92
G_courtship_rituals_gifts,begin,middle,0.1877052636146739,92
G_courtship_rituals_gifts,middle,end,0.02084849374871328,92
H1_chemistry_over_sex_log,begin,end,0.16690498764283246,92
H1_chemistry_over_sex_log,begin,middle,0.4034627694419938,92
H1_chemistry_over_sex_log,middle,end,0.3833343537125762,92
H3_luxury_saturation,begin,end,0.47783023212244474,92
H3_luxury_saturation,begin,middle,0.5170025852088789,92
H3_luxury_saturation,middle,end,0.4568334448389972,92
H4_protect_over_jealous_log,begin,end,0.08535577224405981,92
H4_protect_over_jealous_log,begin,middle,-0.04816913080245579,92
H4_protect_over_jealous_log,middle,end,0.13805826352337053,92
H_domestic_nesting,begin,end,0.5821411654782018,92
H_domestic_nesting,begin,end,0.5821411654782018,92
H_domestic_nesting,begin,middle,0.5504872483633574,92
H_domestic_nesting,begin,middle,0.5504872483633574,92
H_domestic_nesting,middle,end,0.39170470537198404,92
H_domestic_nesting,middle,end,0.39170470537198404,92
I_humor_lightness,begin,end,0.781804561404486,92
I_humor_lightness,begin,middle,0.8015611065809909,92
I_humor_lightness,middle,end,0.7579404768248431,92
J_social_support_kin,begin,end,0.48255955048009036,92
J_social_support_kin,begin,middle,0.3254147085329111,92
J_social_support_kin,middle,end,0.38165467825544325,92
K_professional_intrusion,begin,end,0.130309746382426,92
K_professional_intrusion,begin,middle,0.16197863357473732,92
K_professional_intrusion,middle,end,0.24442677633163845,92
L_vices_addictions,begin,end,0.16590348799989607,92
L_vices_addictions,begin,middle,0.3079973482219932,92
L_vices_addictions,middle,end,0.08485839095757453,92
M_health_recovery_growth,begin,end,0.09166545427466108,92
M_health_recovery_growth,begin,middle,0.19670827259941584,92
M_health_recovery_growth,middle,end,0.4898421329233841,92
Q_miscommunication,begin,end,0.46975196829027704,92
Q_miscommunication,begin,end,0.46975196829027704,92
Q_miscommunication,begin,middle,0.09377297142609609,92
Q_miscommunication,begin,middle,0.09377297142609609,92
Q_miscommunication,middle,end,0.25834780885712383,92
Q_miscommunication,middle,end,0.25834780885712383,92
Q_repair,begin,end,-0.12510022075432906,92
Q_repair,begin,end,-0.12510022075432906,92
Q_repair,begin,middle,0.023302828643024097,92
Q_repair,begin,middle,0.023302828643024097,92
Q_repair,middle,end,0.3053295164973395,92
Q_repair,middle,end,0.3053295164973395,92
Q_repair_over_miscomm_log,begin,end,0.0931921097188539,92
Q_repair_over_miscomm_log,begin,middle,0.18784608946435244,92
Q_repair_over_miscomm_log,middle,end,0.2503468108923223,92
R2_alpha_guarding,begin,end,-0.08255344387195647,92
R2_alpha_guarding,begin,middle,-0.1303884620473333,92
R2_alpha_guarding,middle,end,0.14702858611916939,92
R_jealousy_possessiveness,begin,end,-0.08605793052008606,92
R_jealousy_possessiveness,begin,middle,-0.0939267389057314,92
R_jealousy_possessiveness,middle,end,0.14555478560334398,92
S_scene_anchors,begin,end,0.24266439957020397,92
S_scene_anchors,begin,middle,0.1536437255820358,92
S_scene_anchors,middle,end,-0.03913183446972069,92
