Topic ID,Label,Top Median,Trash Median,Cliff's δ,Mass,Prevalence,Author Dominant?
82,Frightened Admissions,0.0015,0.0012,0.391,0.0015,0.8587,low
321,Emotional Relationship Delusion,0.0017,0.0014,0.382,0.0019,0.8804,low
176,Emotional Throat Tightness,0.0013,0.001,0.347,0.0012,0.587,low
239,Tearful Emotional Moment,0.0013,0.0011,0.338,0.0013,0.7283,low
339,Prolonged Waiting,0.0012,0.0009,0.313,0.0011,0.587,low
69,Painful Emotional Burden,0.0014,0.0012,0.298,0.0013,0.8152,low
160,Emotional Panic Attack,0.0022,0.0033,-0.278,0.003,0.9348,low
270,Tearful Sobbing,0.0014,0.0011,0.233,0.0013,0.7391,low
254,Regretful Mistake Admission,0.0014,0.0013,0.224,0.0014,0.8804,low
225,Early Morning Hesitation,0.0008,0.0009,-0.216,0.0009,0.337,low
165,Emotional Voice Cracks,0.0012,0.001,0.213,0.0012,0.587,low
41,Confused About Feelings,0.0013,0.0012,0.202,0.0013,0.8587,low
353,Regretful Realizations,0.0012,0.0011,0.198,0.0012,0.7065,low
216,Death And Suicide Conversations,0.0024,0.0023,0.191,0.0024,0.9674,low
99,Desire And Regret Conversation,0.0019,0.0017,0.171,0.0019,0.9457,low
