Topic ID,Label,Top Median,Trash Median,Cliff's δ,Mass,Prevalence,Author Dominant?
39,Lip Biting During Intimacy,0.0018,0.0012,0.356,0.0016,0.7174,low
97,Eyes Closed In Intimacy,0.0019,0.0014,0.34,0.0017,0.7391,low
36,Kneeling For Intimacy,0.0022,0.0016,0.331,0.0022,0.8152,low
75,Bedroom Encounter,0.0024,0.0018,0.291,0.0023,0.9891,low
285,Size Comparison Conversation,0.0021,0.0018,0.244,0.0019,0.9674,low
317,Scent-induced Intimacy,0.0022,0.0026,-0.211,0.0023,0.913,low
211,Hair Play During Intimacy,0.0021,0.0028,-0.209,0.0025,0.9239,low
171,Bedroom Intimacy,0.004,0.0036,0.2,0.004,1.0,low
47,Hair And Neck game,0.0008,0.0007,0.189,0.001,0.3261,low
184,Low Voice Conversations,0.0023,0.0021,0.173,0.0025,0.9783,low
125,Mid-flight Makeout,0.003,0.0029,0.164,0.003,1.0,low
21,Parked Car Makeout,0.0022,0.0021,0.107,0.0025,1.0,low
12,Tender Forehead Kisses,0.001,0.0013,0.084,0.0031,0.5217,low
164,Eye Contact And Connection,0.001,0.0009,0.062,0.001,0.413,low
13,Playful Laughter And Smiles,0.0022,0.0021,0.041,0.0028,0.7717,low
