Main Group,Subgroup,Top-Trash δ,KW p (raw),KW p (adj family)
"Conflict, Risk & Harm",Interpersonal Non-Romantic Conflict,0.171,0.2278,0.4556
"Conflict, Risk & Harm","Violence, Threats & Coercion",-0.171,0.2278,0.4556
Embodied & Sensory Experience,Body Parts & Physical Reactions,0.129,0.4511,0.9022
Embodied & Sensory Experience,Exercise & Physical Activity,-0.129,0.4511,0.9022
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",0.444,0.0067,0.027
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,-0.391,0.0284,0.0852
"Emotions, Cognition & Inner Life",Positive Emotions & Security,0.284,0.1434,0.2867
"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,0.153,0.5915,0.5915
Relationship Trajectory (Main Couple),"Meeting, First Impressions & Setup",0.18,0.4894,1.0
Relationship Trajectory (Main Couple),"Reconciliation, Commitments & HEA",0.18,0.2148,1.0
Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",-0.14,0.2819,1.0
Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",-0.049,0.7124,1.0
Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",0.018,0.5192,1.0
"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,0.418,0.0166,0.0497
"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,-0.311,0.1289,0.2578
"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,0.033,0.7766,0.7766
Social World Outside Couple,"Community, Norms & Social Events",0.164,0.5367,1.0
Social World Outside Couple,Friends & Social Circles,-0.087,0.8834,1.0
Social World Outside Couple,Family & Kinship,0.02,0.9899,1.0
"Spaces, Time, Activities & Objects","Time, Seasons & Temporal Framing",0.356,0.0576,0.1728
"Spaces, Time, Activities & Objects",Public & Leisure Spaces,-0.28,0.1099,0.2198
"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,0.244,0.1673,0.2198
"Work, Wealth, Status & Institutions",Shared Workplaces & Professional Interaction,0.349,0.0424,0.212
"Work, Wealth, Status & Institutions","Law, Medicine, Education & Formal Institutions",0.207,0.2196,0.8488
"Work, Wealth, Status & Institutions",Hero's Elite Work & Business World,-0.2,0.2122,0.8488
"Work, Wealth, Status & Institutions",Heroine's Work & Professional Identity,-0.102,0.3806,0.8488
"Work, Wealth, Status & Institutions","Money, Housing & Economic Security",0.078,0.3821,0.8488
