taxonomy_main_group,taxonomy_main_name,n_books,top_median,top_mean,middle_median,middle_mean,trash_median,trash_mean,kruskal_stat,kruskal_p,epsilon_squared,top_vs_trash_delta,top_vs_trash_p,kruskal_p_adj_family,top_vs_trash_p_adj_family
"Conflict, Risk & Harm",Interpersonal Non-Romantic Conflict,92,0.15309395176706508,0.15888434421146252,0.13675051297665541,0.14139852653029839,0.1419918820788656,0.14509026733983713,2.9584356007479755,0.22781581615518878,0.010768939334246917,0.1711111111111111,0.25805149508623626,0.45563163231037757,0.5161029901724725
"Conflict, Risk & Harm","Violence, Threats & Coercion",92,0.8469060482329349,0.8411156557885374,0.8632494870233446,0.8586014734697016,0.8580081179211344,0.854909732660163,2.9584356007479755,0.22781581615518878,0.010768939334246917,-0.1711111111111111,0.25805149508623626,0.45563163231037757,0.5161029901724725
Embodied & Sensory Experience,Body Parts & Physical Reactions,92,0.4522865473997787,0.43603417439714726,0.40916460118144404,0.40736681839341016,0.41510892906941843,0.41423717410322797,1.592145862552627,0.45109697912489877,-0.004582630757835652,0.1288888888888889,0.3952670113331167,0.9021939582497975,0.7905340226662334
Embodied & Sensory Experience,Exercise & Physical Activity,92,0.5477134526002212,0.5639658256028528,0.590835398818556,0.59263318160659,0.5848910709305815,0.585762825896772,1.592145862552627,0.45109697912489877,-0.004582630757835652,-0.1288888888888889,0.3952670113331167,0.9021939582497975,0.7905340226662334
"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,92,0.04758900491781809,0.049865882057447734,0.047778855580271826,0.046368290942869116,0.04806856700478039,0.044528614531599425,1.0500233754090686,0.5915484504829045,-0.010673894658325071,0.15333333333333332,0.31118764341027494,0.5915484504829045,0.31118764341027494
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",92,0.13393313204229101,0.13568741258021833,0.12749183827425536,0.12504225948419515,0.121449986438569,0.11823436609489187,9.997121902758295,0.00674765021244528,0.08985530227818309,0.4444444444444444,0.0031829591616507357,0.02699060084978112,0.012731836646602943
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,92,0.5558031942086674,0.5693758417937577,0.5675969108489489,0.58533877112988,0.5817696735399439,0.6073794164064467,7.122849462365593,0.028398335883510803,0.057560106318714534,-0.39111111111111113,0.009468269708615267,0.08519500765053241,0.028404809125845802
"Emotions, Cognition & Inner Life",Positive Emotions & Security,92,0.25047597653602394,0.24507086356857619,0.24432908546151855,0.24325067844305578,0.23841386877347395,0.2298576029670621,3.884700794763887,0.143366585016307,0.02117641342431334,0.28444444444444444,0.0594279151689524,0.286733170032614,0.1188558303379048
Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",92,0.45045110965919766,0.45031456643793094,0.45301879332843487,0.4637739169061446,0.44699165183638956,0.44985133263609767,1.3108198924730914,0.5192291629100795,-0.00774359671378549,0.017777777777777778,0.9117089753194283,1.0,1.0
Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",92,0.34590938114763947,0.3433381588398953,0.34110246668636546,0.3391298744294759,0.34590452068035504,0.34166784824905316,0.6782111968209392,0.7124072160473951,-0.014851559586281583,-0.04888888888888889,0.7505872315223063,1.0,1.0
Relationship Trajectory (Main Couple),"Meeting, First Impressions & Setup",92,2.045559805787594e-05,3.43768903981463e-05,2.0271201598042604e-05,3.592368338823451e-05,2.013307789791737e-05,2.0763859267948072e-05,1.4292864656381425,0.48936667062356853,-0.006412511622043342,0.18,0.2339889162810581,1.0,1.0
Relationship Trajectory (Main Couple),"Reconciliation, Commitments & HEA",92,0.027235308059935945,0.03455809938285036,0.02985378902158505,0.033709929274249116,0.02495246891645994,0.030998739860867222,3.0762476624590818,0.21478369410225998,0.012092670364708784,0.18,0.2339889162810581,1.0,1.0
Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",92,0.16666079361999933,0.17175479844892516,0.16362560977929297,0.16335035570674217,0.17237330029181835,0.17746131539471402,2.5326992753622903,0.2818586322882739,0.0059853851164302285,-0.14,0.3554724725943107,1.0,1.0
"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,92,0.19125233188793156,0.19312284747043065,0.1907974089167508,0.1855672715268898,0.191979785948372,0.19492272408009254,0.5057386629265466,0.7765693483747695,-0.01678945322554442,0.03333333333333333,0.8302552839111963,0.7765693483747695,0.8302552839111963
"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,92,0.45254321712675993,0.463885279959136,0.45967808500508067,0.4835097240257439,0.492657228793432,0.5118423870534089,4.097417017297744,0.12890127101029542,0.023566483340424087,-0.3111111111111111,0.03916706803882588,0.25780254202059083,0.07833413607765176
"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,92,0.35535082860489065,0.34299187257043334,0.34316727915495704,0.3309230044473664,0.3070266483121989,0.2932348888664986,8.20037108461895,0.016569600754540413,0.06966709083841517,0.4177777777777778,0.005569938587360544,0.04970880226362124,0.01670981576208163
Social World Outside Couple,"Community, Norms & Social Events",92,0.0603249719707173,0.07074533962619749,0.05432523340085986,0.061573901640246106,0.05504631116340254,0.06073961689151243,1.2447609864422589,0.5366653874966845,-0.008485831613008327,0.16444444444444445,0.27718918977304785,1.0,0.8315675693191436
Social World Outside Couple,Family & Kinship,92,0.6103864148128153,0.5966732603678164,0.6038722108310057,0.6032619159801816,0.6111520963270631,0.598223441579109,0.020380434782623524,0.9898615269627042,-0.022242916463116588,0.02,0.8999950372363642,1.0,1.0
Social World Outside Couple,Friends & Social Circles,92,0.31770059072384343,0.3325814000059861,0.33526229753254455,0.3351641823795723,0.32971759251716704,0.34103694152937847,0.24805691912104066,0.8833547006384487,-0.019684753717741116,-0.08666666666666667,0.5692201637415295,1.0,1.0
"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,92,0.6092880848073352,0.6123990570916382,0.5830811278754207,0.5713990739692729,0.5813424339984885,0.5749153312873612,3.5760139083683953,0.16729326075724338,0.01770802144234152,0.24444444444444444,0.10546994652177778,0.21978557261117998,0.1270653014696148
"Spaces, Time, Activities & Objects",Public & Leisure Spaces,92,0.3566385644872632,0.34912494134256444,0.37917067176221875,0.3938026580770161,0.3874711533162162,0.39335099843129806,4.416500116877046,0.10989278630558999,0.02715168670648366,-0.28,0.0635326507348074,0.21978557261117998,0.1270653014696148
"Spaces, Time, Activities & Objects","Time, Seasons & Temporal Framing",92,0.03509303780526272,0.03847600156579714,0.03364650084920365,0.034798267953710896,0.030153366862671015,0.03173367028134086,5.708742402992016,0.05759202351592,0.04167126295496647,0.35555555555555557,0.0183679594713855,0.17277607054776,0.055103878414156496
"Work, Wealth, Status & Institutions",Hero's Elite Work & Business World,92,0.7426798385914829,0.7416909606092001,0.760586856766663,0.7545387694444171,0.7592305289134409,0.7461058653235249,3.1003710846189847,0.21220859650068713,0.012363720051898704,-0.2,0.18576685629821565,0.8488343860027485,0.6858001898388406
"Work, Wealth, Status & Institutions",Heroine's Work & Professional Identity,92,0.08613467066777802,0.09051118653355435,0.09617180417523882,0.09757550433340065,0.08933014902449321,0.09639954909853206,1.9319278868629794,0.3806161304318876,-0.0007648552037867477,-0.10222222222222223,0.501143667603293,0.8488343860027485,1.0
"Work, Wealth, Status & Institutions","Law, Medicine, Education & Formal Institutions",92,0.0738436248703397,0.0735697292062239,0.06625191041811536,0.06633444032055483,0.06807994716560331,0.0759165950368846,3.0317905563347267,0.21961148344323458,0.011593152318367717,0.20666666666666667,0.17145004745971015,0.8488343860027485,0.6858001898388406
"Work, Wealth, Status & Institutions","Money, Housing & Economic Security",92,0.026988754599282582,0.029064382125478582,0.0222094171058699,0.025153939161404133,0.026232825005221706,0.028050442425521623,1.9241438756427556,0.3821003770212766,-0.0008523160040139823,0.07777777777777778,0.6100075520376812,0.8488343860027485,1.0
"Work, Wealth, Status & Institutions",Shared Workplaces & Professional Interaction,92,0.06195008208912989,0.06516374152554279,0.05511233180110614,0.05639734674022322,0.0501007466114024,0.05352754811553692,6.3211751986909235,0.042400819065618656,0.048552530322369926,0.3488888888888889,0.020680749139978086,0.21200409532809328,0.10340374569989043
