taxonomy_main_group,taxonomy_main_name,topic_id,label,cliffs_top_trash,abs_cliffs_top_trash,top_median,trash_median,prevalence,mass,author_dominance_flag,keywords,scene_summary
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",310,Feminist Identity Affirmation,0.3288888888888889,0.3288888888888889,0.0017123729277982542,0.0014598738672286107,0.9891304347826086,0.0017288272203626646,low,"foremost, tend, feminine, ama, ladies, feminist, conscious, especially, godawful, experience",She asserts her identity and purpose as a woman.
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",350,Sisters Reflecting On Childhood,0.24444444444444444,0.24444444444444444,0.0040900577350829245,0.0033427482706425895,1.0,0.0038157147695354,low,"didn, wasn, won, sell, childhood, months, guarded, defensive, sister, problemsa","The sisters sit together, reflecting on their shared childhood experiences and its lasting impact on their lives."
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",311,Yearlong Relationship Reflection,0.16,0.16,0.0032900108240981538,0.002952633004928492,1.0,0.0031371169910369024,low,"wea, shared, downs, cycle, yearlong, created, worked, years, squared, accidentally","The couple, sitting at a table, reflects on their thousands of times together over the yearlong cycle of their relationship."
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",249,Belief Discussion,0.12222222222222222,0.12222222222222222,0.003992340326843376,0.003832167381566343,1.0,0.004010822034963681,low,"believe, admit, cana, expect, macka, validity, scotcha, ehh, prophecy, laminate",The couple discusses their beliefs in the garage.
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",219,Human Nature Reflection,-0.10666666666666667,0.10666666666666667,0.0007467614348525681,0.0008327128066252017,0.30434782608695654,0.0008684336839108022,low,"assignment, humans, course, actuality, picturea, enviable, did, par, fixture, represented",She contemplates the complexities of human nature.
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",314,Moral Dilemma Discussion,0.02666666666666667,0.02666666666666667,0.0026253570815730227,0.002711600520364851,1.0,0.0026053414151168395,low,"thing, proves, exactly, thinga, telegraphing, humane, accurately, percent, accept, winner","The couple sits around the table, discussing a moral dilemma."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,82,Frightened Admissions,0.39111111111111113,0.39111111111111113,0.0014963746461461981,0.0012449979141322567,0.8586956521739131,0.0015044536926291342,low,"scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears","She admits her fears and insecurities to him in a quiet, intimate setting."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,321,Emotional Relationship Delusion,0.38222222222222224,0.38222222222222224,0.0016685826124324692,0.001419963358771072,0.8804347826086957,0.0018725267114154712,low,"cilliana, antidote, maine, evon, unlike, entertainment, spent, footed, entailed, tolerant","She struggles to understand her confusing feelings about their relationship, sitting alone in her room."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,176,Emotional Throat Tightness,0.3466666666666667,0.3466666666666667,0.0012790489326535241,0.0009877559250653439,0.5869565217391305,0.0012299142020270556,low,"throat, lump, clear, dries, swallowed, bile, tight, knot, clogged, cough","She struggles to hold back tears, feeling a lump in her throat as she tries to express her emotions."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,239,Tearful Emotional Moment,0.3377777777777778,0.3377777777777778,0.0013270539423551045,0.0010814569645171668,0.7282608695652174,0.0013254884180322218,low,"tears, prick, wipe, blink, cheeks, tear, leak, sting, stung, welled","She struggles to hold back tears, her eyes welling up as she grapples with her emotions."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,339,Prolonged Waiting,0.31333333333333335,0.31333333333333335,0.001153390884236954,0.0009048561501245271,0.5869565217391305,0.0011048972814427945,low,"wait, waiting, ipo, cowering, waits, pumps, elections, stand, beat, dissipate","She waits patiently, her mind racing with anticipation."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,69,Painful Emotional Burden,0.29777777777777775,0.29777777777777775,0.0013722037323352556,0.0011790193865033518,0.8152173913043478,0.001294713477406895,low,"hurts, guilt, painful, hurting, experiencing, painkillers, guilty, injury, agony, inflict",She struggles with the emotional pain and guilt that weigh heavily on her heart.
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,160,Emotional Panic Attack,-0.2777777777777778,0.2777777777777778,0.002181172631003923,0.003287167946213989,0.9347826086956522,0.0029613505041766307,low,"gasped, tears, panic, cheeks, stomach, tear, hips, winced, wiped, belly","She gasps repeatedly, tears streaming down her cheeks, as panic surges through her body."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,270,Tearful Sobbing,0.23333333333333334,0.23333333333333334,0.001356293683922968,0.0011462688561299427,0.7391304347826086,0.0013111941848954025,low,"cried, tears, sobbing, sobbed, bawling, weep, stop, whatsoever, feminine, start","She sat alone, tears streaming down her face, sobbing uncontrollably."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,254,Regretful Mistake Admission,0.22444444444444445,0.22444444444444445,0.0014399061258546686,0.0013042314324992034,0.8804347826086957,0.0014408396796263892,low,"mistake, wrong, mistakes, faulty, huge, foolish, make, undo, horny, trafficked","She admits her mistake, wishing she could take it back."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,225,Early Morning Hesitation,-0.21555555555555556,0.21555555555555556,0.0008011998859728622,0.0009423400572982733,0.33695652173913043,0.0009263144220401599,low,"early, latea, ita, minutes, bylaws, wasn, stipulate, realized, mosquitoes, technically","She hesitates, unsure if it's too early to share her feelings."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,165,Emotional Voice Cracks,0.21333333333333335,0.21333333333333335,0.0011701814238353715,0.0009783492638439693,0.5869565217391305,0.0011707320536691306,low,"cracks, trails, muffled, murmur, shaky, sounds, soft, intended, breaking, strangled","She struggles to hold back tears, her voice cracking with emotion."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,41,Confused About Feelings,0.20222222222222222,0.20222222222222222,0.0013309490070278628,0.0012309928700704668,0.8586956521739131,0.0012938363984170986,low,"ia, used, going, complaining, anymore, ready, heartless, ashamed, wrong, doing","She sits alone, confused about her feelings for him."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,353,Regretful Realizations,0.19777777777777777,0.19777777777777777,0.001193374630957713,0.0011187098959083695,0.7065217391304348,0.0012121834955061608,low,"regret, regrets, regretted, regretfully, regretting, happened, wona, realizations, validity, runny","She sits alone, eyes closed, regretting past actions."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,216,Death And Suicide Conversations,0.19111111111111112,0.19111111111111112,0.0023814668212375533,0.0022671344383760504,0.967391304347826,0.0024193828421648243,low,"die, dead, died, deaths, killed, dying, mortification, murdered, murder, kills",The couple discusses their fears and past experiences with death and suicide.
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,99,Desire And Regret Conversation,0.1711111111111111,0.1711111111111111,0.0019248859018114067,0.0017189821433325823,0.9456521739130435,0.0019205730040312795,low,"loved, loves, adored, utterly, madly, vacuum, told, despite, desperately, falling","The couple, sitting at the table, discusses their feelings of desire and regret from the past."
"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,39,Lip Biting During Intimacy,0.35555555555555557,0.35555555555555557,0.0018082148876089623,0.0012343663838798422,0.717391304347826,0.0015708272716177835,low,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",She bites her lower lip as he leans in for a kiss.
