
Topic1,Topic2,Correlation
Hockey and Sports,Sports and Games,0.8009460463748699
Blowjob,Gently Touching Face,0.7388312081865445
Gym Activities,Startling and Sudden Realizations,0.7208945843026093
Gently Touching Face,Head Tilts,0.7144399890213101
Blowjob,Startling and Sudden Realizations,0.712669709678553
Gently Touching Face,Startling and Sudden Realizations,0.691548973873662
Blowjob,Gym Activities,0.6785674258499472
Gently Touching Face,Gym Activities,0.6530394397937196
Art and Paintings,Tattoos and Brutal Appearance,0.6489237209687699
Gently Touching Face,Walking and Strolling,0.6454348747621762
Frowns and Displeased Expressions,Reading and Rereading,0.6434963733286269
Gym Activities,Shivering and Electric Touches,0.6428803421897642
Shivering and Electric Touches,Startling and Sudden Realizations,0.6330464543425419
Gym Activities,Head Tilts,0.6239179548965
Frowns and Displeased Expressions,Gently Touching Face,0.6211237466884365
Head Tilts,Startling and Sudden Realizations,0.6173158522959159
Blowjob,Frowns and Displeased Expressions,0.6040996481142618
Blowjob,Head Tilts,0.6006517276703048
