composite_key,composite_name,taxonomy_ids,has_regex,global_fallback_allowed,global_fallback_used,min_topics,n_after_taxonomy,n_after_semantics,n_after_quality,final_n,note,book_coverage_frac,alpha,pca_pc1,pca_pc2,stability_leave_one_out,stability_split_half,omega_total,status_core,dimensionality
N_separation_reunion,N) Separation / Reunion,"4.4,4.5",True,False,False,8,64,6,6,6,breakup → reunion arc,1.0,-0.1149454269605135,0.5384902277868823,0.1827728587021339,0.8977132645233743,-0.06112980941836017,0.6360424023815785,CORE,UNIDIMENSIONAL
R_jealousy_possessiveness,R) Jealousy & Possessiveness,"3.3,4.4",True,False,False,4,64,6,6,6,jealous/possessive conflict (kept for H4 hypothesis continuity),1.0,0.22380677469854535,0.4440158088497434,0.32015826515673973,0.9294576124666324,0.1601121824391627,0.6262126862100958,CORE,UNIDIMENSIONAL
Q_repair,Q) Repair & Reconciliation,"4.5,4.2,3.1",True,False,False,4,86,7,7,7,"apologies, forgiveness, reconciliation",1.0,0.201132884984595,0.3812193494053065,0.2635641782152164,0.939030699977394,0.12048599922073838,0.6473740054843046,CORE,UNIDIMENSIONAL
M_health_recovery_growth,M) Health / Recovery / Growth,"6.5,4.2",True,True,False,3,73,8,8,8,healing & protective caretaking (RELAXED),1.0,-0.4850828131611082,0.38512494566795347,0.2780107444879259,0.9052347599931855,-0.20448559240198214,0.505115485557511,CORE,UNIDIMENSIONAL
Q_miscommunication,Q) Miscommunication & Conflict,"4.1,4.3",True,False,False,6,21,9,9,9,"secrets, misunderstandings, conflict",1.0,-0.11581849484080259,0.6124430381541888,0.16595732240167096,0.9287466204850818,-0.06451093202787059,0.6321920766938786,CORE,UNIDIMENSIONAL
R2_alpha_guarding,R2) Alpha Guarding,"3.3,4.4",True,False,False,4,64,9,9,9,possessive protective aggression (alpha guarding),1.0,0.3452075059792876,0.3914986829152607,0.28495077570431787,0.9611016181945059,0.24784794879274766,0.6489717916454406,CORE,UNIDIMENSIONAL
I_humor_lightness,I) Humor / Lightness,"3.1,4.2,2.2",True,True,False,6,103,11,11,11,comic relief / breezy tone proxies,1.0,0.28399915989179725,0.358524614768782,0.3395578851312194,0.9674719683756031,0.19021619062322173,0.6571552891903915,CORE,UNIDIMENSIONAL
L_vices_addictions,L) Vices / Addictions,"6.2,6.3,3.2",True,True,True,3,39,0,0,16,substance use & self-destructive risk (RELAXED),1.0,-0.2082001083084838,0.3358176634178416,0.2882466267852117,0.960124731591793,-0.0919072319694288,0.7452165294149659,CORE,UNIDIMENSIONAL
C_explicit_eroticism,C) Explicit Eroticism,2.3,False,False,False,8,19,19,19,19,explicit sexual act language (heterogeneous by design — use in ratios),1.0,-0.531665010355107,0.8000765605058451,0.12556321136027304,0.9536327540094028,-0.16611261778905204,0.8611105758947604,CORE,UNIDIMENSIONAL
K_professional_intrusion,K) Professional Intrusion,"6.1,6.2,6.3,6.5",True,False,False,6,21,19,19,19,workplace and institutional texture,1.0,0.010652466649865473,0.6219574511668722,0.11114347254523774,0.9706414018570603,0.010820168493727024,0.7243481610663024,CORE,UNIDIMENSIONAL
S_scene_anchors,S) Scene Anchors (Setting-Rich),"5.3,8.1,8.2",False,False,False,8,26,26,26,26,setting/objects/time/atmosphere topics (for qualitative sampling),1.0,0.35573011478557826,0.44018065778485754,0.24007547515598712,0.9879592307689465,0.2788415294426573,0.8604406634800253,CORE,UNIDIMENSIONAL
J_social_support_kin,J) Social Support / Kin,"4.3,4.4,4.5,5.1",True,False,False,8,103,32,32,32,stable social buffering around couple,1.0,0.19269367510928007,0.27321710745271965,0.2077658593331699,0.9876045292886793,0.13728863403651037,0.7852830393368632,CORE,MULTIDIMENSIONAL
B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,"2.1,2.2",False,False,False,8,34,34,34,34,sexual tension + kissing (pre-coital intimacy),1.0,0.49941233421477077,0.2207543674753691,0.176898614996751,0.9930686722058901,0.3500317083507044,0.8819232302445802,CORE,MULTIDIMENSIONAL
D_power_wealth_luxury,D) Power / Wealth / Luxury,"5.2,5.3,5.1",False,False,False,10,34,34,34,34,billionaire-world saturation,1.0,0.2397574322626685,0.24185695510944574,0.18659709980414046,0.9888627470965436,0.16420897478909913,0.737068913676903,CORE,MULTIDIMENSIONAL
H_domestic_nesting,H) Domestic Nesting (Home-as-Refuge),"4.2,5.2,8.1",False,False,False,10,94,94,94,94,nest-building and everyday shared life,1.0,-0.21924992405669924,0.2863886027741734,0.11847917350007131,0.9933769287867232,-0.09658962188807116,0.9097203087068442,CORE,MULTIDIMENSIONAL
A1_commitment_vows,A1) Commitment & Vows,4.5,True,False,False,3,3,1,1,1,explicit commitment language (HEA/marriage plot),1.0,,,,,,,EXPLORATORY,MULTIDIMENSIONAL
O_aesthetics_appearance,O) Aesthetics / Appearance,"1.1,5.3",True,False,False,4,6,1,1,1,personal appearance & presentation,1.0,,,,,,,EXPLORATORY,MULTIDIMENSIONAL
A2_emotional_safety,A2) Emotional Safety & Reassurance,3.1,True,False,False,4,12,2,2,2,safety/trust/comfort affect,1.0,0.3079207363780012,0.5936144502582649,0.4063855497417352,0.7686864556530186,,0.7429899650167597,EXPLORATORY,UNIDIMENSIONAL
F2_anger_frustration,F2) Anger & Frustration,"3.2,3.3",True,False,False,4,39,2,2,2,anger/resentment affect,1.0,-0.08469832403689104,0.9093339599655744,0.09066604003442565,0.595565352022037,,0.6973111861173825,EXPLORATORY,UNIDIMENSIONAL
F3_anxiety_worry,F3) Anxiety & Worry,"3.2,3.4",True,False,False,4,42,2,2,2,anxiety/worry affect,1.0,0.06808801727044256,0.9219257957119272,0.07807420428807284,0.6493210988076991,,0.695173456200179,EXPLORATORY,UNIDIMENSIONAL
R1_protective_caretaking,R1) Protective Caretaking,"3.1,4.2",True,False,False,4,83,2,2,2,tender protective care (nurturing caretaking),1.0,-0.030789403249499525,0.8988595144183644,0.10114048558163545,0.6219120061235821,,0.6777445010694522,EXPLORATORY,UNIDIMENSIONAL
G_courtship_rituals_gifts,G) Courtship Rituals / Gifts,"5.3,8.1,8.2",True,True,False,3,26,3,3,3,ritualized romance behaviors (RELAXED — broader pattern),1.0,-0.032450315054766365,0.9462910979291704,0.04107774591369591,0.7204206270296329,,0.6372643803458083,EXPLORATORY,UNIDIMENSIONAL
F1_sadness_grief,F1) Sadness & Grief,3.2,True,False,False,4,36,4,4,4,sadness affect cluster,1.0,-1.680514523667766,0.871599189844929,0.06716555792331276,0.708891441608265,-0.5299511603700501,0.8819798923382123,EXPLORATORY,UNIDIMENSIONAL
A3_everyday_tenderness,A3) Everyday Tenderness,4.2,True,False,False,6,71,5,5,5,daily affectionate bonding (non-formal),1.0,-0.28588361674434654,0.4531092789051167,0.32758078924852235,0.8641213825883727,-0.12761325077367558,0.568224586556373,EXPLORATORY,UNIDIMENSIONAL
B2_emotional_intimacy,B2) Emotional Intimacy,"3.1,4.2",True,False,False,8,83,5,5,5,emotional closeness (non-physical),1.0,0.18574667139402368,0.6930061848881833,0.18993579985220613,0.9019606429708464,0.12967122796926464,0.6590781854298408,EXPLORATORY,UNIDIMENSIONAL
E_coercion_brutality_danger,E) Coercion / Brutality / Danger,"7.2,3.2",True,False,False,6,44,5,5,5,threat + coercion + traumatic texture,1.0,-0.7560395979638396,0.7625884015493077,0.10751045067651446,0.8142206726952856,-0.30090612456591,0.7751225801610142,EXPLORATORY,UNIDIMENSIONAL
