Hyperparameter,Metric,Correlation,p-value,Test_Type,Cohen_d
bertopic__min_topic_size,Coherence_norm,0.5853950493348575,0.07541049733593765,Pearson,-1.1799707628015077
bertopic__min_topic_size,Topic_Diversity_norm,-0.5910775104867639,0.07193369424055812,Pearson,1.623137222460182
bertopic__min_topic_size,Combined_Score,0.5017437861288215,0.13950963569953193,Pearson,-0.7503892964326104
bertopic__top_n_words,Coherence_norm,0.14574687498041247,0.6878652808377331,Pearson,-0.5668773597947424
bertopic__top_n_words,Topic_Diversity_norm,-0.023786831549028407,0.9479957373518486,Pearson,0.3964844024359598
bertopic__top_n_words,Combined_Score,0.21544493441194668,0.5499871560222923,Pearson,-0.6125370772289058
hdbscan__min_cluster_size,Coherence_norm,0.5629817675083787,0.0901796229717002,Pearson,-1.064132662057825
hdbscan__min_cluster_size,Topic_Diversity_norm,-0.4505068868678696,0.1913474131125218,Pearson,0.8093584350654456
hdbscan__min_cluster_size,Combined_Score,0.569070265160269,0.08599889940976489,Pearson,-1.07332068045982
hdbscan__min_samples,Coherence_norm,-0.48155706228124395,0.15876352709537264,Pearson,0.4325965796250173
hdbscan__min_samples,Topic_Diversity_norm,0.40704322145956995,0.24303218733621415,Pearson,-0.36613035460684445
hdbscan__min_samples,Combined_Score,-0.470847491801042,0.1695940975959647,Pearson,0.41982295946228887
umap__min_dist,Coherence_norm,-0.5279342955306149,0.11676422112223134,Pearson,0.406303107158177
umap__min_dist,Topic_Diversity_norm,0.7935017155878499,0.006148422636352412,Pearson,-1.1015473504427313
umap__min_dist,Combined_Score,-0.2613971165250379,0.4656887172377255,Pearson,-0.05512251148204763
umap__n_components,Coherence_norm,0.14439423499605591,0.6906412693457118,Pearson,-0.3800420475935493
umap__n_components,Topic_Diversity_norm,0.18849623603980362,0.6020054201310285,Pearson,-0.16736117011530965
umap__n_components,Combined_Score,0.36904374939390616,0.2939702994380885,Pearson,-0.7817065127412864
umap__n_neighbors,Coherence_norm,-0.5726189501470346,0.08362063135570116,Pearson,0.8836032065987474
umap__n_neighbors,Topic_Diversity_norm,0.4972940419166547,0.14362400154358163,Pearson,-0.7869873283466613
umap__n_neighbors,Combined_Score,-0.5501405930052559,0.0994175206109069,Pearson,0.8093594653260235
vectorizer__min_df,Coherence_norm,-0.3020962230413228,0.39624315197848636,Pearson,0.2771561408198824
vectorizer__min_df,Topic_Diversity_norm,0.6198490185409182,0.05593219568696846,Pearson,-1.0742315587287734
vectorizer__min_df,Combined_Score,-0.02793170938977621,0.9389470329005754,Pearson,-0.24020008928823686
