Hyperparameter,Metric,Correlation,p-value,Test_Type,Cohen_d
bertopic__min_topic_size,Coherence_norm,0.5853950493348574,0.07541049733593778,Pearson,-1.1799707628015077
bertopic__min_topic_size,Topic_Diversity_norm,-0.5910775104867637,0.07193369424055812,Pearson,1.623137222460182
bertopic__min_topic_size,Combined_Score,-0.0984879264670305,0.7866352897218611,Pearson,0.6646005947772284
bertopic__top_n_words,Coherence_norm,0.1457468749804124,0.6878652808377331,Pearson,-0.5668773597947426
bertopic__top_n_words,Topic_Diversity_norm,-0.02378683154902845,0.9479957373518486,Pearson,0.3964844024359598
bertopic__top_n_words,Combined_Score,0.24735075130033224,0.49082724044584086,Pearson,-0.2612037728063272
hdbscan__min_cluster_size,Coherence_norm,0.5629817675083786,0.09017962297170036,Pearson,-1.0641326620578249
hdbscan__min_cluster_size,Topic_Diversity_norm,-0.4505068868678695,0.19134741311252204,Pearson,0.8093584350654456
hdbscan__min_cluster_size,Combined_Score,0.16517761799859804,0.6483719184675838,Pearson,-0.2587451757583651
hdbscan__min_samples,Coherence_norm,-0.48155706228124384,0.15876352709537286,Pearson,0.4325965796250173
hdbscan__min_samples,Topic_Diversity_norm,0.40704322145956984,0.24303218733621443,Pearson,-0.36613035460684445
hdbscan__min_samples,Combined_Score,-0.09348314275726903,0.7972833705274867,Pearson,0.07446096882849684
umap__min_dist,Coherence_norm,-0.5279342955306149,0.11676422112223134,Pearson,0.406303107158177
umap__min_dist,Topic_Diversity_norm,0.7935017155878497,0.006148422636352437,Pearson,-1.1015473504427313
umap__min_dist,Combined_Score,0.6627379857334341,0.03675972682594643,Pearson,-1.7529539613748613
umap__n_components,Coherence_norm,0.14439423499605586,0.6906412693457118,Pearson,-0.3800420475935493
umap__n_components,Topic_Diversity_norm,0.18849623603980364,0.6020054201310285,Pearson,-0.16736117011530965
umap__n_components,Combined_Score,0.7123603378149896,0.02079916479561035,Pearson,-1.4615002233899959
umap__n_neighbors,Coherence_norm,-0.5726189501470346,0.08362063135570116,Pearson,0.8836032065987471
umap__n_neighbors,Topic_Diversity_norm,0.4972940419166547,0.14362400154358163,Pearson,-0.7869873283466614
umap__n_neighbors,Combined_Score,-0.0818978868966378,0.8220451616381943,Pearson,0.04204522711499931
vectorizer__min_df,Coherence_norm,-0.3020962230413227,0.3962431519784867,Pearson,0.27715614081988227
vectorizer__min_df,Topic_Diversity_norm,0.6198490185409181,0.05593219568696857,Pearson,-1.0742315587287732
vectorizer__min_df,Combined_Score,0.7445702537587442,0.013500557112337585,Pearson,-2.558614112921114
