Embeddings_Model,Iteration,Coherence,Topic_Diversity,bertopic__min_topic_size,bertopic__top_n_words,hdbscan__min_cluster_size,hdbscan__min_samples,umap__min_dist,umap__n_components,umap__n_neighbors,vectorizer__min_df,Coherence_norm,Topic_Diversity_norm,Combined_Score,Pareto_Efficient_All,Pareto_Efficient_PerModel
paraphrase-mpnet-base-v2,0,0.46324505657512444,0.82,127,31,494,28,0.0583411673483624,10,11,0.007313217715739823,1.0,0.7251278554381178,0.8625639277190589,True,True
paraphrase-mpnet-base-v2,2,0.42877836259804814,0.6738095238095239,143,35,432,43,0.021340699876192595,7,8,0.00791546596288443,0.8248953209674244,0.34930917474388323,0.5871022478556538,False,False
paraphrase-mpnet-base-v2,3,0.28901827309094746,0.8428571428571429,234,25,100,62,0.061486745682668036,2,20,0.003023475221501893,0.11485780965341164,0.7838877794554575,0.4493727945544346,False,False
paraphrase-mpnet-base-v2,4,0.34542192708435443,0.9,182,18,493,86,0.011554263087938811,2,41,0.0018909922323204734,0.40141107569479195,0.9307875894988067,0.6660993325967993,False,True
paraphrase-mpnet-base-v2,13,0.4529121364806076,0.8,14,18,497,32,0.08697543365532273,8,9,0.009856657880408792,0.9475046066842672,0.6737129219229456,0.8106087643036064,False,False
paraphrase-mpnet-base-v2,17,0.33923782934668895,0.8111111111111111,242,17,498,11,0.09918964319312434,4,12,0.009674149861833896,0.3699933699473186,0.7022767738758189,0.5361350719115687,False,False
paraphrase-mpnet-base-v2,21,0.34490541836808764,0.7084033613445379,246,36,95,96,0.09676750782052265,10,5,0.00999509161097958,0.398787003509639,0.43824116758875387,0.41851408554919645,False,False
paraphrase-mpnet-base-v2,23,0.3392600957499129,0.6835227272727272,175,16,198,69,0.09580026573689572,10,9,0.009892479787897292,0.3701064922384305,0.3742793602578802,0.37219292624815536,False,False
paraphrase-mpnet-base-v2,24,0.2890737490363985,0.825,248,22,448,97,0.0922566927198768,10,11,0.009888085529072315,0.11513964978663371,0.7379815888169108,0.42656061930177225,False,False
paraphrase-mpnet-base-v2,28,0.38040110795741533,0.667910447761194,244,29,319,19,0.004535093409255476,10,5,0.00953019227065511,0.5791193944466129,0.3341441446025921,0.4566317695246025,False,False
paraphrase-mpnet-base-v2,31,0.27731674151938746,0.8285714285714286,29,20,113,57,0.09808517868375438,10,47,0.009994195027193072,0.05540931913702063,0.7471628269446202,0.4012860730408204,False,False
paraphrase-mpnet-base-v2,39,0.33976285852213317,0.85,183,15,500,93,0.07695189297196713,8,34,0.009817300395248217,0.3726607294947717,0.8022502557108759,0.5874554926028238,False,False
paraphrase-mpnet-base-v2,40,0.3086148718784374,0.76,209,13,255,37,0.0009891371582049558,2,8,0.009948759680317002,0.21441641957102764,0.5708830548926014,0.3926497372318145,False,False
paraphrase-mpnet-base-v2,41,0.3081241601840143,0.7152,21,15,185,71,0.08535888375664107,3,9,0.009992642768926287,0.21192340664072917,0.4557136038186156,0.3338185052296724,False,False
paraphrase-mpnet-base-v2,43,0.33092812563863905,0.6931818181818182,35,17,489,18,0.0100185455681333,5,6,0.009929336697441123,0.3277767302654959,0.39911043610327623,0.3634435831843861,False,False
paraphrase-mpnet-base-v2,44,0.34584896807059284,0.6866396761133603,215,18,124,44,0.09541504939026814,10,5,0.00977112690038055,0.4035806157986024,0.3822922461284475,0.39293643096352493,False,False
paraphrase-mpnet-base-v2,48,0.34191979769549335,0.6885448916408669,60,25,92,46,0.05572816359021633,7,5,0.009912768531189796,0.3836188487125658,0.3871900726123887,0.38540446066247724,False,False
paraphrase-mpnet-base-v2,49,0.3536367575776734,0.6796178343949044,111,13,246,24,0.005372859422333133,4,8,0.009827714280262127,0.44314572125715257,0.36424086987302395,0.40369329556508826,False,False
paraphrase-mpnet-base-v2,52,0.3527816134505817,0.6875862068965517,21,18,297,11,0.0027842796254629047,8,10,0.009875818753990108,0.4388012448765466,0.38472553699283996,0.4117633909346933,False,False
paraphrase-mpnet-base-v2,53,0.34146898642452467,0.6866449511400652,81,30,126,18,0.04619223738264184,6,5,0.009886392586429659,0.3813285459942446,0.3823058068858136,0.3818171764400291,False,False
paraphrase-mpnet-base-v2,56,0.32920654332116184,0.7071428571428572,216,39,499,91,0.09925602678836394,2,10,0.009978423717648163,0.31903039911663367,0.43500073060250344,0.37701556485956855,False,False
paraphrase-mpnet-base-v2,59,0.3441484470419302,0.7166666666666667,15,39,197,92,0.0760118157969301,3,5,0.009872845181112585,0.39494128447456656,0.4594840322763949,0.4272126583754807,False,False
paraphrase-mpnet-base-v2,60,0.3161737030581176,0.7233333333333334,57,35,498,32,0.0009408130100260649,4,8,0.009941483061189499,0.2528183245654445,0.47662234344811916,0.36472033400678183,False,False
paraphrase-mpnet-base-v2,61,0.33221899558894624,0.6578034682080924,78,21,67,25,0.050577290664049465,10,5,0.009893965971578073,0.3343348692176007,0.3081616605144959,0.3212482648660483,False,False
paraphrase-mpnet-base-v2,64,0.33378178197748015,0.6824902723735409,143,38,144,50,0.018263342729532908,8,8,0.00997733092693874,0.3422744531284543,0.37162518025792624,0.35694981669319026,False,False
