topic_id,label,keywords,category,weight,is_primary
0,Promising Career Partnership,"means, idea, promise, work, help, better, true, deal, today, game",K_work_corporate,0.375000,True
0,Promising Career Partnership,"means, idea, promise, work, help, better, true, deal, today, game",A_commitment_hea,0.375000,False
0,Promising Career Partnership,"means, idea, promise, work, help, better, true, deal, today, game",S_scene_anchor,0.250000,False
1,Erotic Intimacy,"hips, tongue, breasts, mouth, body, arms, neck, thighs, nipples, hand",C_explicit,1.000000,True
2,Erotic Intimacy,"clit, pussy, tongue, hips, legs, mouth, neck, lip, lower, thighs",C_explicit,1.000000,True
3,Shared Meals and Snacks,"dinner, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert, hungry",H_domestic_nesting,1.000000,True
4,Long-Term Relationship Milestones,"way, years, matter, things, able, relationship, place, thing, feelings, kind",Z_noise_oog,1.000000,True
5,Career Changes Over Time,"week, years, job, fallen, days, times, months, able, things, different",K_work_corporate,0.750000,True
5,Career Changes Over Time,"week, years, job, fallen, days, times, months, able, things, different",S_scene_anchor,0.250000,False
6,Drunken Encounters,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, cup, drinks",L_vices_addictions,1.000000,True
7,Navigating Relationship Challenges,"problem, deal, idea, point, luck, choice, true, fault, necessary, need",Z_noise_oog,1.000000,True
8,Misunderstandings and Miscommunication,"wrong, thought, able, feelings, course, control, choice, things, deal, words",Q_miscommunication,0.500000,True
8,Misunderstandings and Miscommunication,"wrong, thought, able, feelings, course, control, choice, things, deal, words",P_tech_media,0.500000,False
9,Marriage and Divorce,"married, wedding, marriage, divorce, divorced, ceremony, planner, arranged, honeymoon, planning",G_rituals_gifts,0.500000,True
9,Marriage and Divorce,"married, wedding, marriage, divorce, divorced, ceremony, planner, arranged, honeymoon, planning",A_commitment_hea,0.500000,False
10,Approaching the Love Nest,"door, doors, knock, hallway, stairs, elevators, floor, lock, button, lobby",S_scene_anchor,1.000000,True
11,Dinner Date,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",H_domestic_nesting,1.000000,True
12,Tender Kisses and Intimacy,"kisses, tongue, mouth, neck, leans, lip, soft, lower, tender, forehead",B_mutual_intimacy,1.000000,True
13,Playful Flirting,"smile, laugh, laughs, grin, eyebrows, giggles, laughter, small, eyebrow, bright",I_humor_lightness,0.500000,True
13,Playful Flirting,"smile, laugh, laughs, grin, eyebrows, giggles, laughter, small, eyebrow, bright",O_appearance_aesthetics,0.500000,False
14,Genuine Smiles and Laughter,"smile, smiles, grin, grins, laughter, gleam, corners, crooked, genuine, mouth",I_humor_lightness,1.000000,True
15,Erotic Encounter,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, hand",C_explicit,1.000000,True
16,Family Generations,"parents, older, fathers, children, kids, grandson, years, uncles, youngest, dads",J_family_support,1.000000,True
19,Physical Arousal and Tension,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, tingle",Z_noise_oog,1.000000,True
20,Intense Eye Contact,"gaze, stare, stares, eye, features, glare, expression, brows, head, attention",O_appearance_aesthetics,1.000000,True
