Topic,Count,Name,Representation,n_pos_words,pos_words,coherence_c_v_pos,flag_small,flag_few_pos,flag_low_coh,noise_reason,noise_candidate,inspection_label
182,291,182_tough_umma_jerky_battle,"['tough', 'umma', 'jerky', 'battle', 'dig', 'cheeks', 'theya', 'talk', 'getting', 'ita', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2.0,"['tough', 'cheeks']",0.34540426288423176,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 182_tough_umma_jerky_battle
347,150,347_yessss___,"['yessss', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['yessss'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 347_yessss___
262,204,262_imply_clever_honestly_gives,"['imply', 'clever', 'honestly', 'gives', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['clever'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 262_imply_clever_honestly_gives
241,220,241_okaya_wella_arranged_start,"['okaya', 'wella', 'arranged', 'start', 'yeah', 'let', 'ita', 'ia', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['start'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 241_okaya_wella_arranged_start
183,290,183_division_stick_excuse_probably,"['division', 'stick', 'excuse', 'probably', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['division'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 183_division_stick_excuse_probably
141,360,141_rush___,"['rush', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1.0,['rush'],1.0,False,True,False,few_pos<3,True,[NOISE_CANDIDATE:few_pos<3] 141_rush___
359,146,359_pun_th_intended_declare,"['pun', 'th', 'intended', 'declare', 'entitled', 'speaking', 'told', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 359_pun_th_intended_declare
283,188,283_ina___,"['ina', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 283_ina___
224,245,224____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 224____
186,286,186____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 186____
132,376,132____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 132____
18,2062,18____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 18____
17,2064,17____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",,,,False,True,True,few_pos<3;low_coh<0.00,True,[NOISE_CANDIDATE:few_pos<3;low_coh<0.00] 17____
298,180,298_aren_jail_nightlife_means,"['aren', 'jail', 'nightlife', 'means', 'fatherless', 'haired', 'undisclosed', 'lizards', 'derision', 'inspires', 'speculatively', 'solver', 'skitter', 'subsidiary', 'edgier', 'colorado', 'stocky', 'inherently', 'placate', 'doubt', 'overdone', 'goaded', 'novelty', 'courting', 'bumpy', 'lately', 'dues']",10.0,"['jail', 'nightlife', 'fatherless', 'haired', 'lizards', 'undisclosed', 'subsidiary', 'derision', 'edgier', 'stocky']",0.1122691618123524,False,False,False,,False,298_aren_jail_nightlife_means
340,155,340_reida_ha_mouths_samuela,"['reida', 'ha', 'mouths', 'samuela', 'fortunately', 'denial', 'minimized', 'texta', 'punched', 'guarda', 'woes', 'impropriety', 'uha', 'tolerant', 'diligently', 'itches', 'discovers', 'hypocrisy', 'secreta', 'cringes', 'employers', 'nugget', 'alwaysa', 'wonderland', 'safest', 'reynarda', 'cruising']",10.0,"['mouths', 'denial', 'woes', 'impropriety', 'tolerant', 'hypocrisy', 'cringes', 'employers', 'safest', 'static']",0.1162207730023084,False,False,False,,False,340_reida_ha_mouths_samuela
304,178,304_jar_barista_trance_suggests,"['jar', 'barista', 'trance', 'suggests', 'georgiaa', 'taffy', 'saltwater', 'supplement', 'local', 'mileage', 'rankled', 'colora', 'recycling', 'goo', 'monkeys', 'ok', 'minty', 'nectar', 'sampling', 'bees', 'insomnia', 'vinegar', 'word', 'kellya', 'twentieth', 'fondly', 'entangled']",10.0,"['jar', 'barista', 'trance', 'taffy', 'saltwater', 'supplement', 'local', 'mileage', 'recycling', 'monkeys']",0.11894413087165442,False,False,False,,False,304_jar_barista_trance_suggests
324,163,324_sensory_overreacting_ita_discussion,"['sensory', 'overreacting', 'ita', 'discussion', 'bravely', 'overreaction', 'va', 'overeager', 'cultural', 'overanalyzing', 'overdone', 'overkill', 'songa', 'trials', 'vu', 'overload', 'seminar', 'charts', 'happens', 'overwhelm', 'scenarios', 'overbearing', 'differences', 'overa', 'ade', 'faa', 'heavens']",10.0,"['sensory', 'discussion', 'overreaction', 'overeager', 'cultural', 'overdone', 'overkill', 'trials', 'vu', 'overload']",0.13379742874116113,False,False,False,,False,324_sensory_overreacting_ita_discussion
180,295,180_ode_deserve_believed_ended,"['ode', 'deserve', 'believed', 'ended', 'outdo', 'flashing', 'geometry', 'stratosphere', 'adhered', 'cleanup', 'renovate', 'forte', 'renegotiate', 'pleaser', 'deflecting', 'courts', 'expiration', 'prided', 'foremost', 'wants', 'trutha', 'assurance', 'gummy', 'grain', 'defended', 'wadea', 'reliable']",10.0,"['ode', 'geometry', 'stratosphere', 'cleanup', 'forte', 'pleaser', 'courts', 'expiration', 'assurance', 'gummy']",0.13875588013261103,False,False,False,,False,180_ode_deserve_believed_ended
222,246,222_yeah_benjamina_aftera_trial,"['yeah', 'benjamina', 'aftera', 'trial', 'hauled', 'sale', 'rode', 'goda', 'wella', 'sistera', 'trash', 'announced', 'mana', 'fianca', 'sake', 'rule', 'broke', 'thanks', 'stopped', 'wants', 'heard', 'thata', 'theya', 'help', 'says', 'wea', 'going']",4.0,"['trial', 'sale', 'trash', 'thanks']",0.14136186163396056,False,False,False,,False,222_yeah_benjamina_aftera_trial
346,152,346_clairea_admirable_passionate_unenthusiastically,"['clairea', 'admirable', 'passionate', 'unenthusiastically', 'shortcuts', 'abysmally', 'verb', 'anxiousness', 'horrors', 'nonnegotiable', 'meet', 'fascinate', 'postal', 'marshaa', 'mutters', 'conferences', 'gasps', 'reply', 'pending', 'coldhearted', 'growls', 'screw', 'milaa', 'born', 'tenacious', 'mischievously', 'conference']",10.0,"['admirable', 'passionate', 'shortcuts', 'anxiousness', 'verb', 'horrors', 'postal', 'conferences', 'gasps', 'coldhearted']",0.1426173787697516,False,False,False,,False,346_clairea_admirable_passionate_unenthusiastically
321,165,321_cilliana_antidote_maine_evon,"['cilliana', 'antidote', 'maine', 'evon', 'unlike', 'entertainment', 'spent', 'footed', 'entailed', 'tolerant', 'limped', 'dala', 'belonged', 'terrorist', 'endorsement', 'detonate', 'barbed', 'buffer', 'groupies', 'icily', 'nines', 'chalked', 'discussions', 'regaining', 'finesse', 'pathetically', 'wilting']",10.0,"['antidote', 'maine', 'entertainment', 'tolerant', 'dala', 'terrorist', 'endorsement', 'groupies', 'buffer', 'nines']",0.14815012455846543,False,False,False,,False,321_cilliana_antidote_maine_evon
