outcome,model,axis,min_N_power_>=0.9
rating_mean,OLS (no author FE),AX_status_dominance,
rating_mean,OLS (no author FE),AX_drama_obstacle,6000.0
rating_mean,OLS (no author FE),AX_payoff_safety,6000.0
rating_mean,OLS (no author FE),AX_negative_affect,6000.0
rating_mean,OLS (no author FE),AX_explicitness,6000.0
rating_mean,OLS (no author FE),AX_attraction,12000.0
rating_mean,Author FE (within-author),AX_status_dominance,6000.0
rating_mean,Author FE (within-author),AX_drama_obstacle,6000.0
rating_mean,Author FE (within-author),AX_payoff_safety,6000.0
rating_mean,Author FE (within-author),AX_negative_affect,
rating_mean,Author FE (within-author),AX_explicitness,6000.0
rating_mean,Author FE (within-author),AX_attraction,6000.0
avg_rating_bayes,OLS (no author FE),AX_status_dominance,
avg_rating_bayes,OLS (no author FE),AX_drama_obstacle,
avg_rating_bayes,OLS (no author FE),AX_payoff_safety,
avg_rating_bayes,OLS (no author FE),AX_negative_affect,12000.0
avg_rating_bayes,OLS (no author FE),AX_explicitness,6000.0
avg_rating_bayes,OLS (no author FE),AX_attraction,6000.0
avg_rating_bayes,Author FE (within-author),AX_status_dominance,6000.0
avg_rating_bayes,Author FE (within-author),AX_drama_obstacle,6000.0
avg_rating_bayes,Author FE (within-author),AX_payoff_safety,6000.0
avg_rating_bayes,Author FE (within-author),AX_negative_affect,6000.0
avg_rating_bayes,Author FE (within-author),AX_explicitness,6000.0
avg_rating_bayes,Author FE (within-author),AX_attraction,6000.0
