topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
1,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",27,"['kissed', 'hips', 'tongue', 'breasts', 'mouth', 'body', 'arms', 'slid', 'neck', 'thighs', 'nipples', 'moved', 'thrust', 'stroked', 'hand', 'nipple', 'wrapped', 'clit', 'pressed', 'cupped', 'leaned', 'gently', 'waist', 'legs', 'flesh', 'pulled', 'pleasure']",Intimate Breast And Nipple Kissing,He gently kisses her breasts and nipples while she responds with soft moans.,"physical_affection, sexual_content","setting:bedroom, activity:kissing",False,"The top keywords 'breasts', 'mouth', 'nipples' and the snippets describing kissing and responding indicate a scene of intimate breast and nipple kissing.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main_category of 'Explicit Sexual Acts' and the representative snippets describing kisses and oral sex indicate that this topic primarily realizes Radway's function R12, where the heroine responds sexually and emotionally to the hero."
2,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",27,"['clit', 'pussy', 'tongue', 'hips', 'legs', 'mouth', 'neck', 'pull', 'lip', 'lower', 'thighs', 'waist', 'hair', 'hand', 'thumb', 'arms', 'grip', 'slide', 'moans', 'thrust', 'nipple', 'press', 'suck', 'inside', 'wrap', 'closer', 'body']",Clitoral Stimulation During Foreplay,"She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.","sexual_content, romance_core","setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",False,"The top keywords 'clit', 'tongue', 'hips', 'legs', and 'mouth' clearly indicate explicit sexual activity. The snippets confirm this, describing a man stimulating a woman's clitoris with his tongue during foreplay.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including oral sex and penetration, which align with Radway's function R12. The main taxonomy ID of 2.3 further confirms this, as it falls under 'Explicit Sexual Acts'."
6,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",27,"['wine', 'sip', 'bottle', 'drunk', 'whiskey', 'waiter', 'scotch', 'alcohol', 'drinking', 'poured', 'cup', 'drinks', 'sips', 'glasses', 'drank', 'pour', 'tea', 'mug', 'bar', 'liquor', 'table', 'vodka', 'tequila', 'took', 'beers', 'set', 'tray']",Wine-drinking At Table,"The couple sits at a table, sipping wine from their glasses.","social_setting, physical_affection","setting:table, activity:drinking_wine",False,"The top keywords 'wine', 'sip', 'bottle', and 'drunk' indicate a scene centered around drinking wine. The snippets show characters engaging in this activity at a table, supporting the label and chosen categories.",5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the heroine's actions with wine, which do not directly relate to the heroine–hero relationship or any of Radway's 13 functions. The Stage 2 taxonomy group 'Friends & Social Circles' further supports that this topic is about the heroine's social world outside the couple, not the core romance narrative."
9,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",27,"['married', 'wedding', 'marriage', 'marry', 'divorce', 'marrying', 'divorced', 'engaged', 'getting', 'ceremony', 'planner', 'wea', 'arranged', 'honeymoon', 'youa', 'want', 'planning', 'papers', 'annulled', 'groom', 'engagement', 'soon', 'years', 'months', 'isna', 'weeks', 'vegas']",Marriage Ceremony Planning,"The couple plans their wedding ceremony, discussing details and arrangements.","romance_core, domestic_life","setting:wedding_planning, activity:planning",False,"The top keywords 'married', 'wedding', 'marriage', 'ceremony', 'planner' indicate a focus on wedding planning. The snippets discuss marriage and planning, supporting the label and categories.",4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets all revolve around the concept of marriage, which is a clear indicator of the heroine's identity being restored (R13) in the heroine–hero romance arc. The main taxonomy ID of 4.5 further supports this, as it falls under 'Reconciliation, Commitments & HEA'."
10,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",27,"['door', 'doors', 'opens', 'opened', 'knock', 'hallway', 'stairs', 'elevators', 'floor', 'doorbell', 'shut', 'lock', 'closed', 'button', 'lobby', 'doorway', 'corridor', 'walk', 'doorman', 'closes', 'hall', 'office', 'foyer', 'building', 'step', 'walked', 'opening']",Knocking On Door,Someone hesitates before knocking on a door in a hallway.,"domestic_life, social_setting","setting:hallway, activity:knocking",False,"The top keywords 'door', 'doors', 'knock', 'hallway' indicate a scene centered around knocking on a door. The snippets confirm this, with phrases like 'can you open the door?' and 'is he coming out the front door?' supporting the label and scene summary.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic revolves around domestic spaces and routines, specifically doors, which are not central to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",27,"['wine', 'kitchen', 'plate', 'sip', 'waitress', 'bottle', 'cup', 'mug', 'dinner', 'food', 'eat', 'table', 'tea', 'salad', 'sipped', 'breakfast', 'counter', 'cream', 'lunch', 'bowl', 'fork', 'ice', 'poured', 'took', 'tray', 'sandwich', 'drinks']",Wine Tasting At Dinner,"The couple sits at a dinner table, sipping wine and waiting for their food.","social_setting, romance_core","setting:restaurant, activity:dinner, activity:wine_tasting",False,"The top keywords 'wine', 'dinner', 'food', and 'waitress' indicate a social setting involving a meal. The verb 'sip' suggests wine tasting, which is supported by the snippets mentioning wine glasses and bottles.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on actions in a public space, specifically involving wine, which is not directly related to the heroine–hero relationship or its narrative arc. It does not primarily realise any of Radway's 13 functions."
13,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",27,"['smiled', 'smile', 'smiles', 'laugh', 'laughs', 'laughed', 'grinned', 'grin', 'eyebrows', 'giggles', 'giggled', 'grins', 'laughter', 'gave', 'small', 'giggle', 'eyebrow', 'bright', 'smirk', 'smirks', 'amused', 'cheeks', 'gives', 'turned', 'looks', 'brightly', 'sweetly']",Playful Laughter And Smiles,The couple shares playful laughter and smiles while looking at each other.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"The top keywords 'smile', 'laugh', 'laughs', and 'laughter' indicate a joyful, playful mood. The snippets show a mutual exchange of smiles and laughter between two people, suggesting a romantic, affectionate scene.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,R9,II,Turning Point & Recognition,False,high,"The topic's keywords and representative snippets focus on smiling, a non-verbal expression of affection and joy, which is a tender gesture from the hero and a warm response from the heroine. This aligns with Radway's functions R8 (Hero treats heroine tenderly) and R9 (Heroine responds warmly to hero's tenderness)."
14,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",27,"['smile', 'smiles', 'grin', 'smiled', 'laugh', 'grinned', 'grins', 'laughed', 'laughs', 'smirked', 'chuckled', 'laughter', 'amused', 'gleam', 'curved', 'corners', 'flashed', 'widens', 'proudly', 'crooked', 'smirk', 'genuine', 'broadly', 'mouth', 'gives', 'slow', 'dimple']",Playful Smiling Interactions,The couple exchanges playful smiles and laughter while interacting.,"romance_core, physical_affection","setting:various, activity:smiling, activity:laughing",False,"The top keywords 'smile', 'smiles', 'laughter', and 'gleam' are all related to positive, playful expressions. The snippets show characters smiling at each other in various situations, indicating a romantic, affectionate scene.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,high,"The topic's representative snippets all depict the heroine smiling at the hero, indicating a warm response to him. This aligns with Radway's function R9, which describes the heroine responding warmly to the hero's tenderness."
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",27,"['clit', 'hips', 'pussy', 'legs', 'thighs', 'erection', 'waist', 'thigh', 'panties', 'pulls', 'hand', 'slides', 'arm', 'thumb', 'arms', 'wrap', 'tongue', 'leg', 'grabs', 'hip', 'inside', 'sliding', 'knees', 'shoulders', 'body', 'grip', 'pushes']",Clitoral Stimulation During Foreplay,He rubs her clit with his hand while they make out in the elevator.,"sexual_content, romance_core","setting:elevator, activity:making_out, sexual:clitoral_stimulation",False,"Top keywords include 'clit', 'hand', and 'elevator'. Snippets describe a man stimulating a woman's clitoris with his hand in an elevator, indicating a sexual scene with clear physical affection.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including clitoral stimulation, which is a clear indicator of R12. The main taxonomy ID of 2.3 further supports this, as it falls under 'Explicit Sexual Acts'."
16,"fathera, parents, died, dada, older, fathers, children, kids, grandson, hea",27,"['fathera', 'parents', 'died', 'dada', 'older', 'fathers', 'children', 'kids', 'grandson', 'hea', 'years', 'uncles', 'youngest', 'brothera', 'dads', 'nephew', 'age', 'didna', 'familya', 'grandpaa', 'passed', 'youa', 'tell', 'having', 'kind', 'wasna', 'want']",Intergenerational Family Bonding,"The youngest grandson sits with his older uncles, reminiscing about their fathers' shared history.","domestic_life, relationship_conflict","setting:home, activity:reminiscing",False,"The keywords 'parents', 'fathers', 'children', and 'years' indicate a focus on family history. The snippets show characters discussing and remembering their fathers, suggesting a scene of intergenerational bonding and shared memories.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on the hero's family and past, not the heroine–hero relationship, so it does not primarily realise any of Radway's 13 functions."
