topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
0,"ita, ia, need, say, want, going, dona, means, think, idea",27,"['ita', 'ia', 'need', 'say', 'want', 'going', 'dona', 'means', 'think', 'idea', 'thought', 'cana', 'says', 'promise', 'work', 'told', 'youa', 'help', 'better', 'really', 'true', 'just', 'deal', 'tell', 'make', 'didna', 'wona']",Negotiating Deal,The couple discusses terms and expectations for their relationship.,"relationship_conflict, domestic_life","setting:living_room, activity:discussion",False,"The top keywords 'means', 'deal', 'today' and 'work' suggest a negotiation. The snippets show a conversation between two people, indicating a domestic life scene with relationship conflict.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around hidden information and misunderstandings, which often lead to conflict and antagonism between the hero and heroine in Phase I of the romance narrative. The snippets suggest a tense exchange, with the heroine pushing back against the hero's advances, fitting R2."
4,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",27,"['seen', 'felt', 'ia', 'wanted', 'hea', 'experienced', 'loved', 'dated', 'thought', 'told', 'bothered', 'knew', 'let', 'forgive', 'cared', 'way', 'leave', 'shoulda', 'expected', 'certainly', 'years', 'happen', 'given', 'vowed', 'lived', 'matter', 'things']",Unclear Relationship Feelings,The couple expresses confusion about their relationship status and past behavior.,"romance_core, relationship_conflict","setting:home, activity:conversation",False,"The top keywords 'relationship', 'feelings', and 'years' indicate a focus on emotional dynamics. The snippets describe characters expressing surprise at each other's behavior, suggesting uncertainty about their relationship status.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and hidden information, suggesting a separation or distance between the hero and heroine. The keywords 'never seen' imply a lack of familiarity or shared history, which is characteristic of Phase I separation. There are no clear signs of tenderness, recognition, or commitment, so it's not fitting for Phase II or III."
5,"gone, gotten, given, week, trying, years, learned, seen, maybe, hea",27,"['gone', 'gotten', 'given', 'week', 'trying', 'years', 'learned', 'seen', 'maybe', 'hea', 'wondered', 'think', 'hadna', 'lost', 'job', 'thought', 'fallen', 'ago', 'left', 'way', 'probably', 'wanted', 'going', 'working', 'tried', 'days', 'just']",Long-term Relationship Struggles,"She reflects on their years together, wondering if she's lost her way.","romance_core, relationship_conflict","setting:home, relationship:long_term",False,"The keywords 'years', 'times', and 'things' indicate a long-term relationship. The snippets suggest reflection and uncertainty, supporting the label and categories.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's departure, leaving the heroine–hero relationship in limbo. This aligns with R7, as the couple is physically or emotionally separated. The snippets 'sheâs gone' and 'maybe sheâs gone back to her ex-fiancã©' suggest a break or separation, not just an argument or emotional withdrawal."
7,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",27,"['didn', 'won', 'therea', 'doesn', 'aren', 'thata', 'isn', 'mattered', 'shouldn', 'problem', 'matter', 'deal', 'idea', 'ita', 'wasn', 'matters', 'absolutely', 'point', 'luck', 'choice', 'true', 'fault', 'necessary', 'say', 'need', 'want', 'reason']",Relationship Ambiguity Conversation,"The couple sits together, struggling to express their feelings and clarify their relationship status.","romance_core, relationship_conflict","setting:living_room, activity:conversation",False,"The keywords 'problem', 'deal', 'idea', 'point', and 'need' suggest a conversation about a relationship issue. The snippets show the couple discussing their feelings without resolution, indicating ambiguity and conflict.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and misunderstandings, which often lead to separation or distance between the hero and heroine. The snippets suggest a lack of communication and understanding, which is typical of Phase I in Radway's functions."
8,"didna, didn, hadna, couldna, wasna, wanted, wasn, wouldna, knew, blame",27,"['didna', 'didn', 'hadna', 'couldna', 'wasna', 'wanted', 'wasn', 'wouldna', 'knew', 'blame', 'couldn', 'needed', 'hadn', 'did', 'really', 'let', 'want', 'wrong', 'wouldn', 'cared', 'anymore', 'lose', 'thought', 'expected', 'going', 'able', 'maybe']",Unclear Relationship Feelings,"She struggles with her feelings, unsure about her relationship.","romance_core, relationship_conflict","setting:none, activity:thinking",False,"The keywords 'feelings', 'thought', and 'deal' indicate internal conflict and uncertainty. The snippets show a woman grappling with her emotions, supporting the label and categories.",3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('she didnat understand.', 'what if she didnat like him?', 'she really didn't want to do this.') suggest the heroine is reacting antagonistically to the hero, expressing her uncertainty or dislike, which aligns with Radway's R2 function."
20,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked",27,"['gaze', 'stare', 'staring', 'looks', 'stares', 'look', 'stared', 'glares', 'glances', 'looked', 'eye', 'glance', 'watches', 'meet', 'looking', 'features', 'search', 'peer', 'glare', 'glanced', 'watching', 'expression', 'hold', 'narrowed', 'darken', 'gazed', 'turned']",Eye Contact And Staring,"The couple's gazes meet and hold, their expressions intense.","romance_core, physical_affection","setting:face_to_face, activity:staring",False,"The top keywords 'gaze', 'stare', 'eye' indicate a focus on looking at each other. The snippets show this happening in a romantic context, with 'meet his gaze' and 'gaze on my face'.",2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,medium,"The topic keywords and representative snippets ('meet his gaze', 'he met my gaze', 'gaze on my face') suggest a focus on eye contact and mutual attention, which is a common indicator of early attraction and sexual tension between the hero and heroine. This aligns with Radway's function R4, where the heroine interprets the hero's behavior as purely sexual interest."
22,"didna, couldna, wasna, hadna, wouldna, control, fucked, want, expecting, anymore",27,"['didna', 'couldna', 'wasna', 'hadna', 'wouldna', 'control', 'fucked', 'want', 'expecting', 'anymore', 'think', 'expected', 'cared', 'honestly', 'did', 'thought', 'really', 'wanted', 'wasn', 'shouldna', 'noticed', 'thing', 'mind', 'prepared', 'complaining', 'believe', 'matter']",Resisting Temptation,"She struggles with her desire, trying to make the right choice.","romance_core, relationship_conflict","setting:mind, activity:thought",False,"The keywords 'control', 'thought', 'choice', and 'problem' indicate internal conflict. The snippets show her resisting, suggesting a struggle with temptation or making a difficult decision.",3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",,,,high,False,R5,Heroine responds with anger or coldness,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's internal conflict and resistance, which is often expressed through coldness or emotional withdrawal (R5). The topic keywords and snippets ('didnat care', 'didnat like it') suggest a guarded, defensive response, fitting Phase I of the romance arc."
28,"dona, want, say, need, think, talk, really, anymore, anybody, flatter",27,"['dona', 'want', 'say', 'need', 'think', 'talk', 'really', 'anymore', 'anybody', 'flatter', 'tell', 'expect', 'complication', 'act', 'choice', 'means', 'respond', 'ta', 'engage', 'react', 'whata', 'thing', 'guacamole', 'die', 'belong', 'mind', 'shh']",Unclear Feelings Conversation,"The couple sits at a table, struggling to express their feelings.","romance_core, relationship_conflict","setting:table, activity:conversation",False,"The keywords 'complication', 'choice', 'question', and 'fact' suggest a complex situation. The snippets show the couple trying to communicate, indicating a romantic conflict.",4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('i donat care.', 'i donat know why.', 'oh, no, you donat.') suggest a lack of interest, indifference, or even resistance, which could indicate a separation or breakup threat in the relationship. The main taxonomy category 'Conflict, Distance & Breakup Threats' further supports this interpretation."
32,"firmly, offense, answered, youa, say, flatly, problem, replied, saying, wona",27,"['firmly', 'offense', 'answered', 'youa', 'say', 'flatly', 'problem', 'replied', 'saying', 'wona', 'shook', 'ita', 'answer', 'reply', 'quickly', 'did', 'head', 'worries', 'dona', 'want', 'intercourse', 'thata', 'plans', 'countered', 'asked', 'says', 'didna']",Argument About Saying No,She argues with him about not having a say in the matter.,"relationship_conflict, domestic_life","setting:home, activity:arguing",False,"The top keywords 'say', 'no', 'answer', and 'hesitation' along with the snippets showing a back-and-forth argument support the label and categories.",4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,high,"The topic revolves around arguments and resistance from the heroine, which is characteristic of Radway's R2 function. The snippets show the heroine pushing back against the hero with obstinacy and refusal to listen, aligning with the antagonistic response described in R2."
35,"silent, fell, remained, beat, stays, descends, awkward, stretched, stretches, moment",27,"['silent', 'fell', 'remained', 'beat', 'stays', 'descends', 'awkward', 'stretched', 'stretches', 'moment', 'deafening', 'descended', 'unspoken', 'minutes', 'eerily', 'uncomfortable', 'falls', 'stayed', 'drove', 'passed', 'companionable', 'drive', 'ride', 'volumes', 'therea', 'sat', 'room']",Silent Ride Together,"The couple sits silently together in a car, each lost in their own thoughts.","romance_core, domestic_life","setting:car, activity:silent",False,"The top keywords 'silent', 'ride', and 'moment' indicate a shared, silent activity. The snippets confirm this, showing characters being silent together in a car.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R5,Heroine responds with anger or coldness,,I,Initial Conflict & Isolation,False,low,"The topic's keywords and snippets suggest a heroine who is silent or withdrawn, which could indicate emotional withdrawal or coldness towards the hero, fitting R5. However, the lack of explicit context makes this a low confidence match."
