topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
0,"ita, ia, need, say, want, going, dona, means, think, idea",27,"['ita', 'ia', 'need', 'say', 'want', 'going', 'dona', 'means', 'think', 'idea', 'thought', 'cana', 'says', 'promise', 'work', 'told', 'youa', 'help', 'better', 'really', 'true', 'just', 'deal', 'tell', 'make', 'didna', 'wona']",Negotiating Deal,The couple discusses terms and expectations for their relationship.,"relationship_conflict, domestic_life","setting:living_room, activity:discussion",False,"The top keywords 'means', 'deal', 'today' and 'work' suggest a negotiation. The snippets show a conversation between two people, indicating a domestic life scene with relationship conflict.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around hidden information and misunderstandings, which often lead to conflict and antagonism between the hero and heroine in Phase I of the romance narrative. The snippets suggest a tense exchange, with the heroine pushing back against the hero's advances, fitting R2."
3,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",27,"['dinner', 'eat', 'food', 'lunch', 'breakfast', 'bakery', 'chicken', 'sandwich', 'meal', 'dessert', 'hungry', 'restaurant', 'eggs', 'cream', 'plate', 'pizza', 'salad', 'soup', 'delicious', 'fork', 'bread', 'ate', 'pancakes', 'steak', 'sandwiches', 'flour', 'ingredients']",Dinner Invitation,"He invites her to dinner, suggesting a restaurant or specific meal.","romance_core, social_setting","setting:restaurant, activity:invitation",False,"The top keyword 'dinner' and the snippets 'have dinner with me' and 'we should go there for dinner' indicate a scene where someone is inviting another person to dinner. This is a common romantic gesture, hence the 'romance_core' category. The setting is likely a restaurant, as suggested by the keyword 'restaurant' and the snippet 'go there for dinner', which justifies the 'setting:restaurant' secondary category.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around dinner invitations, a common setting for tender moments and emotional connection in romance narratives. This aligns with Radway's function R8, where the hero treats the heroine tenderly, offering care and protection."
4,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",27,"['seen', 'felt', 'ia', 'wanted', 'hea', 'experienced', 'loved', 'dated', 'thought', 'told', 'bothered', 'knew', 'let', 'forgive', 'cared', 'way', 'leave', 'shoulda', 'expected', 'certainly', 'years', 'happen', 'given', 'vowed', 'lived', 'matter', 'things']",Unclear Relationship Feelings,The couple expresses confusion about their relationship status and past behavior.,"romance_core, relationship_conflict","setting:home, activity:conversation",False,"The top keywords 'relationship', 'feelings', and 'years' indicate a focus on emotional dynamics. The snippets describe characters expressing surprise at each other's behavior, suggesting uncertainty about their relationship status.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and hidden information, suggesting a separation or distance between the hero and heroine. The keywords 'never seen' imply a lack of familiarity or shared history, which is characteristic of Phase I separation. There are no clear signs of tenderness, recognition, or commitment, so it's not fitting for Phase II or III."
7,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",27,"['didn', 'won', 'therea', 'doesn', 'aren', 'thata', 'isn', 'mattered', 'shouldn', 'problem', 'matter', 'deal', 'idea', 'ita', 'wasn', 'matters', 'absolutely', 'point', 'luck', 'choice', 'true', 'fault', 'necessary', 'say', 'need', 'want', 'reason']",Relationship Ambiguity Conversation,"The couple sits together, struggling to express their feelings and clarify their relationship status.","romance_core, relationship_conflict","setting:living_room, activity:conversation",False,"The keywords 'problem', 'deal', 'idea', 'point', and 'need' suggest a conversation about a relationship issue. The snippets show the couple discussing their feelings without resolution, indicating ambiguity and conflict.",4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and misunderstandings, which often lead to separation or distance between the hero and heroine. The snippets suggest a lack of communication and understanding, which is typical of Phase I in Radway's functions."
9,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",27,"['married', 'wedding', 'marriage', 'marry', 'divorce', 'marrying', 'divorced', 'engaged', 'getting', 'ceremony', 'planner', 'wea', 'arranged', 'honeymoon', 'youa', 'want', 'planning', 'papers', 'annulled', 'groom', 'engagement', 'soon', 'years', 'months', 'isna', 'weeks', 'vegas']",Marriage Ceremony Planning,"The couple plans their wedding ceremony, discussing details and arrangements.","romance_core, domestic_life","setting:wedding_planning, activity:planning",False,"The top keywords 'married', 'wedding', 'marriage', 'ceremony', 'planner' indicate a focus on wedding planning. The snippets discuss marriage and planning, supporting the label and categories.",4.5,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R13,Heroine's identity is restored,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets all revolve around the concept of marriage, which is a clear indicator of the heroine's identity being restored (R13) in the heroine–hero romance arc. The main taxonomy ID of 4.5 further supports this, as it falls under 'Reconciliation, Commitments & HEA'."
14,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",27,"['smile', 'smiles', 'grin', 'smiled', 'laugh', 'grinned', 'grins', 'laughed', 'laughs', 'smirked', 'chuckled', 'laughter', 'amused', 'gleam', 'curved', 'corners', 'flashed', 'widens', 'proudly', 'crooked', 'smirk', 'genuine', 'broadly', 'mouth', 'gives', 'slow', 'dimple']",Playful Smiling Interactions,The couple exchanges playful smiles and laughter while interacting.,"romance_core, physical_affection","setting:various, activity:smiling, activity:laughing",False,"The top keywords 'smile', 'smiles', 'laughter', and 'gleam' are all related to positive, playful expressions. The snippets show characters smiling at each other in various situations, indicating a romantic, affectionate scene.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,high,"The topic's representative snippets all depict the heroine smiling at the hero, indicating a warm response to him. This aligns with Radway's function R9, which describes the heroine responding warmly to the hero's tenderness."
23,"reesea, merinaa, gwynetha, taga, board, hadna, gave, told, cadea, wasna",27,"['reesea', 'merinaa', 'gwynetha', 'taga', 'board', 'hadna', 'gave', 'told', 'cadea', 'wasna', 'mug', 'turned', 'stood', 'arm', 'chair', 'chuckled', 'grunted', 'came', 'expected', 'moved', 'hand', 'asked', 'lodge', 'audreya', 'sat', 'table', 'gestured']",Board Game Around Table,"The couple sits around a table, playing a board game, their hands occasionally touching.","domestic_life, physical_affection","setting:table, activity:board_game",False,"The top keywords 'board', 'table', 'hand', and 'arm' indicate a shared activity around a table. The snippets show a couple interacting, supporting the 'physical_affection' category.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's main category 'Bonding, Everyday Intimacy & Growth' and the representative snippets showing casual, familiar interaction ('here we are again', 'tag', 'her') suggest a tender, intimate moment between the characters, fitting Radway's function R8 (Hero treats heroine tenderly)."
26,"tonight, night, evening, nights, stand, saturday, happened, tonighta, nighttime, nighta",27,"['tonight', 'night', 'evening', 'nights', 'stand', 'saturday', 'happened', 'tonighta', 'nighttime', 'nighta', 'going', 'fun', 'enjoy', 'spend', 'spent', 'special', 'just', 'different', 'ita', 'best', 'middle', 'rest', 'tomorrow', 'previous', 'zone', 'wona', 'uncomplicated']",Nighttime Fun Planning,The couple discusses and plans their evening activities during the night.,"romance_core, social_setting","setting:nighttime, activity:planning",False,"The keywords 'tonight', 'night', 'nights', and 'nighttime' indicate a focus on the night, while 'fun' and 'different' suggest planning for enjoyable activities. The snippets show a conversation about what to do that night, supporting the label and categories.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.4,"Time, Seasons & Temporal Framing","Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a tender, intimate moment between the couple, hinting at a turning point in their relationship (R8). However, the lack of explicit context makes this interpretation tentative."
28,"dona, want, say, need, think, talk, really, anymore, anybody, flatter",27,"['dona', 'want', 'say', 'need', 'think', 'talk', 'really', 'anymore', 'anybody', 'flatter', 'tell', 'expect', 'complication', 'act', 'choice', 'means', 'respond', 'ta', 'engage', 'react', 'whata', 'thing', 'guacamole', 'die', 'belong', 'mind', 'shh']",Unclear Feelings Conversation,"The couple sits at a table, struggling to express their feelings.","romance_core, relationship_conflict","setting:table, activity:conversation",False,"The keywords 'complication', 'choice', 'question', and 'fact' suggest a complex situation. The snippets show the couple trying to communicate, indicating a romantic conflict.",4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('i donat care.', 'i donat know why.', 'oh, no, you donat.') suggest a lack of interest, indifference, or even resistance, which could indicate a separation or breakup threat in the relationship. The main taxonomy category 'Conflict, Distance & Breakup Threats' further supports this interpretation."
31,"wea, wear, clothes, outfit, wearing, going, wardrobe, worn, clothing, doing",27,"['wea', 'wear', 'clothes', 'outfit', 'wearing', 'going', 'wardrobe', 'worn', 'clothing', 'doing', 'supposed', 'outfits', 'tomorrow', 'working', 'selling', 'different', 'fashion', 'think', 'getting', 'thata', 'compatible', 'having', 'feels', 'point', 'dona', 'just', 'start']",Clothing Shopping Together,"The couple browses clothing racks, trying on outfits and discussing their choices.","domestic_life, romance_core","setting:clothing_store, activity:shopping",False,"The top keywords 'clothes', 'outfit', 'wardrobe', and 'selling' indicate a focus on clothing. The snippets suggest a shared activity, with 'weâre this close' and 'or however long weâre together' implying a couple engaged in the activity together.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",medium,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around the idea of being together, which suggests a tender and caring relationship. The use of 'we' and 'together' implies a closeness and intimacy that is characteristic of Radway's function R8 - Hero treats heroine tenderly."
