topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
1,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",27,"['kissed', 'hips', 'tongue', 'breasts', 'mouth', 'body', 'arms', 'slid', 'neck', 'thighs', 'nipples', 'moved', 'thrust', 'stroked', 'hand', 'nipple', 'wrapped', 'clit', 'pressed', 'cupped', 'leaned', 'gently', 'waist', 'legs', 'flesh', 'pulled', 'pleasure']",Intimate Breast And Nipple Kissing,He gently kisses her breasts and nipples while she responds with soft moans.,"physical_affection, sexual_content","setting:bedroom, activity:kissing",False,"The top keywords 'breasts', 'mouth', 'nipples' and the snippets describing kissing and responding indicate a scene of intimate breast and nipple kissing.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main_category of 'Explicit Sexual Acts' and the representative snippets describing kisses and oral sex indicate that this topic primarily realizes Radway's function R12, where the heroine responds sexually and emotionally to the hero."
2,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",27,"['clit', 'pussy', 'tongue', 'hips', 'legs', 'mouth', 'neck', 'pull', 'lip', 'lower', 'thighs', 'waist', 'hair', 'hand', 'thumb', 'arms', 'grip', 'slide', 'moans', 'thrust', 'nipple', 'press', 'suck', 'inside', 'wrap', 'closer', 'body']",Clitoral Stimulation During Foreplay,"She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.","sexual_content, romance_core","setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",False,"The top keywords 'clit', 'tongue', 'hips', 'legs', and 'mouth' clearly indicate explicit sexual activity. The snippets confirm this, describing a man stimulating a woman's clitoris with his tongue during foreplay.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including oral sex and penetration, which align with Radway's function R12. The main taxonomy ID of 2.3 further confirms this, as it falls under 'Explicit Sexual Acts'."
12,"kisses, kissed, tongue, mouth, cheek, neck, leans, lip, licks, soft",27,"['kisses', 'kissed', 'tongue', 'mouth', 'cheek', 'neck', 'leans', 'lip', 'licks', 'soft', 'softly', 'lick', 'lower', 'tenderly', 'pulls', 'tender', 'slow', 'forehead', 'teeth', 'gently', 'sucking', 'takes', 'temple', 'thumb', 'kisser', 'pressed', 'cups']",Tender Forehead Kisses,"He tenderly kisses her forehead, leaning in with soft lips.","romance_core, physical_affection","setting:bedroom, activity:kissing",False,"The top keywords 'kisses', 'tender', 'forehead', and 'soft' indicate a gentle, affectionate kissing scene. The snippets confirm this, showing a man kissing a woman's forehead.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around kissing, a tender and affectionate act that often signals a shift in the hero's behavior towards the heroine. This typically occurs in Phase II of Radway's functions, where the hero treats the heroine tenderly, indicating a turning point in their relationship."
13,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",27,"['smiled', 'smile', 'smiles', 'laugh', 'laughs', 'laughed', 'grinned', 'grin', 'eyebrows', 'giggles', 'giggled', 'grins', 'laughter', 'gave', 'small', 'giggle', 'eyebrow', 'bright', 'smirk', 'smirks', 'amused', 'cheeks', 'gives', 'turned', 'looks', 'brightly', 'sweetly']",Playful Laughter And Smiles,The couple shares playful laughter and smiles while looking at each other.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"The top keywords 'smile', 'laugh', 'laughs', and 'laughter' indicate a joyful, playful mood. The snippets show a mutual exchange of smiles and laughter between two people, suggesting a romantic, affectionate scene.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,R9,II,Turning Point & Recognition,False,high,"The topic's keywords and representative snippets focus on smiling, a non-verbal expression of affection and joy, which is a tender gesture from the hero and a warm response from the heroine. This aligns with Radway's functions R8 (Hero treats heroine tenderly) and R9 (Heroine responds warmly to hero's tenderness)."
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",27,"['clit', 'hips', 'pussy', 'legs', 'thighs', 'erection', 'waist', 'thigh', 'panties', 'pulls', 'hand', 'slides', 'arm', 'thumb', 'arms', 'wrap', 'tongue', 'leg', 'grabs', 'hip', 'inside', 'sliding', 'knees', 'shoulders', 'body', 'grip', 'pushes']",Clitoral Stimulation During Foreplay,He rubs her clit with his hand while they make out in the elevator.,"sexual_content, romance_core","setting:elevator, activity:making_out, sexual:clitoral_stimulation",False,"Top keywords include 'clit', 'hand', and 'elevator'. Snippets describe a man stimulating a woman's clitoris with his hand in an elevator, indicating a sexual scene with clear physical affection.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including clitoral stimulation, which is a clear indicator of R12. The main taxonomy ID of 2.3 further supports this, as it falls under 'Explicit Sexual Acts'."
19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",27,"['stomach', 'chest', 'blood', 'veins', 'temples', 'spine', 'belly', 'adrenaline', 'heartbeat', 'beating', 'tingle', 'races', 'begins', 'shiver', 'beat', 'pounds', 'beats', 'racing', 'flutters', 'thuds', 'rate', 'thud', 'stabs', 'endings', 'pounding', 'knots', 'twists']",Adrenaline-fueled game,She feels her heart race and stomach flutter as he traces her veins with his fingers during intense foreplay.,"sexual_content, romance_core","setting:bedroom, activity:foreplay, sexual:touching",False,"The keywords 'stomach', 'chest', 'blood', 'veins', 'adrenaline', and 'tingle' suggest a heightened emotional and physical state. The snippets confirm this, mentioning heart racing and stomach fluttering, indicating intense arousal and foreplay.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category of 'Explicit Sexual Acts' directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets, such as 'my stomach feels like it's carrying a cannonball' and 'my heart hammers in my chest', suggest a strong emotional response accompanying the sexual act, further supporting R12."
20,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked",27,"['gaze', 'stare', 'staring', 'looks', 'stares', 'look', 'stared', 'glares', 'glances', 'looked', 'eye', 'glance', 'watches', 'meet', 'looking', 'features', 'search', 'peer', 'glare', 'glanced', 'watching', 'expression', 'hold', 'narrowed', 'darken', 'gazed', 'turned']",Eye Contact And Staring,"The couple's gazes meet and hold, their expressions intense.","romance_core, physical_affection","setting:face_to_face, activity:staring",False,"The top keywords 'gaze', 'stare', 'eye' indicate a focus on looking at each other. The snippets show this happening in a romantic context, with 'meet his gaze' and 'gaze on my face'.",2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,medium,"The topic keywords and representative snippets ('meet his gaze', 'he met my gaze', 'gaze on my face') suggest a focus on eye contact and mutual attention, which is a common indicator of early attraction and sexual tension between the hero and heroine. This aligns with Radway's function R4, where the heroine interprets the hero's behavior as purely sexual interest."
21,"car, driver, limo, parked, parking, cars, driveway, suv, curb, cab",27,"['car', 'driver', 'limo', 'parked', 'parking', 'cars', 'driveway', 'suv', 'curb', 'cab', 'drive', 'drivera', 'pulls', 'vehicle', 'garage', 'taxi', 'traffic', 'mercedes', 'porsche', 'seat', 'driving', 'door', 'passenger', 'engine', 'pulled', 'jeep', 'drove']",Parked Car Makeout,"The couple, parked in his car, engages in passionate kissing.","romance_core, physical_affection","setting:car, activity:kissing",False,"The top keyword 'car' and snippets like 'the back of my car?' and 'in his car' indicate a scene in a vehicle. The verb 'kissing' from the POS cues and its repetition in snippets suggest a romantic, physical activity.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic revolves around affectionate moments in a car, suggesting tenderness and care, which aligns with R8. However, the lack of explicit context or keywords makes the fit less certain."
25,"smile, laugh, laughter, grin, smiled, grinned, burst, laughed, chuckled, force",27,"['smile', 'laugh', 'laughter', 'grin', 'smiled', 'grinned', 'burst', 'laughed', 'chuckled', 'force', 'bite', 'forced', 'lip', 'chuckle', 'loud', 'stop', 'goofy', 'cheeks', 'help', 'hide', 'biting', 'wipe', 'crosses', 'suppress', 'stifle', 'smiles', 'tried']",Playful Laughter And Smiles,The couple shares playful laughter and smiles while interacting.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"The top keywords 'smile', 'laugh', 'laughter', and 'grin' indicate playful interactions. The snippets show characters smiling and laughing together, supporting a romantic, playful scene.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a warm response from the heroine, which is characteristic of Phase II in Radway's functions. However, the lack of explicit context makes the confidence level low."
36,"knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides",27,"['knees', 'feet', 'fists', 'arms', 'foot', 'fold', 'shuffle', 'fist', 'shoe', 'sides', 'twist', 'legs', 'hold', 'heels', 'sneakers', 'wobble', 'clench', 'finger', 'curl', 'bend', 'jump', 'ground', 'chest', 'hand', 'sandals', 'knee', 'buckle']",Kneeling For Intimacy,"She kneels in front of him, her hands on his knees, looking up at him.","physical_affection, romance_core","setting:bedroom, activity:kneeling",False,"The top keywords 'knees', 'feet', 'fists', 'arms', and 'legs' suggest a kneeling position. The snippets show a person kneeling in front of another, indicating an intimate scene. The label 'Kneeling For Intimacy' and the scene summary capture this action and setting.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's focus on kissing and non-explicit affection suggests a tender moment between the hero and heroine, fitting Radway's function R8 (Hero treats heroine tenderly). The lack of explicit sexual content and the non-existence of keywords or previous labels/summaries make other functions less likely."
