topic_id,label,top_n,top_mean,top_median,top_q1,top_q3,top_std,middle_n,middle_mean,middle_median,middle_q1,middle_q3,middle_std,trash_n,trash_mean,trash_median,trash_q1,trash_q3,trash_std,cliffs_top_trash,cliffs_top_middle,cliffs_middle_trash,kruskal_stat,kruskal_p,mw_top_trash_stat,mw_top_trash_p,mw_top_middle_stat,mw_top_middle_p,mw_middle_trash_stat,mw_middle_trash_p,kruskal_p_adj,mw_top_trash_p_adj,mw_top_middle_p_adj,mw_middle_trash_p_adj,prevalence,mass,concentration_ratio,scene_summary,keywords,label_is_noise,primary_categories,secondary_categories,taxonomy_main_name,taxonomy_main_group,taxonomy_confidence,taxonomy_is_noise,taxonomy_secondary_name,taxonomy_secondary_group,radway_main_name,radway_phase_name,radway_phase,radway_confidence,radway_is_none,middle_relative,abs_cliffs_top_trash,hypothesis_mapping
6,Wine-drinking At Table,30,0.008890299449731656,0.007839914693592881,0.0063978164943801685,0.010222466084822648,0.004311191624282034,32,0.009224991384546237,0.00913494969951642,0.006319591009915743,0.011193621745694056,0.003691101240004375,30,0.007341365046688743,0.00657196562490864,0.004383679001180091,0.00963941580989567,0.0034973361789757086,0.2311111111111111,-0.0875,0.3125,4.811594202898505,0.09019357352082502,554.0,0.12597019317097233,438.0,0.5588402297835617,630.0,0.03521801967989285,0.42765389289027533,0.3426731007280008,0.8648115773121181,0.9053785491978091,1.0,0.008501626730414038,2.9346273626252604,"The couple sits at a table, sipping wine from their glasses.","wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",False,"social_setting, physical_affection","setting:table, activity:drinking_wine",Friends & Social Circles,Social World Outside Couple,high,False,,,None of the above,Not a narrative function,NA,high,True,1.1651848189704688,0.2311111111111111,S_Procedure
10,Knocking On Door,30,0.00809760398062803,0.007377220227976296,0.005981799708276449,0.009645037851864284,0.0031215113442413216,32,0.0070398800794628305,0.0069112031970061105,0.004853271186687059,0.00859025626498787,0.002787130476819816,30,0.00703055339302975,0.005933168145390219,0.004441538936912896,0.008487159914386502,0.0038316181445850004,0.26,0.2125,0.075,3.5275245441795278,0.17139880032909652,567.0,0.08499969748696408,582.0,0.1527976041779375,516.0,0.617040152501639,0.537766670914997,0.30281142229730956,0.6699587260109567,0.9094638791635928,1.0,0.007381748736440695,2.5024593189358626,Someone hesitates before knocking on a door in a hallway.,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",False,"domestic_life, social_setting","setting:hallway, activity:knocking",Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.9368302544519472,0.26,S_Procedure
24,Phone Notifications During Night,30,0.002320974684109587,0.0022803417169074197,0.0016540974539686897,0.0032167788503488838,0.0011145151211365448,32,0.001953893878973396,0.0018259240160640124,0.0010787264860648222,0.002799435358537623,0.0010980319491815844,30,0.0020653140996355606,0.0017202446919752671,0.000663522365555813,0.002701554056901596,0.0018923337463597463,0.2644444444444444,0.21875,0.08125,3.7037751285647005,0.15694065098854226,569.0,0.07978164712498097,585.0,0.14102709032657285,519.0,0.5876068182859993,0.5110018950677453,0.29963991959336245,0.6695369360161473,0.9094638791635928,0.7282608695652174,0.0021099268221685123,4.562902216514476,"She's about to fall asleep when her phone buzzes on the nightstand, lighting up the screen with an incoming message.","rings, buzzes, pocket, rang, screen, cellphone, nightstand, ringing, message, purse",False,"domestic_life, relationship_conflict","setting:bedroom, activity:texting",Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.8007238224225152,0.2644444444444444,S_Procedure
27,Exiting Through Doorways,30,0.0037592174289209595,0.003372773087993975,0.002437378926915092,0.004293411881238443,0.0018445332032754782,32,0.004389909848700089,0.0034919625424378797,0.0029285255094157335,0.005911175707094421,0.0023646513524502523,30,0.004949832444946429,0.00491484016277449,0.0030221035080904702,0.0068431242216957545,0.0022396230179805897,-0.30666666666666664,-0.12708333333333333,-0.14166666666666666,3.8374444834034307,0.1467944101239098,312.0,0.04206682132383563,419.0,0.39410464665212264,412.0,0.3417066556295937,0.4930509073391022,0.24349142377891558,0.7790970471388782,0.9053785491978091,1.0,0.0043668327323307015,2.340967809533777,"She opened the door and stepped out into the hallway, leaving him behind in the car.","door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",False,"domestic_life, social_setting","setting:doorway, activity:exiting",Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.7104935981106785,0.30666666666666664,S_Procedure
54,Phone Ringing And Answering,30,0.005477717149654064,0.005348134339426266,0.004165714575207865,0.006107287471323624,0.0021415093074486696,32,0.0063664300952284425,0.0065520115822690975,0.004156818264898344,0.00863489722560204,0.002523568472033431,30,0.00730478760366612,0.007443333432446549,0.004594108799784957,0.009574504958938055,0.0033806919776291,-0.30444444444444446,-0.24375,-0.1625,5.243896096306628,0.07266117739477808,313.0,0.0435835477758183,363.0,0.10079578681326837,402.0,0.27498363751687716,0.4189523172811714,0.24349142377891558,0.6406808084862614,0.9053785491978091,1.0,0.006382618539640388,2.1558889540802646,"The phone rings, and someone picks it up.","rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings",False,"domestic_life, social_setting","setting:phone, activity:answering",Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.8802523162112712,0.30444444444444446,S_Procedure
92,Luxury Hotel Suite,30,0.0037506000063935395,0.003499295547477326,0.002892237453453338,0.004289451816139181,0.001539926893817423,32,0.0035074993659111302,0.0032540079697591933,0.0028865304294282824,0.004365623719869562,0.001169733935478202,30,0.0033182269840909195,0.003094221452263776,0.0022302714185269273,0.0038133811136187913,0.0016836911390192598,0.2311111111111111,0.07708333333333334,0.15208333333333332,2.450911640953734,0.29362383006120923,554.0,0.12597019317097233,517.0,0.6071572556153206,553.0,0.30714640203164334,0.578332490055431,0.3426731007280008,0.8911921949375092,0.9053785491978091,1.0,0.0035250520589531517,2.8254833047432153,"The couple explores a lavish hotel suite, admiring the beige furniture, brown wood tables, and floor-to-ceiling windows.","furniture, fireplace, ceiling, windows, chairs, floors, wood, walls, floor, ceilings",False,"domestic_life, social_setting","setting:hotel_suite, activity:exploring",Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.9299036999360248,0.2311111111111111,H3_LuxuryWork; S_Procedure
139,Awkward Questions At Door,30,0.003811187310546229,0.0036196010975987573,0.0029780548068817463,0.004184367609942059,0.0016221592776210151,32,0.004468173260146436,0.0042715830287521845,0.0032411957683935576,0.005667240278418495,0.0016783526405852425,30,0.005195134949090453,0.005878543096357776,0.0029741561060983145,0.007156937635095538,0.0022068109278924517,-0.32222222222222224,-0.22916666666666666,-0.20416666666666666,5.806872370266433,0.054834474553628616,305.0,0.03265093917842125,370.0,0.12297483941384534,382.0,0.1696355912946409,0.40036827546000053,0.24275263476130582,0.6695369360161473,0.9053785491978091,1.0,0.004490991436019417,1.8620869414529264,"She hesitates at the door, asking him 'What is it?' with a stammer.","asked, asks, doing, replied, whata, demanded, prompted, says, suspiciously, uh",False,"relationship_conflict, domestic_life","setting:doorway, activity:asking_questions","Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),medium,False,,,Hero and heroine are physically or emotionally separated,Initial Conflict & Isolation,I,medium,False,0.7266397279174149,0.32222222222222224,H5_Conflict; S_Procedure
212,Office Work At Desk,60,0.0034192627302139017,0.003079490262713619,0.0024948400106069774,0.0041716623048658665,0.0012474942848495697,64,0.0030421613807353055,0.0028096945582479285,0.002408729140422125,0.003446584381852301,0.0010284190273728308,60,0.0030225199865879723,0.0026732651532818,0.00222823640058074,0.0034864101417415765,0.0013594185985800842,0.23277777777777778,0.15364583333333334,0.09479166666666666,5.187825719741454,0.07472707072878752,2219.0,0.028052218586901826,2215.0,0.14088590700961331,2102.0,0.3641424494821228,0.4189523172811714,0.23984646891801062,0.6695369360161473,0.9053785491978091,1.0,0.0031587244096476738,2.4562301173647656,"She sits at her desk in the office, staring at her computer screen.","desk, screen, laptop, monitor, office, stare, papers, drawer, chair, paperweight",False,"domestic_life, work_or_school","setting:office, activity:working",Shared Workplaces & Professional Interaction,"Work, Wealth, Status & Institutions",high,False,,,None of the above,Not a narrative function,NA,high,True,0.9123894629668694,0.23277777777777778,H3_LuxuryWork; S_Procedure
218,Birdwatching In Park,30,0.0009884290504205248,0.0007700440913609816,0.0005616727525707205,0.0010865020551388746,0.0006745112125634652,32,0.0007195197650892732,0.0005590144858208447,0.00048039443926439676,0.0007043511625980887,0.0007186096585477895,30,0.0008361455448897406,0.0005047089332692851,0.0003704784395810507,0.0009429811619223471,0.0008857579098200136,0.34444444444444444,0.4375,0.08541666666666667,9.276154160822784,0.009676286470183574,605.0,0.022360148062659704,690.0,0.0031675005567332747,521.0,0.5683527786758931,0.40036827546000053,0.2148448349285285,0.6406808084862614,0.9094638791635928,0.20652173913043478,0.000845237721110486,5.741010159068701,"The couple sits on a bench in the park, watching birds and ducks.","pigeon, birds, duck, duckling, chirping, wings, speculate, pecking, crows, antics",False,"romance_core, domestic_life","setting:park, activity:birdwatching",Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.7259511753901273,0.34444444444444444,S_Procedure
259,Work At Desk,30,0.002459195500103768,0.0023220830275206402,0.0020543029470648753,0.0027659628719202845,0.0008040369265292456,32,0.0028441846905007716,0.002727913662431315,0.0020995524287755925,0.003497815966848678,0.0009746740596261616,30,0.00317835904730389,0.003278232160462857,0.00213276103501348,0.0036320189216428565,0.001308837107644704,-0.3288888888888889,-0.21458333333333332,-0.12708333333333333,5.064784946236557,0.07946866602076458,302.0,0.029205409568445008,377.0,0.1487937830497453,419.0,0.39410464665212264,0.4189523172811714,0.24275263476130582,0.6695720237238539,0.9053785491978091,0.9891304347826086,0.0028276146360679826,2.5723636615773913,"She sits behind her desk, worried, as she waits for news on her computer.","desk, laptop, papers, office, cubicle, stack, screen, paper, chair, seat",False,"domestic_life, work_or_school","setting:office, activity:waiting",Heroine's Work & Professional Identity,"Work, Wealth, Status & Institutions",high,False,,,None of the above,Not a narrative function,NA,high,True,0.8321294666431469,0.3288888888888889,H3_LuxuryWork; S_Procedure
