topic_id,label,total_books_with_topic,n_authors,top_author,top_author_count,top_author_share,top2_author_share,is_author_driven,top_author_tier_concentration,author_dominance_flag,cliffs_top_trash,top_median,trash_median,prevalence
0,Negotiating Deal,13,13,Ana_Huang,1,0.07692307692307693,0.15384615384615385,False,0.0,low,0.13777777777777778,0.0008510393935204665,0.0008508230337109347,0.14130434782608695
1,Intimate Breast And Nipple Kissing,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.3,0.004661473482271421,0.006031124949313769,1.0
2,Clitoral Stimulation During Foreplay,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.19666666666666666,0.008465022952462571,0.005969532977335374,0.9891304347826086
3,Dinner Invitation,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.14888888888888888,0.0054927824812854055,0.005065004940564338,1.0
4,Unclear Relationship Feelings,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.02585034013605442,0.0029140103577970054,0.0029203749210066883,0.8680124223602484
5,Long-term Relationship Struggles,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.022222222222222223,0.0032671366560965785,0.003238780860784819,1.0
6,Wine-drinking At Table,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.2311111111111111,0.007839914693592881,0.00657196562490864,1.0
7,Relationship Ambiguity Conversation,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.08444444444444445,0.01693662833890093,0.016796051628550746,1.0
9,Marriage Ceremony Planning,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.30666666666666664,0.00555339634706711,0.0033044065886716273,1.0
10,Knocking On Door,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.26,0.007377220227976296,0.005933168145390219,1.0
11,Wine Tasting At Dinner,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,-0.21777777777777776,0.010608681849747668,0.013390683745302192,1.0
12,Tender Forehead Kisses,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.10222222222222223,0.0014781084919243204,0.0018657998188488397,0.5271739130434783
13,Playful Laughter And Smiles,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.05,0.003311661061702713,0.0031675059569035748,0.8641304347826086
14,Playful Smiling Interactions,92,33,Alexa_Riley,3,0.03260869565217391,0.06521739130434782,False,0.0,low,0.2111111111111111,0.004374878754212822,0.0037543033305802035,1.0
16,Intergenerational Family Bonding,84,33,Tia_Louise,3,0.03571428571428571,0.07142857142857142,False,0.0,low,0.2644444444444444,0.003174298470813067,0.002111406912795257,0.9130434782608695
19,Adrenaline-fueled game,89,33,Alexa_Riley,3,0.033707865168539325,0.06741573033707865,False,0.0,low,0.27555555555555555,0.004164492188962193,0.0034223159868639794,0.967391304347826
