label,topic_id,hypothesis_mapping,cliffs_top_trash,top_median,trash_median,prevalence,mass
Intimate Breast And Nipple Kissing,1,H1_Explicit,-0.3,0.004661473482271421,0.006031124949313769,1.0,0.01984039195187068
Wine-drinking At Table,6,S_Procedure,0.2311111111111111,0.007839914693592881,0.00657196562490864,1.0,0.008501626730414038
Marriage Ceremony Planning,9,H2_Commitment,0.30666666666666664,0.00555339634706711,0.0033044065886716273,1.0,0.006370255526216299
Knocking On Door,10,S_Procedure,0.26,0.007377220227976296,0.005933168145390219,1.0,0.007381748736440695
Wine Tasting At Dinner,11,Unclassified,-0.21777777777777776,0.010608681849747668,0.013390683745302192,1.0,0.012778645127261944
Playful Smiling Interactions,14,H2_Commitment; H4_Emotional,0.2111111111111111,0.004374878754212822,0.0037543033305802035,1.0,0.004899910028333389
Intergenerational Family Bonding,16,Unclassified,0.2644444444444444,0.003174298470813067,0.002111406912795257,0.9130434782608695,0.0029514929880620428
Adrenaline-fueled game,19,H1_Explicit,0.27555555555555555,0.004164492188962193,0.0034223159868639794,0.967391304347826,0.004280917501631045
Resisting Temptation,22,Unclassified,0.29777777777777775,0.0022281202335636074,0.0018844256968014595,1.0,0.002162389327771985
Phone Notifications During Night,24,S_Procedure,0.2644444444444444,0.0022803417169074197,0.0017202446919752671,0.7282608695652174,0.0021099268221685123
Exiting Through Doorways,27,S_Procedure,-0.30666666666666664,0.003372773087993975,0.00491484016277449,1.0,0.0043668327323307015
Clothing Shopping Together,31,H2_Commitment; H4_Emotional,0.32222222222222224,0.001629232839106497,0.001412738576123717,0.9891304347826086,0.0015079222795703286
Business Discussion,33,H3_LuxuryWork,-0.23333333333333334,0.003252435559913863,0.0036350864717558462,1.0,0.0037002793664285246
Archery Hunting,34,H2_Commitment; H4_Emotional,0.21555555555555556,0.0006257778316552116,0.0005836333568693616,0.11956521739130435,0.0015507027206501625
Kneeling For Intimacy,36,Unclassified,0.3422222222222222,0.0035237677005956203,0.0022803329761045986,0.9456521739130435,0.0032148808049768953
Insane Arguments,37,H5_Conflict,0.3422222222222222,0.003853563713969349,0.003182529799469549,0.9891304347826086,0.0037561861037023825
Lip Biting During Intimacy,39,Unclassified,0.36444444444444446,0.0028213029828501037,0.001837469578099892,0.9130434782608695,0.002320078687087322
Confused About Feelings,41,H4_Emotional; H5_Conflict,0.24,0.0019568833319214985,0.0018140912629505345,1.0,0.001905582703074138
Exploring Virginity,42,H1_Explicit,0.29777777777777775,0.001593206513535821,0.0012457233809493376,0.7391304347826086,0.0015597480257174203
Mother-player Relationship Struggles,44,H5_Conflict,0.28888888888888886,0.0028373146562799033,0.00233586947088999,0.9891304347826086,0.002958271997693909
Hair And Neck game,47,Unclassified,0.20666666666666667,0.0012413260769990558,0.001051713729724955,0.6847826086956522,0.001406994115720693
Dress Shopping Together,53,H2_Commitment; H4_Emotional,0.26222222222222225,0.002338271092555416,0.0017786659069926225,1.0,0.0022859876627951666
Phone Ringing And Answering,54,S_Procedure,-0.30444444444444446,0.005348134339426266,0.007443333432446549,1.0,0.006382618539640388
Dominatrix Session,55,H1_Explicit,-0.35333333333333333,0.005967560533581216,0.00834068756390838,1.0,0.009157512758387904
Sleep Deprivation,56,H5_Conflict,0.21555555555555556,0.002536138189767786,0.0021721624631417255,1.0,0.0025333083385489378
Boss's Boss Interaction,60,H3_LuxuryWork,-0.3244444444444444,0.001250501978704105,0.0014430696141341068,0.7934782608695652,0.0018956035979704946
Deceptive Relationship,63,Unclassified,0.24,0.0024902149496457467,0.0021658413694304037,1.0,0.002399170774852212
Bluffing About Feelings,66,H4_Emotional; H5_Conflict,0.3933333333333333,0.0009472742151199184,0.000803619830299941,0.20652173913043478,0.0016822858529508408
Painful Emotional Burden,69,H4_Emotional; H5_Conflict,0.31555555555555553,0.002112026663335557,0.0017116162949176114,0.9891304347826086,0.0019075133203689365
Kitten Rescue And Bonding,70,H2_Commitment; H4_Emotional,0.37777777777777777,0.0010024119201902121,0.0007515030119864758,0.391304347826087,0.0013280704237784012
Bedroom Encounter,75,Unclassified,0.31777777777777777,0.0035414818251288636,0.0027198825379157994,1.0,0.0034199986930822453
Whispered Secrets,76,Unclassified,0.38222222222222224,0.0013593884646717369,0.001131745899595085,0.8043478260869565,0.0017202284332474061
Frightened Admissions,82,H5_Conflict,0.42,0.0022944287907610108,0.0017861599829477215,1.0,0.002220145348827653
Missed Opportunity Regret,88,H5_Conflict,0.21333333333333335,0.0013396870494742047,0.0011810014902593363,0.7717391304347826,0.0014097982863692784
Emotional Argument,89,H4_Emotional; H5_Conflict,0.22666666666666666,0.0027919231084809525,0.002521912483871922,1.0,0.0027052919177419253
Luxury Hotel Suite,92,H3_LuxuryWork; S_Procedure,0.2311111111111111,0.003499295547477326,0.003094221452263776,1.0,0.0035250520589531517
Family Apologies And Reconciliation,93,Unclassified,-0.23777777777777778,0.0017753574098220127,0.0020992373158301475,0.9782608695652174,0.001983021435750712
Whispered Love Confessions,96,H2_Commitment; H4_Emotional,-0.2088888888888889,0.004234823011774086,0.005572720913941731,0.9891304347826086,0.004991757816379555
Eyes Closed In Intimacy,97,Unclassified,0.3422222222222222,0.0028614011338046015,0.002069238864347458,0.9347826086956522,0.002510010110576884
Desire And Regret Conversation,99,H4_Emotional; H5_Conflict,0.20444444444444446,0.002780610736111953,0.00255461151256343,0.9782608695652174,0.002833580240375697
Gifting White Roses,100,H2_Commitment; H4_Emotional,0.22444444444444445,0.0013438448660770925,0.0011382076961136776,0.7934782608695652,0.0015002216696903153
Sister's Tragic Letters,101,Unclassified,0.21555555555555556,0.0007728440401163113,0.0006996554386261046,0.1956521739130435,0.0017007154941048417
Hair Tugging During game,102,H1_Explicit,0.24222222222222223,0.005087209349106225,0.0038596654544973707,1.0,0.004537470877934967
Nighttime Conversations,106,H2_Commitment; H4_Emotional,0.23555555555555555,0.0009441873423958842,0.0008260895169700914,0.22826086956521738,0.000854201496109521
Important Conversation,116,H2_Commitment; H4_Emotional,0.24,0.002967680501399326,0.0025016966394425834,0.9891304347826086,0.0027767277818053645
Police Involvement,123,Unclassified,0.2688888888888889,0.0031005108388473977,0.0026415579866157766,0.9891304347826086,0.0029662396391864003
Mid-flight Makeout,125,Unclassified,0.23777777777777778,0.004524930327344169,0.004216605232194023,1.0,0.004466456778191646
Sardonic Glances During Argument,126,H5_Conflict,0.22,0.0017844484128514287,0.001663893415574224,0.967391304347826,0.002069243186299693
Breast And Nipple Play,133,H1_Explicit,0.21944444444444444,0.00413813863334751,0.003736798209659424,0.9945652173913043,0.004227769112925997
Excited Diversion,136,H2_Commitment; H4_Emotional,0.4866666666666667,0.0015472345352483905,0.0011976814435126705,0.8043478260869565,0.0015183706633599262
Awkward Questions At Door,139,H5_Conflict; S_Procedure,-0.32222222222222224,0.0036196010975987573,0.005878543096357776,1.0,0.004490991436019417
Kitchen Conversation,142,H2_Commitment; H4_Emotional,0.32222222222222224,0.002623105446210905,0.0022036531972072816,1.0,0.0025838062670558116
Holiday Celebration,148,Unclassified,0.3688888888888889,0.0008029442125357642,0.0006925833905413644,0.25,0.0008962647702237624
Deflecting Blame,150,H5_Conflict,-0.3333333333333333,0.002243255137742945,0.00244754613294732,1.0,0.0024066599589878564
Negotiating Business Deal,151,H3_LuxuryWork,0.3088888888888889,0.000993449701607833,0.0008176930656655889,0.30434782608695654,0.0009109714367998362
Unexpected Pregnancy,154,Unclassified,0.21333333333333335,0.0021061636908533245,0.0017741885883781293,0.9891304347826086,0.0021715671127519784
Trust Assurance Conversation,156,H2_Commitment; H4_Emotional,0.29777777777777775,0.003835226820837612,0.0035225718643659134,1.0,0.0035273443643149397
Emotional Panic Attack,160,H4_Emotional; H5_Conflict,-0.2644444444444444,0.0032759762187872634,0.004783927147849266,0.9891304347826086,0.004312453635752103
Emotional Voice Cracks,165,H4_Emotional; H5_Conflict,0.23555555555555555,0.0017430154328135095,0.0014565982580694893,0.8043478260869565,0.0017267546803116799
Angry Shouting Match,166,H5_Conflict,0.24666666666666667,0.0014370378216407194,0.0012706643401056237,0.8913043478260869,0.0015377742370183466
Intense Orgasmic Waves,167,H1_Explicit,0.3022222222222222,0.002169447571303892,0.0017309129970033226,0.9239130434782609,0.001977182327374617
Risky Business Decision,169,H3_LuxuryWork; H5_Conflict,0.24444444444444444,0.0021816453655632002,0.0020079258034556464,1.0,0.0021698937151026286
Bedroom Intimacy,171,Unclassified,0.22444444444444445,0.0062669587535143425,0.005381183663333245,1.0,0.005961702085949749
Despairing About Worst Scenarios,174,H5_Conflict,0.21777777777777776,0.00121908652999182,0.0010080696508597703,0.6739130434782609,0.0012169870652508265
Emotional Throat Tightness,176,H4_Emotional; H5_Conflict,0.35333333333333333,0.0018812724213161348,0.0014229183021942497,0.9130434782608695,0.0018167315229093664
Pursuit Of Happiness,178,Unclassified,0.29777777777777775,0.002379454833903479,0.002026793426543114,1.0,0.002383608626946576
Harem Conversation,179,H4_Emotional; H5_Conflict,0.21777777777777776,0.0008400047547576927,0.0007803861265089164,0.29347826086956524,0.001616132063692198
Religious Piety Display,190,Unclassified,0.2288888888888889,0.0033088184803567924,0.0029041004723078844,0.967391304347826,0.003202555200641434
Jealousy Conversation,201,H4_Emotional; H5_Conflict,0.29555555555555557,0.0011549429320819203,0.0007681509945814624,0.42391304347826086,0.0009579373507200839
Clan Heir's Obsession,209,Unclassified,0.3088888888888889,0.003121071266499616,0.0027350900221722093,1.0,0.003355408578290751
Reunion Conversation In Car,210,H2_Commitment; H4_Emotional,0.29777777777777775,0.001046236664293828,0.0009769175539618244,0.44565217391304346,0.0015135578146374582
Office Work At Desk,212,H3_LuxuryWork; S_Procedure,0.23277777777777778,0.003079490262713619,0.0026732651532818,1.0,0.0031587244096476738
Death And Suicide Conversations,216,H4_Emotional; H5_Conflict,0.2288888888888889,0.0036250143107262323,0.0032803410557373466,1.0,0.003574452383979584
Snarky Banter In Morning,217,H5_Conflict,0.29555555555555557,0.001471853151955367,0.0011272567601598278,0.75,0.001421737479619546
Birdwatching In Park,218,S_Procedure,0.34444444444444444,0.0007700440913609816,0.0005047089332692851,0.20652173913043478,0.000845237721110486
Disco Night Adventure,226,H2_Commitment; H4_Emotional,0.3511111111111111,0.0023146961232847823,0.0018834620045881283,0.9782608695652174,0.0026848951596891543
Homecoming Conversations,228,H2_Commitment; H4_Emotional,0.2088888888888889,0.0035297867718074244,0.0027976366555176515,1.0,0.003383497345946767
Fascinated Gaze,229,Unclassified,-0.26222222222222225,0.00525557958176383,0.006826619889702729,0.967391304347826,0.006078669744995049
Sweaty Forehead During Intimacy,231,Unclassified,0.26666666666666666,0.0021083419228664995,0.0016770662830990783,0.9130434782608695,0.0020520428619761237
Admiring Intelligence,233,H2_Commitment; H4_Emotional,-0.2644444444444444,0.0029182036671088155,0.004088618861215278,1.0,0.0036773383738673117
Tearful Emotional Moment,239,H4_Emotional; H5_Conflict,0.35333333333333333,0.001999911735171866,0.0015761059646648167,0.9565217391304348,0.0019581988569738864
Career-focused Relationship Struggles,240,H3_LuxuryWork; H5_Conflict,0.2088888888888889,0.0008745648750635153,0.0008020721120882652,0.1956521739130435,0.0008432032388865267
Age Gap Roleplay,244,Unclassified,0.2222222222222222,0.0017467544360938998,0.0016106088505489615,0.967391304347826,0.001959938906947736
Midnight Clock Glance,245,Unclassified,0.3422222222222222,0.002622642364214457,0.0021851478914659966,0.9891304347826086,0.002569239091229743
Doomsday Incident Discussion,248,H5_Conflict,0.24,0.0013912094604799268,0.0010743529537552195,0.6847826086956522,0.0012096513382979437
Belief Discussion,249,Unclassified,0.21333333333333335,0.00596883348386833,0.0057175680530993835,1.0,0.005902872868026815
Protective Conversations By Firelight,250,H2_Commitment; H4_Emotional,-0.3488888888888889,0.0036411495932770427,0.005375469461238087,1.0,0.0057493614547763
Press Conference Speech,251,Unclassified,0.35777777777777775,0.0010384305585297753,0.0008539262597511352,0.41304347826086957,0.001388868346646456
Confused Conversations,253,H4_Emotional; H5_Conflict,0.2911111111111111,0.0009614986082253682,0.0008700841442331705,0.31521739130434784,0.0009167320234532509
Regretful Mistake Admission,254,H5_Conflict,0.2577777777777778,0.002176769695400934,0.0019318089483475877,0.9891304347826086,0.0021241550949878192
Hushed Conversations,256,H2_Commitment; H4_Emotional,0.20666666666666667,0.003965114626670982,0.003483598000246045,1.0,0.0038144436972282455
Sunset Parade Motivation,258,H2_Commitment; H4_Emotional,0.26,0.0012112023003504318,0.0010311505828420687,0.5652173913043478,0.0014550548738320463
Work At Desk,259,H3_LuxuryWork; S_Procedure,-0.3288888888888889,0.0023220830275206402,0.003278232160462857,0.9891304347826086,0.0028276146360679826
Car Ride Negotiation,261,H5_Conflict,0.2311111111111111,0.0009339424154779156,0.0008213383742321155,0.2826086956521739,0.0011260822215701446
Clever Insults During Argument,262,H5_Conflict,0.3511111111111111,0.0006836232199504165,0.00011199256575017515,0.33695652173913043,0.000933606175514438
Schoolyard Argument,264,H5_Conflict,0.28444444444444444,0.0063133956097160045,0.00514776309056824,1.0,0.0064371121789374396
