topic_id,label,top_n,top_mean,top_median,top_q1,top_q3,top_std,middle_n,middle_mean,middle_median,middle_q1,middle_q3,middle_std,trash_n,trash_mean,trash_median,trash_q1,trash_q3,trash_std,cliffs_top_trash,cliffs_top_middle,cliffs_middle_trash,kruskal_stat,kruskal_p,mw_top_trash_stat,mw_top_trash_p,mw_top_middle_stat,mw_top_middle_p,mw_middle_trash_stat,mw_middle_trash_p,kruskal_p_adj,mw_top_trash_p_adj,mw_top_middle_p_adj,mw_middle_trash_p_adj,prevalence,mass,concentration_ratio,scene_summary,keywords,label_is_noise,primary_categories,secondary_categories,taxonomy_main_name,taxonomy_main_group,taxonomy_confidence,taxonomy_is_noise,taxonomy_secondary_name,taxonomy_secondary_group,radway_main_name,radway_phase_name,radway_phase,radway_confidence,radway_is_none,middle_relative,abs_cliffs_top_trash
0,Negotiating Deal,30,0.0008680612433674464,0.0008510393935204665,0.000790086150535111,0.0009484295261438401,0.00013867680055393931,32,0.0008383672954681291,0.0008273945042811723,0.0007592057912247549,0.0009027754397065448,0.00014461599641629071,30,0.0008320807128282707,0.0008508230337109347,0.0007111985328796599,0.0009360017571807423,0.00014800386565279265,0.13777777777777778,0.19375,-0.010416666666666666,1.6960144927535907,0.42826751381364125,512.0,0.36322231255273874,573.0,0.19259314917535064,475.0,0.9494586820457005,0.6597634672264203,0.5751019948751697,0.7075259456841363,0.9947776927930492,0.14130434782608695,0.0008460001319657788,1.4838629046988558,The couple discusses terms and expectations for their relationship.,"ita, ia, need, say, want, going, dona, means, think, idea",False,"relationship_conflict, domestic_life","setting:living_room, activity:discussion","Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),medium,False,,,Heroine reacts antagonistically to the hero,Initial Conflict & Isolation,I,medium,False,0.9722163431670101,0.13777777777777778
1,Intimate Breast And Nipple Kissing,30,0.011615371555092884,0.004661473482271421,0.0038898459920315882,0.006206457279173916,0.02145768531541251,32,0.019207376379610668,0.005018727855914442,0.004117633332059616,0.02406902553414906,0.025621830561066407,30,0.028740628959059156,0.006031124949313769,0.0047576692955010064,0.06080365377289156,0.03135030474454953,-0.3,-0.16875,-0.16458333333333333,4.322381954184209,0.11518785321840169,315.0,0.04675584239277178,399.0,0.25683008206319546,401.0,0.2688375633590584,0.4528074229964756,0.24349142377891558,0.7075259456841363,0.9053785491978091,1.0,0.01984039195187068,4.541721142077889,He gently kisses her breasts and nipples while she responds with soft moans.,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",False,"physical_affection, sexual_content","setting:bedroom, activity:kissing",Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",high,False,,,Heroine responds sexually and emotionally,Commitment & Restoration,III,high,False,0.8321379203512754,0.3
2,Clitoral Stimulation During Foreplay,60,0.011839361457589905,0.008465022952462571,0.005591809477889198,0.0127052628236346,0.011943847774653602,64,0.009551770272605,0.007939826977805816,0.0033582459797919626,0.01196231780490213,0.007619402419356947,60,0.009789362248926682,0.005969532977335374,0.0030669748942791465,0.01221927958890759,0.010531509545997377,0.19666666666666666,0.11302083333333333,0.08385416666666666,3.4912220916569368,0.1745383054724113,2154.0,0.06354000931475105,2137.0,0.27903041540049534,2081.0,0.4222637884021412,0.537766670914997,0.27389719670343043,0.7075259456841363,0.9053785491978091,0.9891304347826086,0.01037519956433541,6.820181727034963,"She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.","clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",False,"sexual_content, romance_core","setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",high,False,,,Heroine responds sexually and emotionally,Commitment & Restoration,III,high,False,0.9379569232828056,0.19666666666666666
3,Dinner Invitation,30,0.00670426637857178,0.0054927824812854055,0.004086366662525198,0.008800940701404416,0.004032142723193607,32,0.00681627951121694,0.0050641335222365545,0.003828173249842186,0.008234095234477391,0.005121958182907357,30,0.0053609138345765035,0.005065004940564338,0.0039412526958273655,0.006028578538632173,0.0024254762863389883,0.14888888888888888,0.05625,0.07708333333333334,0.9231299672744058,0.6302964695898329,517.0,0.32552658677915214,507.0,0.7089426927374918,517.0,0.6071572556153206,0.8111638807375671,0.5301432984689048,0.9320180624088004,0.9094638791635928,1.0,0.006305177725580332,3.958874392786196,"He invites her to dinner, suggesting a restaurant or specific meal.","dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",False,"romance_core, social_setting","setting:restaurant, activity:invitation","Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),high,False,,,Hero treats heroine tenderly,Turning Point & Recognition,II,medium,False,0.921961400673438,0.14888888888888888
4,Unclear Relationship Feelings,210,0.0043713085969863215,0.0029140103577970054,0.0018835671687060602,0.004505845332225601,0.006597355874173869,224,0.004694155224915908,0.0027238408799794035,0.0017270552772552842,0.0050196447710890435,0.006971218370703143,210,0.006056605644530541,0.0029203749210066883,0.0016775636366859752,0.005787728805511957,0.010074804818446888,-0.02585034013605442,0.005909863945578232,-0.027933673469387754,0.3143840751672542,0.854539939274578,21480.0,0.64705961234705,23659.0,0.9155327151576399,22863.0,0.6151441300081547,0.9277862197838276,0.7683832896621219,0.9725482559679913,0.9094638791635928,0.8680124223602484,0.005033156461334945,11.88331651609582,The couple expresses confusion about their relationship status and past behavior.,"seen, felt, ia, wanted, hea, experienced, loved, dated, thought, told",False,"romance_core, relationship_conflict","setting:home, activity:conversation","Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),medium,False,,,Hero and heroine are physically or emotionally separated,Initial Conflict & Isolation,I,medium,False,0.9327024304708862,0.02585034013605442
5,Long-term Relationship Struggles,30,0.003311122436354551,0.0032671366560965785,0.002962279004805883,0.0036681913430247934,0.0005472416477075754,32,0.003043259484812433,0.0030863753023680556,0.0027273768088090945,0.0033840417274667886,0.0005065193564213558,30,0.0033348569936643905,0.003238780860784819,0.002619695041077665,0.0038329695985073976,0.0007811396850410374,0.022222222222222223,0.2625,-0.17291666666666666,3.028328073866305,0.21999201319823544,460.0,0.8883028421533887,606.0,0.07709752534224344,397.0,0.2452000867324996,0.578332490055431,0.9405559505153528,0.6406808084862614,0.9053785491978091,1.0,0.0032256922436365884,1.6494448582097196,"She reflects on their years together, wondering if she's lost her way.","gone, gotten, given, week, trying, years, learned, seen, maybe, hea",False,"romance_core, relationship_conflict","setting:home, relationship:long_term",Negative Emotions & Distress,"Emotions, Cognition & Inner Life",high,False,,,Hero and heroine are physically or emotionally separated,Initial Conflict & Isolation,I,medium,False,0.9446728229569159,0.022222222222222223
6,Wine-drinking At Table,30,0.008890299449731656,0.007839914693592881,0.0063978164943801685,0.010222466084822648,0.004311191624282034,32,0.009224991384546237,0.00913494969951642,0.006319591009915743,0.011193621745694056,0.003691101240004375,30,0.007341365046688743,0.00657196562490864,0.004383679001180091,0.00963941580989567,0.0034973361789757086,0.2311111111111111,-0.0875,0.3125,4.811594202898505,0.09019357352082502,554.0,0.12597019317097233,438.0,0.5588402297835617,630.0,0.03521801967989285,0.42765389289027533,0.3426731007280008,0.8648115773121181,0.9053785491978091,1.0,0.008501626730414038,2.9346273626252604,"The couple sits at a table, sipping wine from their glasses.","wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",False,"social_setting, physical_affection","setting:table, activity:drinking_wine",Friends & Social Circles,Social World Outside Couple,high,False,,,None of the above,Not a narrative function,NA,high,True,1.1651848189704688,0.2311111111111111
7,Relationship Ambiguity Conversation,30,0.018199597726686795,0.01693662833890093,0.013643129063276365,0.021518832678302544,0.005695516406675624,32,0.0162968067988569,0.015279178677051447,0.01318314383599045,0.018733958304160952,0.0047343713664941235,30,0.017016128516436302,0.016796051628550746,0.01393653907793288,0.0193221300102249,0.005030440102511021,0.08444444444444445,0.16458333333333333,-0.11041666666666666,1.4141654978961924,0.49308054108199106,488.0,0.5792942105819812,559.0,0.2688375633590584,427.0,0.4595973861839423,0.7175895534044295,0.7310650185204338,0.7075259456841363,0.9053785491978091,1.0,0.017151843531055585,1.911285953914961,"The couple sits together, struggling to express their feelings and clarify their relationship status.","didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",False,"romance_core, relationship_conflict","setting:living_room, activity:conversation","Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),medium,False,,,Hero and heroine are physically or emotionally separated,Initial Conflict & Isolation,I,medium,False,0.9021381517680008,0.08444444444444445
9,Marriage Ceremony Planning,30,0.007271303054554452,0.00555339634706711,0.003489112386014879,0.00904523045833669,0.005543515021624755,32,0.005946522502717336,0.004673357119676744,0.0027107410270609113,0.006390811446370782,0.004522229608906572,30,0.005921189889610374,0.0033044065886716273,0.0025184325945133415,0.005962589815907445,0.006186971475784744,0.30666666666666664,0.1625,0.18333333333333332,4.573433847592355,0.10159947371758737,588.0,0.04206682132383563,558.0,0.27498363751687716,568.0,0.21775616156549682,0.43483427420202236,0.24349142377891558,0.7075259456841363,0.9053785491978091,1.0,0.006370255526216299,4.340100956371469,"The couple plans their wedding ceremony, discussing details and arrangements.","married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",False,"romance_core, domestic_life","setting:wedding_planning, activity:planning","Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),high,False,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",Heroine's identity is restored,Commitment & Restoration,III,high,False,0.841531333882144,0.30666666666666664
10,Knocking On Door,30,0.00809760398062803,0.007377220227976296,0.005981799708276449,0.009645037851864284,0.0031215113442413216,32,0.0070398800794628305,0.0069112031970061105,0.004853271186687059,0.00859025626498787,0.002787130476819816,30,0.00703055339302975,0.005933168145390219,0.004441538936912896,0.008487159914386502,0.0038316181445850004,0.26,0.2125,0.075,3.5275245441795278,0.17139880032909652,567.0,0.08499969748696408,582.0,0.1527976041779375,516.0,0.617040152501639,0.537766670914997,0.30281142229730956,0.6699587260109567,0.9094638791635928,1.0,0.007381748736440695,2.5024593189358626,Someone hesitates before knocking on a door in a hallway.,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",False,"domestic_life, social_setting","setting:hallway, activity:knocking",Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,,,None of the above,Not a narrative function,NA,high,True,0.9368302544519472,0.26
