label,topic_id,cliffs_top_trash,top_median,trash_median,mw_top_trash_p,prevalence,mass,keywords,label_is_noise,abs_cliffs_top_trash
Engagement Surprise,124,0.5733333333333334,0.0004000844926276007,0.0003139085377157517,0.00014066868942295472,0.03260869565217391,0.0008729843956789743,"viviana, shallowed, ante, returned, engagement, stunt, instances, cheeks, ex, flushed",False,0.5733333333333334
Argument With Glare,252,0.5466666666666666,0.00028348002561575704,0.00024338134222516632,0.0002838866568788881,0.03260869565217391,0.000455137588736406,"westona, growls, straightens, cautions, scowls, movea, retorts, turns, smoldering, oops",False,0.5466666666666666
Excited Diversion,136,0.4866666666666667,0.0015472345352483905,0.0011976814435126705,0.001236184563209011,0.8043478260869565,0.0015183706633599262,"fun, excited, excitement, entertaining, having, sounds, uncomplicated, goad, diversion, funa",False,0.4866666666666667
Married Couple's Affectionate Stares,67,0.4533333333333333,0.0003722483314933347,0.0003312425393321226,0.0026242800643638355,0.043478260869565216,0.0010067235045464237,"ravena, aresa, nods, tenses, looks, hurting, walks, wona, marry, stares",False,0.4533333333333333
Frightened Admissions,82,0.42,0.0022944287907610108,0.0017861599829477215,0.005322077805144202,1.0,0.002220145348827653,"scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears",False,0.42
Compromising Photoshoot,266,0.40444444444444444,0.0009519725605867746,0.0008197391781352582,0.00728836046503409,0.2391304347826087,0.0012267452523020998,"shots, client, grinned, wouldn, compromising, photos, assured, meridian, explicit, le",False,0.40444444444444444
Emotional Relationship Delusion,321,0.40444444444444444,0.002532751268374652,0.002060938562550247,0.00728836046503409,0.9782608695652174,0.002774832491108677,"cilliana, antidote, maine, evon, unlike, entertainment, spent, footed, entailed, tolerant",False,0.40444444444444444
Smiling And Laughing Together,330,0.39555555555555555,0.0013173243373097807,0.0009635631177111993,0.008684371229240621,0.6195652173913043,0.0014135581314144556,"marleya, confidante, splutters, goofily, pleads, kicking, suma, ra, stylist, glance",False,0.39555555555555555
Bluffing About Feelings,66,0.3933333333333333,0.0009472742151199184,0.000803619830299941,0.009068760993273545,0.20652173913043478,0.0016822858529508408,"didn, couldn, swallowed, glanced, nodded, hadn, giggled, wasn, despite, friend",False,0.3933333333333333
Emotional Conversation Around Table,268,0.3933333333333333,0.000282221488471135,0.00023399038786851278,0.009068760993273545,0.03260869565217391,0.00043811053419116517,"ameliea, diary, frowns, tosses, widens, pouts, gaze, glances, breaks, props",False,0.3933333333333333
Adrenaline-fueled Racing,313,0.3888888888888889,0.0015216408256892738,0.0007443825644751025,0.009883401291685813,0.5,0.0012391893989279511,"race, frowns, begins, starts, racing, brace, races, deluge, prebuyers, thoroughbred",False,0.3888888888888889
Breakup Reflection,197,0.3888888888888889,0.0003509556433692574,0.0003241611295645042,0.009883401291685813,0.03260869565217391,0.0006394324544554096,"breakera, asks, closure, margaritas, refer, rule, joins, numbers, says, uh",False,0.3888888888888889
Silent Staring Conversation,59,0.3827777777777778,0.00042889204737920836,0.000384830211430685,0.00030187249717580753,0.043478260869565216,0.0008113888040338607,"tristana, smiles, replies, broadly, laughs, puts, glares, mutters, harrya, asks",False,0.3827777777777778
Whispered Secrets,76,0.38222222222222224,0.0013593884646717369,0.001131745899595085,0.01122776446668884,0.8043478260869565,0.0017202284332474061,"whisper, whispered, murmur, whispers, whata, breathy, shh, contorting, conceited, meek",False,0.38222222222222224
Local Honey Accident,304,0.38222222222222224,0.0004929793613340288,0.00031200176197497716,0.01122776446668884,0.11956521739130435,0.0005935299653364179,"jar, barista, trance, suggests, georgiaa, taffy, saltwater, supplement, local, mileage",False,0.38222222222222224
Kitten Rescue And Bonding,70,0.37777777777777777,0.0010024119201902121,0.0007515030119864758,0.012211939665202363,0.391304347826087,0.0013280704237784012,"kittens, delivery, cata, purr, claws, rescued, hairless, arrogantly, cheshire, lap",False,0.37777777777777777
Feminist Identity Affirmation,310,0.3711111111111111,0.002584287029115407,0.002216522204658805,0.013831619802975413,1.0,0.002550054631769833,"foremost, tend, feminine, ama, ladies, feminist, conscious, especially, godawful, experience",False,0.3711111111111111
Holiday Celebration,148,0.3688888888888889,0.0008029442125357642,0.0006925833905413644,0.014412183349875863,0.25,0.0008962647702237624,"merry, holiday, parties, holidays, yeara, partya, december, partying, presents, christmases",False,0.3688888888888889
Evasive Answers,214,0.3688888888888889,0.0004915393888923663,0.0004471637951782113,0.014412183349875863,0.043478260869565216,0.0008377141915408309,"lottiea, asks, says, question, questiona, omg, connect, answer, say, whata",False,0.3688888888888889
Lip Biting During Intimacy,39,0.36444444444444446,0.0028213029828501037,0.001837469578099892,0.0156381195256908,0.9130434782608695,0.002320078687087322,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",False,0.36444444444444446
Wheelchair Bonding,230,0.3622222222222222,0.0002791247519153847,0.0002493020441286057,0.0162848089481173,0.03260869565217391,0.0005799321842890888,"didn, testily, talked, hadn, wasn, cast, wheelchair, figured, repeated, told",False,0.3622222222222222
Press Conference Speech,251,0.35777777777777775,0.0010384305585297753,0.0008539262597511352,0.017649028129173842,0.41304347826086957,0.001388868346646456,"georgiaa, thosea, press, conference, yelped, scolded, giggled, cursing, laughed, called",False,0.35777777777777775
Emotional Throat Tightness,176,0.35333333333333333,0.0018812724213161348,0.0014229183021942497,0.01911239675982854,0.9130434782608695,0.0018167315229093664,"throat, lump, clear, dries, swallowed, bile, tight, knot, clogged, cough",False,0.35333333333333333
Tearful Emotional Moment,239,0.35333333333333333,0.001999911735171866,0.0015761059646648167,0.01911239675982854,0.9565217391304348,0.0019581988569738864,"tears, prick, wipe, blink, cheeks, tear, leak, sting, stung, welled",False,0.35333333333333333
Archery Practice,138,0.35333333333333333,0.00044457164081929834,0.0003988328885348011,0.01911239675982854,0.03260869565217391,0.0008049062091403605,"sailora, sailors, archery, promised, sparrowa, cards, tapes, arrows, broccoli, pact",False,0.35333333333333333
Dominatrix Session,55,-0.35333333333333333,0.005967560533581216,0.00834068756390838,0.01911239675982854,1.0,0.009157512758387904,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",False,0.35333333333333333
Disco Night Adventure,226,0.3511111111111111,0.0023146961232847823,0.0018834620045881283,0.01988307641391072,0.9782608695652174,0.0026848951596891543,"hayesa, doesna, wants, copying, imperial, disco, infinity, pottery, scandalous, doga",False,0.3511111111111111
Clever Insults During Argument,262,0.3511111111111111,0.0006836232199504165,0.00011199256575017515,0.01988307641391072,0.33695652173913043,0.000933606175514438,"imply, clever, honestly, gives, , , , , , ",False,0.3511111111111111
Protective Conversations By Firelight,250,-0.3488888888888889,0.0036411495932770427,0.005375469461238087,0.020680749139978086,1.0,0.0057493614547763,"loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",False,0.3488888888888889
Prolonged Waiting,339,0.3488888888888889,0.0017282604130071963,0.0013746468590400828,0.020680749139978086,0.8478260869565217,0.0016315826624129475,"wait, waiting, ipo, cowering, waits, pumps, elections, stand, beat, dissipate",False,0.3488888888888889
Doorway Questions And Answers,64,0.3466666666666667,0.0002431319064049811,0.00021130142782774383,0.021506179932511887,0.03260869565217391,0.000841094062573479,"huxleya, says, asks, lottiea, secure, questions, jpa, davea, glance, stands",False,0.3466666666666667
Birdwatching In Park,218,0.34444444444444444,0.0007700440913609816,0.0005047089332692851,0.022360148062659704,0.20652173913043478,0.000845237721110486,"pigeon, birds, duck, duckling, chirping, wings, speculate, pecking, crows, antics",False,0.34444444444444444
Scowling At Beeps,366,0.34444444444444444,0.00015824749539117367,0.00010806168817019174,0.022360148062659704,0.03260869565217391,0.00026945724469331495,"scowl, beeping, beeps, beeped, crews, frowning, galloped, spelling, bees, mango",False,0.34444444444444444
Kneeling For Intimacy,36,0.3422222222222222,0.0035237677005956203,0.0022803329761045986,0.02324344705367121,0.9456521739130435,0.0032148808049768953,"knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides",False,0.3422222222222222
Insane Arguments,37,0.3422222222222222,0.003853563713969349,0.003182529799469549,0.02324344705367121,0.9891304347826086,0.0037561861037023825,"ridiculous, insane, bullshit, fool, dumbass, outrageous, assholes, insanity, idiots, stupidest",False,0.3422222222222222
Eyes Closed In Intimacy,97,0.3422222222222222,0.0028614011338046015,0.002069238864347458,0.02324344705367121,0.9347826086956522,0.002510010110576884,"closed, eyelids, shut, sockets, squeeze, vision, fluttered, narrow, bulge, nearly",False,0.3422222222222222
Midnight Clock Glance,245,0.3422222222222222,0.002622642364214457,0.0021851478914659966,0.02324344705367121,0.9891304347826086,0.002569239091229743,"clock, nightstand, ticking, glanced, digital, glance, ticked, midnight, countdown, hour",False,0.3422222222222222
Voyeuristic Secretary,227,0.33555555555555555,0.00031004129591407996,0.0002635783159844235,0.026077477308078682,0.043478260869565216,0.0007790438556112779,"emersona, feels, scuffle, replies, destructive, cra, voyeur, involves, announces, filing",False,0.33555555555555555
Deflecting Blame,150,-0.3333333333333333,0.002243255137742945,0.00244754613294732,0.027086318388295935,1.0,0.0024066599589878564,"industries, fault, dona, anythinga, avaa, aa, shoulda, dramatic, stop, consented",False,0.3333333333333333
Work At Desk,259,-0.3288888888888889,0.0023220830275206402,0.003278232160462857,0.029205409568445008,0.9891304347826086,0.0028276146360679826,"desk, laptop, papers, office, cubicle, stack, screen, paper, chair, seat",False,0.3288888888888889
Freshman Roommate Awakening,338,0.32666666666666666,0.0017549683849051147,0.0015400833006130993,0.030317428813310024,0.9456521739130435,0.0021821830653665068,"freshman, comes, roommate, ey, breasta, earful, doesna, thankfully, offer, shrine",False,0.32666666666666666
Boss's Boss Interaction,60,-0.3244444444444444,0.001250501978704105,0.0014430696141341068,0.03146563257725609,0.7934782608695652,0.0018956035979704946,"bossa, ceos, employee, bosses, board, company, manager, job, hea, youa",False,0.3244444444444444
Clothing Shopping Together,31,0.32222222222222224,0.001629232839106497,0.001412738576123717,0.03265093917842125,0.9891304347826086,0.0015079222795703286,"wea, wear, clothes, outfit, wearing, going, wardrobe, worn, clothing, doing",False,0.32222222222222224
Awkward Questions At Door,139,-0.32222222222222224,0.0036196010975987573,0.005878543096357776,0.03265093917842125,1.0,0.004490991436019417,"asked, asks, doing, replied, whata, demanded, prompted, says, suspiciously, uh",False,0.32222222222222224
