topic_id,label,top_n,top_mean,top_median,top_q1,top_q3,top_std,middle_n,middle_mean,middle_median,middle_q1,middle_q3,middle_std,trash_n,trash_mean,trash_median,trash_q1,trash_q3,trash_std,cliffs_top_trash,cliffs_top_middle,cliffs_middle_trash,kruskal_stat,kruskal_p,mw_top_trash_stat,mw_top_trash_p,mw_top_middle_stat,mw_top_middle_p,mw_middle_trash_stat,mw_middle_trash_p,kruskal_p_adj,mw_top_trash_p_adj,mw_top_middle_p_adj,mw_middle_trash_p_adj,prevalence,mass,concentration_ratio,scene_summary,keywords,label_is_noise,primary_categories,secondary_categories,taxonomy_main_name,taxonomy_main_group,taxonomy_confidence,taxonomy_is_noise,taxonomy_secondary_name,taxonomy_secondary_group,radway_main_name,radway_phase_name,radway_phase,radway_confidence,radway_is_none,middle_relative,abs_cliffs_top_trash,mean_diff_top_trash,direction,tier
67,Married Couple's Affectionate Stares,30,0.0006422805616916329,0.0003722483314933347,0.00034567510054373364,0.0004573023709205264,0.0013906030279353465,32,0.0005522538124951241,0.0003511312660741118,0.00030244315323807707,0.0003810255227920972,0.0009051198095566513,30,0.0018559341189226012,0.0003312425393321226,0.0002794565981526571,0.00036500845896679556,0.008373348457757897,0.4533333333333333,0.2916666666666667,0.15208333333333332,9.316196236559108,0.00948448362519506,654.0,0.0026242800643638355,620.0,0.04941613083185071,553.0,0.30714640203164334,0.40036827546000053,0.17950075640248636,0.6406808084862614,0.9053785491978091,0.043478260869565216,0.0010067235045464237,45.880270834495384,The married couple exchanges affectionate stares and smiles across the wedding aisle.,"ravena, aresa, nods, tenses, looks, hurting, walks, wona, marry, stares",False,"romance_core, physical_affection","setting:wedding_aisle, activity:staring_and_smiling",Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",high,False,,,Hero treats heroine tenderly,Turning Point & Recognition,II,medium,False,0.9432713112194779,0.4533333333333333,0.0012136535572309683,Top ↑,Tier 1
82,Frightened Admissions,30,0.002399532520438522,0.0022944287907610108,0.0019620594635708665,0.0027494459733986925,0.0006229393186009965,32,0.002239259660414291,0.0021807734174871963,0.001967639190050451,0.0026528727465115103,0.0007183400550936344,30,0.0020203695781910364,0.0017861599829477215,0.0014888331205176863,0.0022655589310101414,0.0008076252540597956,0.42,0.09375,0.25416666666666665,7.341535179990672,0.025456921966610233,639.0,0.005322077805144202,525.0,0.530775436380949,602.0,0.0870004043232255,0.40036827546000053,0.2148448349285285,0.8619116718200928,0.9053785491978091,1.0,0.002220145348827653,2.0841412246613644,"She admits her fears and insecurities to him in a quiet, intimate setting.","scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears",False,"romance_core, relationship_conflict","setting:quiet_intimate, activity:admitting_fears",Negative Emotions & Distress,"Emotions, Cognition & Inner Life",high,False,,,Heroine's social identity is destroyed,Initial Conflict & Isolation,I,medium,False,0.9504645911095909,0.42,0.0003791629422474855,Top ↑,Tier 1
321,Emotional Relationship Delusion,30,0.0032446238218749508,0.002532751268374652,0.0020827871435642464,0.003308632128136717,0.002104123928163953,32,0.0023581594703051922,0.0022983550776903127,0.001759314051145076,0.0027988500466820778,0.000936345536268492,30,0.002749492382532787,0.002060938562550247,0.001575425585672649,0.0025630580740911716,0.003670245858751942,0.40444444444444444,0.275,0.13541666666666666,7.658412225338907,0.02172685746177853,632.0,0.00728836046503409,612.0,0.06398327120030892,545.0,0.3635925552629117,0.40036827546000053,0.2148448349285285,0.6406808084862614,0.9053785491978091,0.9782608695652174,0.002774832491108677,7.873646487629123,"She struggles to understand her confusing feelings about their relationship, sitting alone in her room.","cilliana, antidote, maine, evon, unlike, entertainment, spent, footed, entailed, tolerant",False,"romance_core, relationship_conflict","setting:bedroom, activity:reflecting",Negative Emotions & Distress,"Emotions, Cognition & Inner Life",high,False,,,Heroine's social identity is destroyed,Initial Conflict & Isolation,I,medium,False,0.9074538884427653,0.40444444444444444,0.0004951314393421636,Top ↑,Tier 1
66,Bluffing About Feelings,30,0.0009539054954081146,0.0009472742151199184,0.0007858103166573365,0.0010599953172446665,0.0002795196304482013,32,0.0008589355668831239,0.0008549390929057964,0.0007239005145193006,0.0009703831481809181,0.00016392792615159003,30,0.0032889065156324654,0.000803619830299941,0.0006814410388505558,0.0008790469402070788,0.01371619065843972,0.3933333333333333,0.21666666666666667,0.24791666666666667,7.797472533894336,0.020267507988542974,627.0,0.009068760993273545,584.0,0.14487056510290905,599.0,0.09508178122538397,0.40036827546000053,0.2148448349285285,0.6695369360161473,0.9053785491978091,0.20652173913043478,0.0016822858529508408,45.12129456457713,Abbey struggles to understand and express her feelings while interacting with someone.,"didn, couldn, swallowed, glanced, nodded, hadn, giggled, wasn, despite, friend",False,"relationship_conflict, romance_core","setting:conversation, activity:arguing",Negative Emotions & Distress,"Emotions, Cognition & Inner Life",medium,False,,,Heroine responds with anger or coldness,Initial Conflict & Isolation,I,medium,False,0.902525360668696,0.3933333333333333,0.0023350010202243506,Top ↑,Tier 1
310,Feminist Identity Affirmation,30,0.0028391600896212595,0.002584287029115407,0.0022140742724590275,0.003010510926004254,0.001030824109016367,32,0.0025635375870117828,0.0024475379062210006,0.002084507045874875,0.0028578525941167234,0.0006678834413964275,30,0.0022465673549936604,0.002216522204658805,0.0017760163960963797,0.002445501456105989,0.0006170484430991486,0.3711111111111111,0.13125,0.30416666666666664,7.3551864188872855,0.025283754365323905,617.0,0.013831619802975413,543.0,0.37865943609003383,626.0,0.0404133389117554,0.40036827546000053,0.2148448349285285,0.7726698512978618,0.9053785491978091,1.0,0.002550054631769833,2.051354892574699,She asserts her identity and purpose as a woman.,"foremost, tend, feminine, ama, ladies, feminist, conscious, especially, godawful, experience",False,"romance_core, domestic_life","setting:home, activity:affirmation","Beliefs, Values & Moral Reflection","Emotions, Cognition & Inner Life",high,False,,,Heroine's social identity is destroyed,Initial Conflict & Isolation,I,medium,False,0.9470843539969899,0.3711111111111111,0.0005925927346275991,Top ↑,Tier 1
39,Lip Biting During Intimacy,30,0.0027557810555081876,0.0028213029828501037,0.0019484274800905864,0.0032829879055556177,0.0013766682869918111,32,0.0021028664576177476,0.002165284756182451,0.001423718983796977,0.00269190317149474,0.0008201194830386495,30,0.0021160693634340024,0.001837469578099892,0.0010662474105288863,0.002566846437316355,0.0013630806461069223,0.36444444444444446,0.31875,0.08125,7.194097709209871,0.027404477826792128,614.0,0.0156381195256908,633.0,0.03170578066982836,519.0,0.5876068182859993,0.40036827546000053,0.2148448349285285,0.6406808084862614,0.9094638791635928,0.9130434782608695,0.002320078687087322,3.404425874537368,She bites her lower lip as he leans in for a kiss.,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",False,"physical_affection, romance_core","setting:bedroom, activity:kissing",Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",high,False,,,Hero treats heroine tenderly,Turning Point & Recognition,II,medium,False,0.7674768334336707,0.36444444444444446,0.0006397116920741851,Top ↑,Tier 1
55,Dominatrix Session,30,0.007540967602419047,0.005967560533581216,0.005224317353472039,0.007113770869650971,0.00568247103436104,32,0.00879546458987256,0.007367139478540846,0.005250255956654342,0.011304495844315548,0.005043998950159571,30,0.01116024262743979,0.00834068756390838,0.005813065124754003,0.01676357445608476,0.006573467002535386,-0.35333333333333333,-0.17916666666666667,-0.18958333333333333,5.729239714820039,0.05700479696487977,291.0,0.01911239675982854,394.0,0.22845633278246025,389.0,0.202389127548675,0.4061591783747684,0.2148448349285285,0.7075259456841363,0.9053785491978091,1.0,0.009157512758387904,3.1292601559542432,"A dominatrix guides her client through a BDSM session, focusing on her desires and means of gratification.","wants, want, knows, needs, need, hera, needed, teach, ita, likes",False,"sexual_content, domestic_life","setting:bedroom, activity:BDSM, sexual:dominatrix",Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",high,False,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",Heroine responds sexually and emotionally,Commitment & Restoration,III,high,False,0.8832772278980968,0.35333333333333333,0.003619275025020743,Trash ↑,Tier 1
226,Disco Night Adventure,30,0.0041831251068364245,0.0023146961232847823,0.0018919758813129963,0.0028322783958315704,0.01014709804726951,32,0.0019743862436929715,0.0018678119324462479,0.0016078748560288234,0.002260363999994101,0.0005960911925745741,30,0.0019445413896044793,0.0018834620045881283,0.001609474995396244,0.00220259939677498,0.0005267828302775617,0.3511111111111111,0.3416666666666667,0.03333333333333333,7.22276764843383,0.027014437755331133,608.0,0.01988307641391072,644.0,0.021276291973116663,496.0,0.8271708206522327,0.40036827546000053,0.2148448349285285,0.6406808084862614,0.939841929113168,0.9782608695652174,0.0026848951596891543,21.521580772055025,She and her girlfriend dance the night away at a lively disco in Maine.,"hayesa, doesna, wants, copying, imperial, disco, infinity, pottery, scandalous, doga",False,"romance_core, social_setting","setting:disco, activity:dancing","Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),high,False,Friends & Social Circles,Social World Outside Couple,Hero treats heroine tenderly,Turning Point & Recognition,II,medium,False,0.8069360953964138,0.3511111111111111,0.0022385837172319454,Top ↑,Tier 1
250,Protective Conversations By Firelight,30,0.00447957098321608,0.0036411495932770427,0.0030106287635180665,0.004252421010511957,0.0033394909392948048,32,0.005606833678191207,0.004356478662877871,0.0028993950432247865,0.007664456976203944,0.0035294316500640677,30,0.007171181554693953,0.005375469461238087,0.0035691241572310037,0.011669516748971242,0.004546206805753652,-0.3488888888888889,-0.22083333333333333,-0.18125,6.032886278634919,0.048975106561589654,293.0,0.020680749139978086,374.0,0.1372624848715352,393.0,0.22306033810705406,0.40036827546000053,0.2148448349285285,0.6695369360161473,0.9053785491978091,1.0,0.0057493614547763,3.062443832594416,"She loved him, their conversations bolder and headstrong, as he protectively pampered her by the firelight.","loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",False,"romance_core, relationship_conflict","setting:fireplace, activity:conversation","Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),high,False,Body Parts & Physical Reactions,Embodied & Sensory Experience,Heroine responds warmly to hero's tenderness,Turning Point & Recognition,II,low,False,0.8104368582592216,0.3488888888888889,0.0026916105714778725,Trash ↑,Tier 2
36,Kneeling For Intimacy,30,0.0038725478567450565,0.0035237677005956203,0.002579843917340949,0.004503146977457555,0.002165858232116171,32,0.0028532347532271318,0.002962141949897061,0.0020399801794927504,0.0035435006690998708,0.0012477509069448224,30,0.0029429695417418143,0.0022803329761045986,0.0014057164254521427,0.0038420173423971103,0.0021542959026703548,0.3422222222222222,0.27708333333333335,0.0375,5.813531439925157,0.054652204865773345,604.0,0.02324344705367121,613.0,0.061987895944927374,498.0,0.8052926314065638,0.40036827546000053,0.2148448349285285,0.6406808084862614,0.939841929113168,0.9456521739130435,0.0032148808049768953,3.642951884853516,"She kneels in front of him, her hands on his knees, looking up at him.","knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides",False,"physical_affection, romance_core","setting:bedroom, activity:kneeling",Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",high,False,,,Hero treats heroine tenderly,Turning Point & Recognition,II,medium,False,0.8406178038735617,0.3422222222222222,0.0009295783150032422,Top ↑,Tier 2
