label,topic_id,top_median,top_mean,trash_median,cliffs_top_trash,prevalence,mass,keywords,label_is_noise
Relationship Ambiguity Conversation,7,0.01693662833890093,0.018199597726686795,0.016796051628550746,0.08444444444444445,1.0,0.017151843531055585,"didn, won, therea, doesn, aren, thata, isn, mattered, shouldn, problem",False
Work-related Presentation,223,0.013236317792127996,0.013104740178098333,0.012798949717516942,0.07555555555555556,1.0,0.013097007483136427,"wea, work, need, talked, presentation, whatevera, talk, discuss, adults, handle",False
Shoulder Burden,349,0.01146641394390972,0.011426706061613503,0.011749279101080395,-0.07111111111111111,1.0,0.011327450508239734,"shoulders, raise, hunch, slump, square, straighten, weight, roll, dignity, bunch",False
Emotional Delusion Conversation,320,0.010624297899464008,0.010498097928749036,0.010527993597484589,0.02666666666666667,1.0,0.010395936860000978,"feelsa, feela, better, feels, felta, feeling, soa, makes, felt, queasy",False
Wine Tasting At Dinner,11,0.010608681849747668,0.01117600591326533,0.013390683745302192,-0.21777777777777776,1.0,0.012778645127261944,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",False
Optimistic Reassurance,192,0.009893602310143777,0.010060820388496518,0.009814084824124417,0.008888888888888889,1.0,0.009910254129777453,"everythinga, ita, perfectly, suited, going, sashimi, fixable, totally, shhhh, sod",False
Indoor Pool Swimming,351,0.009039426974387595,0.009223209637722642,0.008365788443959896,0.20222222222222222,1.0,0.009074194602721217,"pool, swimming, swim, scum, gene, float, swimmer, cabana, jell, indoor",False
Pride In Accomplishments,85,0.008813069923014817,0.008763744030091166,0.00905829497519696,-0.19555555555555557,1.0,0.00909358073757475,"did, tried, thought, try, trya, course, dida, really, wona, hoped",False
Morning Routine Struggles,288,0.00875725279419267,0.008700993711574807,0.008321413205636315,0.08444444444444445,1.0,0.00882410263084243,"mornings, early, morninga, omg, righta, routine, noon, overnight, oj, tomorrow",False
Clitoral Stimulation During Foreplay,2,0.008465022952462571,0.011839361457589905,0.005969532977335374,0.19666666666666666,0.9891304347826086,0.01037519956433541,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",False
Wine-drinking At Table,6,0.007839914693592881,0.008890299449731656,0.00657196562490864,0.2311111111111111,1.0,0.008501626730414038,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",False
Epic Love Confessions,108,0.007448539899155894,0.00750030998630219,0.0070839706574648935,0.17777777777777778,1.0,0.007319283142732392,"loved, fall, falling, believe, consuming, isna, true, fickle, kind, loves",False
Knocking On Door,10,0.007377220227976296,0.00809760398062803,0.005933168145390219,0.26,1.0,0.007381748736440695,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",False
Apologetic Excuse Me,65,0.006844534687682803,0.006846177047125209,0.006843019489277992,0.06,1.0,0.006854003797770903,"excuse, aye, alright, look, ew, excellent, bye, called, lottiea, buta",False
Puzzled Decision Making,77,0.0067712674114258015,0.0070955416322193736,0.006207270253988765,0.14888888888888888,1.0,0.006660329123787672,"asks, asked, replies, whata, doing, says, answered, demanded, howa, tone",False
Relaxing Moment,360,0.00663026337109945,0.006614955910995817,0.005768453518727836,0.24888888888888888,0.9891304347826086,0.006113079327140518,"relax, rest, relaxing, relaxed, enjoy, relaxation, relaxes, abysmally, averse, awash",False
Color Scheme Discussion,307,0.006599379902598109,0.006711805352051985,0.0068714019450403264,-0.022222222222222223,1.0,0.006605303321357596,"colors, favorite, yellow, scheme, bright, ones, shade, primary, packets, burgundy",False
Stubble And Tousled Hair,312,0.0063425026010219075,0.006506461214736406,0.004530508225569918,0.22444444444444445,1.0,0.006022421712233266,"hair, stubble, shaved, forehead, tousled, shaven, shave, mussed, scruff, shadow",False
Schoolyard Argument,264,0.0063133956097160045,0.0063393715779137385,0.00514776309056824,0.28444444444444444,1.0,0.0064371121789374396,"lilliea, rubya, daughtera, holds, daughter, squeeze, starts, dumpling, eleanora, school",False
Bedroom Intimacy,171,0.0062669587535143425,0.006267920203656069,0.005381183663333245,0.22444444444444445,1.0,0.005961702085949749,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls",False
Hatred-fueled Argument,202,0.006146903287954413,0.00624294615538727,0.0065628729346026956,-0.19555555555555557,1.0,0.006507619125878023,"hated, hate, hates, despised, disliked, hating, represented, despise, history, hatred",False
Reunion After Argument,341,0.0059839101829983945,0.006290255308304903,0.006021025509875153,-0.10666666666666667,1.0,0.0064809268069591355,"leaving, mirandaa, disrespectful, hadna, replacement, coolly, reunion, bogged, realizations, supplication",False
Belief Discussion,249,0.00596883348386833,0.006206712516578944,0.0057175680530993835,0.21333333333333335,1.0,0.005902872868026815,"believe, admit, cana, expect, macka, validity, scotcha, ehh, prophecy, laminate",False
Dominatrix Session,55,0.005967560533581216,0.007540967602419047,0.00834068756390838,-0.35333333333333333,1.0,0.009157512758387904,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",False
Sisters Reflecting On Childhood,350,0.005952181395022149,0.006543283380007936,0.004934146463309055,0.2822222222222222,1.0,0.005643969915660499,"didn, wasn, won, sell, childhood, months, guarded, defensive, sister, problemsa",False
Firm Rejections,345,0.005855999567477038,0.00613147882971757,0.0060008556807020375,0.02,1.0,0.006084875910374741,"dona, coy, daft, tramp, start, naa, pffft, dreamsa, downplay, maserati",False
Reluctant Relationship Choices,114,0.005586791813109067,0.005645817704295623,0.005116158670159099,0.13333333333333333,1.0,0.006044193881214496,"taga, asked, drewa, wasna, replied, enthralled, hadna, kadea, choices, deter",False
Marriage Ceremony Planning,9,0.00555339634706711,0.007271303054554452,0.0033044065886716273,0.30666666666666664,1.0,0.006370255526216299,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",False
Dinner Invitation,3,0.0054927824812854055,0.00670426637857178,0.005065004940564338,0.14888888888888888,1.0,0.006305177725580332,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",False
Phone Ringing And Answering,54,0.005348134339426266,0.005477717149654064,0.007443333432446549,-0.30444444444444446,1.0,0.006382618539640388,"rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings",False
Fascinated Gaze,229,0.00525557958176383,0.0055966619880833115,0.006826619889702729,-0.26222222222222225,0.967391304347826,0.006078669744995049,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed",False
Threatening Affair Disclosure,333,0.005149429776504089,0.005878033097585259,0.0052758142835679185,-0.07555555555555556,1.0,0.005414206504050107,"marca, weapons, compare, threats, sworn, cubicle, hadn, york, affair, conscious",False
Hair Tugging During game,102,0.005087209349106225,0.004958592364354207,0.0038596654544973707,0.24222222222222223,1.0,0.004537470877934967,"hair, strands, brushes, grip, strand, handful, hand, runs, threads, gently",False
Yearlong Relationship Reflection,311,0.004880256412054763,0.004881122674060907,0.004256866721060016,0.20666666666666667,1.0,0.004629805454641309,"wea, shared, downs, cycle, yearlong, created, worked, years, squared, accidentally",False
Intimate Breast And Nipple Kissing,1,0.004661473482271421,0.011615371555092884,0.006031124949313769,-0.3,1.0,0.01984039195187068,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",False
Mid-flight Makeout,125,0.004524930327344169,0.004577188450562263,0.004216605232194023,0.23777777777777778,1.0,0.004466456778191646,"flight, plane, jet, airport, helicopter, pilot, runway, flying, fly, jfk",False
Playful Smiling Interactions,14,0.004374878754212822,0.005072611946057814,0.0037543033305802035,0.2111111111111111,1.0,0.004899910028333389,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",False
Privacy Concerns Conversation,367,0.004344375622484891,0.004577714908058454,0.00398385351155086,0.18444444444444444,1.0,0.004284599095672861,"privacy, safer, protected, protect, invasion, protection, safety, safea, duty, secure",False
Whispered Love Confessions,96,0.004234823011774086,0.004473408324796645,0.005572720913941731,-0.2088888888888889,0.9891304347826086,0.004991757816379555,"whispers, whispered, whisper, softly, breaking, ear, plea, murmured, soft, someday",False
Desperate Harem Offer,208,0.0042308501172793455,0.00416930876673291,0.004058907662224156,-0.04888888888888889,1.0,0.004255129828317674,"wants, wanted, want, badly, astonishingly, desperate, bluest, harem, alwaysa, empowering",False
Adrenaline-fueled game,19,0.004164492188962193,0.004929603308967283,0.0034223159868639794,0.27555555555555555,0.967391304347826,0.004280917501631045,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",False
Breast And Nipple Play,133,0.00413813863334751,0.004466025579396516,0.003736798209659424,0.21944444444444444,0.9945652173913043,0.004227769112925997,"nipple, nipples, breasts, breast, cups, pinches, sucking, thumbs, tongue, thumb",False
Breast And Nipple Foreplay,162,0.004113566732211887,0.004186445376625081,0.004877919438521247,-0.17333333333333334,0.9891304347826086,0.004361032269378727,"skirt, dress, breasts, nipples, curves, fabric, wore, panties, lace, blouse",False
