Topic ID,Label,Top Median,Trash Median,Cliff's δ,Mass,Prevalence,Author Dominant?
82,Frightened Admissions,0.0023,0.0018,0.42,0.0022,1.0,
321,Emotional Relationship Delusion,0.0025,0.0021,0.404,0.0028,0.9783,
66,Bluffing About Feelings,0.0009,0.0008,0.393,0.0017,0.2065,
197,Breakup Reflection,0.0004,0.0003,0.389,0.0006,0.0326,
176,Emotional Throat Tightness,0.0019,0.0014,0.353,0.0018,0.913,
239,Tearful Emotional Moment,0.002,0.0016,0.353,0.002,0.9565,
339,Prolonged Waiting,0.0017,0.0014,0.349,0.0016,0.8478,
69,Painful Emotional Burden,0.0021,0.0017,0.316,0.0019,0.9891,
160,Emotional Panic Attack,0.0033,0.0048,-0.264,0.0043,0.9891,
254,Regretful Mistake Admission,0.0022,0.0019,0.258,0.0021,0.9891,
41,Confused About Feelings,0.002,0.0018,0.24,0.0019,1.0,
270,Tearful Sobbing,0.0021,0.0017,0.24,0.0019,0.9565,
325,Owl Observation,0.0009,0.0008,0.238,0.0009,0.413,
165,Emotional Voice Cracks,0.0017,0.0015,0.236,0.0017,0.8043,
216,Death And Suicide Conversations,0.0036,0.0033,0.229,0.0036,1.0,
