taxonomy_main_group,taxonomy_main_name,n_books,top_median,top_mean,middle_median,middle_mean,trash_median,trash_mean,kruskal_stat,kruskal_p,epsilon_squared,top_vs_trash_delta,top_vs_trash_p,kruskal_p_adj_family,top_vs_trash_p_adj_family
"Conflict, Risk & Harm",Interpersonal Non-Romantic Conflict,92,0.14991831235576836,0.15506478291875372,0.1335154144992612,0.13814418980999207,0.13172616136394621,0.13113499201258888,4.68506019167836,0.09608422812909723,0.03016921563683551,0.29555555555555557,0.050120239262001376,0.19216845625819445,0.10024047852400275
"Conflict, Risk & Harm","Violence, Threats & Coercion",92,0.8500816876442316,0.8449352170812463,0.8664845855007388,0.861855810190008,0.8682738386360538,0.8688650079874111,4.68506019167836,0.09608422812909723,0.03016921563683551,-0.29555555555555557,0.050120239262001376,0.19216845625819445,0.10024047852400275
Embodied & Sensory Experience,Body Parts & Physical Reactions,92,0.4183749564053071,0.41482469681405987,0.3983570173382801,0.39761375450385406,0.38746217517694603,0.40030546364631386,0.6814370032725492,0.7112590983008523,-0.014815314569971358,0.09111111111111111,0.5493267842679926,1.0,1.0
Embodied & Sensory Experience,Exercise & Physical Activity,92,0.5816250435946929,0.5851753031859401,0.6016429826617198,0.602386245496146,0.612537824823054,0.5996945363536861,0.6814370032725492,0.7112590983008523,-0.014815314569971358,-0.09111111111111111,0.5493267842679926,1.0,1.0
"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,92,0.04841145560085505,0.05056300048228869,0.04812950082389314,0.05010896107728123,0.04873657126043519,0.05372752600103465,0.8045698924731255,0.6687901493006809,-0.013431798960976118,0.13111111111111112,0.38709977767912396,0.6687901493006809,0.38709977767912396
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",92,0.13292406129694773,0.13426528805530064,0.12411472021799536,0.12244861060838051,0.11940071710567672,0.1161977972134606,10.674509116409524,0.004809055585060452,0.09746639456639915,0.46444444444444444,0.0020523338723804135,0.019236222340241808,0.008209335489521654
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,92,0.5582666853308618,0.5727612245012376,0.5731087588568088,0.5893181788714501,0.5832334816844797,0.6041793109225335,6.2820681393174596,0.04323806360708527,0.04811312516087033,-0.3688888888888889,0.014412183349875863,0.12971419082125582,0.04323655004962759
"Emotions, Cognition & Inner Life",Positive Emotions & Security,92,0.24787243329303565,0.24241048696117307,0.24283696946568983,0.23812424944288813,0.22987982395831996,0.22589536586297138,4.64483403459559,0.09803634347270429,0.029717236343770673,0.31555555555555553,0.036438855913451085,0.19607268694540858,0.07287771182690217
Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",92,0.44030489753078633,0.4411390568551603,0.4489927471732038,0.45596225412828295,0.4389285964200078,0.44124868660366706,2.045991117344556,0.35951637313481755,0.0005167541274669234,-0.022222222222222223,0.8883028421533887,1.0,1.0
Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",92,0.35939275675397964,0.3551949739721413,0.3476907162055656,0.34299426892123214,0.3553933492222159,0.35479317999168314,3.1303617344553913,0.20905019942373296,0.012700693645566195,-0.03333333333333333,0.8302552839111963,1.0,1.0
Relationship Trajectory (Main Couple),"Meeting, First Impressions & Setup",92,0.000697368208383979,0.001699747599420175,0.0006406134396833886,0.004251139462047991,0.0006051990818686226,0.0006479777093459587,2.9594874941561784,0.2276960286812147,0.010780758361305376,0.24888888888888888,0.09925760823982568,1.0,0.4962880411991284
