taxonomy_main_group,taxonomy_main_name,topic_id,label,cliffs_top_trash,abs_cliffs_top_trash,top_median,trash_median,prevalence,mass,author_dominance_flag,keywords,scene_summary
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",310,Feminist Identity Affirmation,0.3711111111111111,0.3711111111111111,0.0025842870291154,0.0022165222046588,1.0,0.0025500546317698,,"foremost, tend, feminine, ama, ladies, feminist, conscious, especially, godawful, experience",She asserts her identity and purpose as a woman.
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",350,Sisters Reflecting On Childhood,0.2822222222222222,0.2822222222222222,0.0059521813950221,0.004934146463309,1.0,0.0056439699156604,,"didn, wasn, won, sell, childhood, months, guarded, defensive, sister, problemsa","The sisters sit together, reflecting on their shared childhood experiences and its lasting impact on their lives."
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",249,Belief Discussion,0.2133333333333333,0.2133333333333333,0.0059688334838683,0.0057175680530993,1.0,0.0059028728680268,,"believe, admit, cana, expect, macka, validity, scotcha, ehh, prophecy, laminate",The couple discusses their beliefs in the garage.
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",311,Yearlong Relationship Reflection,0.2066666666666666,0.2066666666666666,0.0048802564120547,0.00425686672106,1.0,0.0046298054546413,,"wea, shared, downs, cycle, yearlong, created, worked, years, squared, accidentally","The couple, sitting at a table, reflects on their thousands of times together over the yearlong cycle of their relationship."
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",314,Moral Dilemma Discussion,0.0866666666666666,0.0866666666666666,0.0040196804531643,0.0040981878776486,1.0,0.0038374815971426,,"thing, proves, exactly, thinga, telegraphing, humane, accurately, percent, accept, winner","The couple sits around the table, discussing a moral dilemma."
"Emotions, Cognition & Inner Life","Beliefs, Values & Moral Reflection",219,Human Nature Reflection,-0.0733333333333333,0.0733333333333333,0.0011403768279019,0.0012323051693347,0.6739130434782609,0.0012792596826892,,"assignment, humans, course, actuality, picturea, enviable, did, par, fixture, represented",She contemplates the complexities of human nature.
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,82,Frightened Admissions,0.42,0.42,0.002294428790761,0.0017861599829477,1.0,0.0022201453488276,,"scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears","She admits her fears and insecurities to him in a quiet, intimate setting."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,321,Emotional Relationship Delusion,0.4044444444444444,0.4044444444444444,0.0025327512683746,0.0020609385625502,0.9782608695652174,0.0027748324911086,,"cilliana, antidote, maine, evon, unlike, entertainment, spent, footed, entailed, tolerant","She struggles to understand her confusing feelings about their relationship, sitting alone in her room."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,66,Bluffing About Feelings,0.3933333333333333,0.3933333333333333,0.0009472742151199,0.0008036198302999,0.2065217391304347,0.0016822858529508,,"didn, couldn, swallowed, glanced, nodded, hadn, giggled, wasn, despite, friend",Abbey struggles to understand and express her feelings while interacting with someone.
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,197,Breakup Reflection,0.3888888888888889,0.3888888888888889,0.0003509556433692,0.0003241611295645,0.0326086956521739,0.0006394324544554,,"breakera, asks, closure, margaritas, refer, rule, joins, numbers, says, uh","She sits alone, margarita in hand, reflecting on their breakup and the decade they spent together."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,176,Emotional Throat Tightness,0.3533333333333333,0.3533333333333333,0.0018812724213161,0.0014229183021942,0.9130434782608696,0.0018167315229093,,"throat, lump, clear, dries, swallowed, bile, tight, knot, clogged, cough","She struggles to hold back tears, feeling a lump in her throat as she tries to express her emotions."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,239,Tearful Emotional Moment,0.3533333333333333,0.3533333333333333,0.0019999117351718,0.0015761059646648,0.9565217391304348,0.0019581988569738,,"tears, prick, wipe, blink, cheeks, tear, leak, sting, stung, welled","She struggles to hold back tears, her eyes welling up as she grapples with her emotions."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,339,Prolonged Waiting,0.3488888888888889,0.3488888888888889,0.0017282604130071,0.00137464685904,0.8478260869565217,0.0016315826624129,,"wait, waiting, ipo, cowering, waits, pumps, elections, stand, beat, dissipate","She waits patiently, her mind racing with anticipation."
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,69,Painful Emotional Burden,0.3155555555555555,0.3155555555555555,0.0021120266633355,0.0017116162949176,0.9891304347826086,0.0019075133203689,,"hurts, guilt, painful, hurting, experiencing, painkillers, guilty, injury, agony, inflict",She struggles with the emotional pain and guilt that weigh heavily on her heart.
"Emotions, Cognition & Inner Life",Negative Emotions & Distress,160,Emotional Panic Attack,-0.2644444444444444,0.2644444444444444,0.0032759762187872,0.0047839271478492,0.9891304347826086,0.0043124536357521,,"gasped, tears, panic, cheeks, stomach, tear, hips, winced, wiped, belly","She gasps repeatedly, tears streaming down her cheeks, as panic surges through her body."
