composite_key,composite_name,measure_type,dimensionality,recommended_score,final_n,book_coverage_frac,omega_total,stability_boot_to_full
R2_alpha_guarding,R2) Alpha Guarding,COMPOSITE,UNIDIMENSIONAL,sum,6,1.0,0.6977378385543255,0.7790696785005625
Q_repair,Q) Repair & Reconciliation,COMPOSITE,UNIDIMENSIONAL,sum,7,1.0,0.7023651043907009,0.7760262203407714
M_health_recovery_growth,M) Health / Recovery / Growth,COMPOSITE,UNIDIMENSIONAL,sum,8,1.0,0.5649149977837762,0.6033057193819643
I_humor_lightness,I) Humor / Lightness,COMPOSITE,UNIDIMENSIONAL,sum,9,1.0,0.6766179748355019,0.7332738900661966
Q_miscommunication,Q) Miscommunication & Conflict,COMPOSITE,UNIDIMENSIONAL,sum,9,1.0,0.651777387804509,0.6738497660773798
A2_emotional_safety,A2) Emotional Safety & Reassurance,COMPOSITE,MULTIDIMENSIONAL,pc1,12,1.0,0.7773817857208525,0.8512503437288145
L_vices_addictions,L) Vices / Addictions,COMPOSITE,UNIDIMENSIONAL,sum,14,1.0,0.7657865943651153,0.6475800337870428
K_professional_intrusion,K) Professional Intrusion,COMPOSITE,UNIDIMENSIONAL,sum,16,1.0,0.7589682729051368,0.7945212985377773
C_explicit_eroticism,C) Explicit Eroticism,COMPOSITE,UNIDIMENSIONAL,sum,19,1.0,0.8725589303659791,0.5991195956152687
S_scene_anchors,S) Scene Anchors (Setting-Rich),COMPOSITE,UNIDIMENSIONAL,sum,24,1.0,0.8749043755340759,0.7956704773343436
J_social_support_kin,J) Social Support / Kin,COMPOSITE,UNIDIMENSIONAL,sum,26,1.0,0.7882665031945519,0.6993891467639713
B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,COMPOSITE,UNIDIMENSIONAL,sum,29,1.0,0.9053114504846459,0.8613952673747204
D_power_wealth_luxury,D) Power / Wealth / Luxury,COMPOSITE,MULTIDIMENSIONAL,pc1,30,1.0,0.7488146351005869,0.7047184539922077
F2_anger_frustration,F2) Anger & Frustration,COMPOSITE,UNIDIMENSIONAL,sum,31,1.0,0.8653208040962264,0.5267386263743952
F3_anxiety_worry,F3) Anxiety & Worry,COMPOSITE,UNIDIMENSIONAL,sum,36,1.0,0.8534126106912518,0.4865922623771584
R1_protective_caretaking,R1) Protective Caretaking,COMPOSITE,UNIDIMENSIONAL,sum,75,1.0,0.9165733039179542,0.6693312976784176
H_domestic_nesting,H) Domestic Nesting (Home-as-Refuge),COMPOSITE,MULTIDIMENSIONAL,pc1,88,1.0,0.9251513681035245,0.6733032421464751
