outcome,predictor,pearson_r,spearman_r,n
avg_rating,R1_protective_caretaking,0.22627013674411556,0.25221629239501464,92
avg_rating,D_power_wealth_luxury__pc1,0.22416156030643467,0.23661369517612874,92
avg_rating,A2_emotional_safety__pc1,0.2642543542327612,0.23090918828780088,92
avg_rating,R2_alpha_guarding,0.24081971907009825,0.2124235024523817,92
avg_rating,I_humor_lightness,0.07762665372718149,0.1131727913885693,92
avg_rating,B1_attraction_chemistry,-0.006941262764312924,0.07886866212767879,92
avg_rating,Q_miscommunication,-0.053249685680137306,0.06484636749272155,92
avg_rating,Q_repair,0.10420326735200805,0.03736452011854747,92
avg_rating,K_professional_intrusion,-0.09429192131985707,-0.027011610995541644,92
avg_rating,S_scene_anchors,-0.05668084905793839,-0.04825704475801675,92
avg_rating,J_social_support_kin,-0.07171094579404248,-0.06643437886974254,92
avg_rating,L_vices_addictions,-0.15231685659735816,-0.10348283847150427,92
avg_rating,M_health_recovery_growth,0.026816085874267627,-0.11049784018552908,92
avg_rating,F3_anxiety_worry,-0.13111992980018086,-0.11585545138470185,92
avg_rating,F2_anger_frustration,-0.202913664879358,-0.2013305491925117,92
avg_rating,H_domestic_nesting__pc1,-0.2274107268419824,-0.22790275898179027,92
avg_rating,C_explicit_eroticism,-0.2704165263292576,-0.29648789112429424,92
log_n_ratings,D_power_wealth_luxury__pc1,0.35426601862745416,0.4818057118197371,92
log_n_ratings,R2_alpha_guarding,0.44007359816661423,0.34546799623938473,92
log_n_ratings,J_social_support_kin,0.1803772132943642,0.31911286469491235,92
log_n_ratings,Q_miscommunication,0.08976804183736996,0.30590447420741945,92
log_n_ratings,A2_emotional_safety__pc1,0.32720184888462744,0.27723748901869516,92
log_n_ratings,Q_repair,0.23582736396243914,0.2016552872092844,92
log_n_ratings,R1_protective_caretaking,0.007193219316472941,0.10696176194072406,92
log_n_ratings,K_professional_intrusion,0.03877342810394315,0.10415671285236501,92
log_n_ratings,B1_attraction_chemistry,0.004341439872581394,0.02484472049689441,92
log_n_ratings,S_scene_anchors,-0.0031293452792129305,-0.00613411833608187,92
log_n_ratings,F3_anxiety_worry,-0.015235159313408934,-0.016414160874188923,92
log_n_ratings,L_vices_addictions,-0.13217705152222098,-0.0579196399673258,92
log_n_ratings,I_humor_lightness,0.04715755165136184,-0.058952267928425006,92
log_n_ratings,M_health_recovery_growth,0.04205541813203193,-0.11411309588027681,92
log_n_ratings,F2_anger_frustration,-0.10984248123049938,-0.13155988471556493,92
log_n_ratings,H_domestic_nesting__pc1,-0.22108188970208542,-0.17224850885439946,92
log_n_ratings,C_explicit_eroticism,-0.29591601265347406,-0.3679238013038854,92
