feature,coef_std,abs_coef,outcome,n,alpha
R2_alpha_guarding,0.21501703254991822,0.21501703254991822,log_rating_count,92,158.48931924611142
D_power_wealth_luxury__pc1,0.13885514756051126,0.13885514756051126,log_rating_count,92,158.48931924611142
Q_repair,0.12711976049378007,0.12711976049378007,log_rating_count,92,158.48931924611142
J_social_support_kin,0.11421253066370773,0.11421253066370773,log_rating_count,92,158.48931924611142
A2_emotional_safety__pc1,0.10942903544624417,0.10942903544624417,log_rating_count,92,158.48931924611142
C_explicit_eroticism,-0.08399635377985482,0.08399635377985482,log_rating_count,92,158.48931924611142
M_health_recovery_growth,0.06711861325977363,0.06711861325977363,log_rating_count,92,158.48931924611142
L_vices_addictions,-0.06387810591696116,0.06387810591696116,log_rating_count,92,158.48931924611142
H_domestic_nesting__pc1,-0.06301640911686289,0.06301640911686289,log_rating_count,92,158.48931924611142
Q_miscommunication,0.040383706574543834,0.040383706574543834,log_rating_count,92,158.48931924611142
I_humor_lightness,0.03791410126601176,0.03791410126601176,log_rating_count,92,158.48931924611142
R1_protective_caretaking,-0.03421922380305603,0.03421922380305603,log_rating_count,92,158.48931924611142
S_scene_anchors,0.03367224907153603,0.03367224907153603,log_rating_count,92,158.48931924611142
F2_anger_frustration,-0.03354899006676623,0.03354899006676623,log_rating_count,92,158.48931924611142
K_professional_intrusion,-0.03083094187046872,0.03083094187046872,log_rating_count,92,158.48931924611142
F3_anxiety_worry,0.023188968252247463,0.023188968252247463,log_rating_count,92,158.48931924611142
B1_attraction_chemistry,0.016988955719389763,0.016988955719389763,log_rating_count,92,158.48931924611142
