feature,coef_std,abs_coef,outcome,n,alpha
log_rating_count,0.032044174309222566,0.032044174309222566,rating_mean,92,100.0
K_professional_intrusion,-0.018236893368846603,0.018236893368846603,rating_mean,92,100.0
R1_protective_caretaking,0.014492000647893669,0.014492000647893669,rating_mean,92,100.0
L_vices_addictions,-0.01161832339351303,0.01161832339351303,rating_mean,92,100.0
C_explicit_eroticism,-0.0104510067489708,0.0104510067489708,rating_mean,92,100.0
J_social_support_kin,-0.00968349422842903,0.00968349422842903,rating_mean,92,100.0
F2_anger_frustration,-0.009494767257309876,0.009494767257309876,rating_mean,92,100.0
A2_emotional_safety__pc1,0.008683084730369573,0.008683084730369573,rating_mean,92,100.0
H_domestic_nesting__pc1,-0.008482253772584485,0.008482253772584485,rating_mean,92,100.0
R2_alpha_guarding,0.007381878019125639,0.007381878019125639,rating_mean,92,100.0
D_power_wealth_luxury__pc1,0.006407864128305195,0.006407864128305195,rating_mean,92,100.0
Q_repair,0.005173084742072462,0.005173084742072462,rating_mean,92,100.0
M_health_recovery_growth,0.004805429602672353,0.004805429602672353,rating_mean,92,100.0
F3_anxiety_worry,-0.003605059772307748,0.003605059772307748,rating_mean,92,100.0
Q_miscommunication,-0.00353479632742638,0.00353479632742638,rating_mean,92,100.0
I_humor_lightness,0.0030393738984767593,0.0030393738984767593,rating_mean,92,100.0
S_scene_anchors,-0.0025738530264162547,0.0025738530264162547,rating_mean,92,100.0
B1_attraction_chemistry,-0.0021355422857570854,0.0021355422857570854,rating_mean,92,100.0
