category_id,groups,n_books_per_group,H_statistic,p_value,eta_squared,total_n,category_name,category_group,significant
5.3,"['bad', 'good', 'mid']","[20, 27, 29]",7.0792947625070894,0.02902355952919356,0.0695793803083163,76,"Community, Norms & Social Events",Social World Outside Couple,True
6.2,"['bad', 'good', 'mid']","[23, 22, 30]",6.101120033284786,0.04733241003025067,0.0569600004622887,75,Heroine's Work & Professional Identity,"Work, Wealth, Status & Institutions",True
3.4,"['bad', 'good', 'mid']","[29, 28, 31]",6.064229094635834,0.048213580364065964,0.04781445993689217,88,"Beliefs, Values & Moral Reflection","Emotions, Cognition & Inner Life",True
6.5,"['bad', 'good', 'mid']","[20, 20, 24]",5.759110576923092,0.05615973216253714,0.06162476355611626,64,"Law, Medicine, Education & Formal Institutions","Work, Wealth, Status & Institutions",False
4.2,"['bad', 'good', 'mid']","[30, 30, 32]",5.326247662459082,0.06973005623863975,0.03737356924111328,92,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),False
2.3,"['bad', 'good', 'mid']","[30, 30, 32]",5.185597826086905,0.07481035909292931,0.03579323400097646,92,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",False
4.4,"['bad', 'good', 'mid']","[30, 30, 32]",3.82379324450676,0.14779980020626116,0.020492058927042246,92,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),False
3.2,"['bad', 'good', 'mid']","[30, 30, 32]",3.646841397849471,0.16147245648825584,0.018503835930892932,92,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",False
4.5,"['bad', 'good', 'mid']","[30, 30, 32]",3.1065188172042895,0.2115572971652545,0.0124327956989246,92,"Reconciliation, Commitments & HEA",Relationship Trajectory (Main Couple),False
6.1,"['bad', 'good', 'mid']","[30, 30, 32]",2.5588563581112567,0.2781963334697813,0.00627928492259839,92,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",False
4.3,"['bad', 'good', 'mid']","[30, 30, 32]",2.4401326554464617,0.2952105856286116,0.0049453107353535026,92,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),False
2.2,"['bad', 'good', 'mid']","[30, 30, 32]",2.4312967508181487,0.29651769717073506,0.004846030908069086,92,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",False
8.1,"['bad', 'good', 'mid']","[30, 30, 32]",2.0477710107373666,0.3591965650534228,0.0005367529296333322,92,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",False
1.1,"['bad', 'good', 'mid']","[24, 25, 28]",2.010909090909081,0.36587828868790573,0.00014742014742001334,77,Body Parts & Physical Reactions,Embodied & Sensory Experience,False
7.1,"['bad', 'good', 'mid']","[14, 21, 21]",1.5656999641961988,0.45710142229004425,-0.008194340298184928,56,Interpersonal Non-Romantic Conflict,"Conflict, Risk & Harm",False
5.2,"['bad', 'good', 'mid']","[30, 30, 32]",1.4992958158017586,0.4725328985549285,-0.0056258897100925995,92,Friends & Social Circles,Social World Outside Couple,False
8.2,"['bad', 'good', 'mid']","[30, 30, 32]",1.162502921926091,0.5591981138772163,-0.009410079528920326,92,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",False
3.3,"['bad', 'good', 'mid']","[25, 28, 30]",1.1044086550283225,0.5756794247266066,-0.011194891812145969,83,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",False
noise,"['bad', 'good', 'mid']","[21, 20, 25]",1.032178070685518,0.596850249542041,-0.01536225284626162,66,Noise / Technical / Paratext,Special,False
6.4,"['bad', 'good', 'mid']","[24, 24, 23]",0.7581436687759435,0.6844964405173004,-0.018262593106236125,71,"Money, Housing & Economic Security","Work, Wealth, Status & Institutions",False
2.1,"['bad', 'good', 'mid']","[30, 30, 32]",0.7372574801308929,0.6916821566597824,-0.014188118200776485,92,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",False
1.5,"['bad', 'good', 'mid']","[14, 22, 20]",0.4816027302954129,0.7859977374277627,-0.02864900508876579,56,Exercise & Physical Activity,Embodied & Sensory Experience,False
6.3,"['bad', 'good', 'mid']","[15, 22, 21]",0.46971695750187337,0.7906827401201023,-0.027823328045420485,58,Shared Workplaces & Professional Interaction,"Work, Wealth, Status & Institutions",False
3.1,"['bad', 'good', 'mid']","[30, 30, 32]",0.4377483637213686,0.8034227969561165,-0.017553389171670014,92,Positive Emotions & Security,"Emotions, Cognition & Inner Life",False
5.1,"['bad', 'good', 'mid']","[29, 30, 32]",0.435163496548455,0.8044618388647247,-0.017782232993767556,91,Family & Kinship,Social World Outside Couple,False
8.4,"['bad', 'good', 'mid']","[17, 20, 26]",0.43091063348416014,0.8061742919471437,-0.026151489441930666,63,"Time, Seasons & Temporal Framing","Spaces, Time, Activities & Objects",False
7.2,"['bad', 'good', 'mid']","[29, 29, 32]",0.3287608942781617,0.8484191818218471,-0.019209644893354465,90,"Violence, Threats & Coercion","Conflict, Risk & Harm",False
