taxonomy_main_name,R1,R10,R11,R12,R13,R2,R3,R4,R5,R6,R7,R8,R9,none
Ambivalence & Internal Conflict,0,0,0,0,0,0,2,0,1,0,0,0,0,0
Attraction & Sexual Tension,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"Beliefs, Values & Moral Reflection",2,1,0,0,0,0,0,0,0,0,0,0,0,3
Body Parts & Physical Reactions,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Bonding, Everyday Intimacy & Growth",0,4,1,0,1,1,0,0,2,0,1,30,31,0
"Community, Norms & Social Events",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Conflict, Distance & Breakup Threats",0,1,0,0,0,7,0,0,0,0,53,0,0,0
Domestic Spaces & Routines,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Exercise & Physical Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Explicit Sexual Acts,0,0,0,19,0,0,0,0,0,0,0,0,0,0
Family & Kinship,0,0,0,0,1,0,0,0,0,0,3,0,0,16
Friends & Social Circles,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Hero's Elite Work & Business World,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Heroine's Work & Professional Identity,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Interpersonal Non-Romantic Conflict,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kissing & Non-Explicit Affection,0,0,0,0,0,0,0,1,0,0,0,16,3,0
"Law, Medicine, Education & Formal Institutions",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Meeting, First Impressions & Setup",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Money, Housing & Economic Security",0,0,0,0,0,0,0,0,0,0,0,0,0,2
Negative Emotions & Distress,11,0,0,0,0,6,0,1,9,0,1,0,0,8
Noise / Technical / Paratext,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Positive Emotions & Security,0,1,0,0,2,0,0,0,0,0,0,5,1,3
Public & Leisure Spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Reconciliation, Commitments & HEA",0,1,1,0,1,0,0,0,0,0,0,0,0,0
"Secrets, Misunderstandings & Hidden Information",0,0,0,0,0,2,1,0,0,0,16,0,0,0
Shared Workplaces & Professional Interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Time, Seasons & Temporal Framing",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Violence, Threats & Coercion",0,0,0,0,0,3,0,0,0,2,3,0,0,0
